timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-02 07:45:00,74.3,24.3,64.2,920.7,1152.3,0.0,33.5,50.5
2021-03-02 08:00:00,84.4,24.4,59.8,799.0,349.3,0.0,39.7,54.7
2021-03-02 08:15:00,90.0,23.8,52.0,699.9,407.5,0.0,50.1,55.1
2021-03-02 08:30:00,91.5,23.4,50.5,640.7,403.8,0.0,60.6,54.8
2021-03-02 08:45:00,92.5,23.4,50.2,602.7,385.5,0.0,69.4,54.2
2021-03-02 09:00:00,92.0,23.2,51.9,579.2,365.9,0.0,80.9,54.3
2021-03-02 09:15:00,92.0,23.0,53.4,554.2,348.6,0.0,89.3,54.3
2021-03-02 09:30:00,92.6,23.1,53.2,540.4,331.2,0.0,95.0,54.2
2021-03-02 09:45:00,93.9,23.2,52.2,521.9,309.9,0.0,110.4,54.5
2021-03-02 10:00:00,94.5,23.4,51.4,516.7,295.0,0.0,223.0,59.3
2021-03-02 10:15:00,95.0,23.8,50.8,520.0,282.7,0.0,226.9,58.4
2021-03-02 10:30:00,93.6,24.3,52.7,529.0,294.8,0.0,241.8,59.3
2021-03-02 10:45:00,93.4,24.8,52.3,525.3,279.3,0.0,247.4,56.1
2021-03-02 11:00:00,91.8,25.1,53.4,532.2,273.4,0.0,254.9,54.7
2021-03-02 11:15:00,91.5,25.5,52.8,524.0,267.4,0.0,259.0,53.7
2021-03-02 11:30:00,91.9,25.6,51.9,514.3,250.6,0.0,263.9,54.1
2021-03-02 11:45:00,92.0,25.7,51.0,503.1,242.3,0.0,269.2,53.5
2021-03-02 12:00:00,92.6,25.7,50.5,493.5,231.1,0.0,275.8,53.2
2021-03-02 12:15:00,93.3,25.8,49.6,480.3,222.2,0.0,286.2,53.2
2021-03-02 12:30:00,94.2,25.7,49.3,475.3,217.7,0.0,295.4,53.2
2021-03-02 12:45:00,94.6,25.6,49.3,466.0,212.4,0.0,202.0,54.7
2021-03-02 13:00:00,95.3,25.5,48.8,468.0,212.9,0.0,220.6,55.6
2021-03-02 13:15:00,95.9,25.5,48.2,471.0,216.7,0.0,217.4,54.3
2021-03-02 13:30:00,96.0,25.5,47.8,476.3,222.5,0.0,243.3,54.6
2021-03-02 13:45:00,96.2,25.4,47.8,480.6,224.6,0.0,247.5,53.7
2021-03-02 14:00:00,96.6,25.3,47.9,473.2,228.1,0.0,249.8,53.7
2021-03-02 14:15:00,96.2,25.3,47.9,467.1,269.7,0.0,270.7,53.8
2021-03-02 14:30:00,95.5,25.5,47.6,470.0,294.7,0.0,354.3,53.7
2021-03-02 14:45:00,95.2,25.4,47.9,475.1,309.7,0.0,385.1,54.2
2021-03-02 15:00:00,94.6,25.6,47.8,478.1,321.9,0.0,358.4,54.0
2021-03-02 15:15:00,94.2,25.7,47.7,485.0,331.1,0.0,354.4,53.8
2021-03-02 15:30:00,94.1,25.7,47.7,489.1,325.4,0.0,383.3,53.8
2021-03-02 15:45:00,94.4,25.6,48.0,501.7,322.3,0.0,398.6,54.1
2021-03-02 16:00:00,94.3,25.6,47.2,507.0,344.9,0.0,404.4,54.4
2021-03-02 16:15:00,94.6,25.5,46.9,507.8,360.0,0.0,407.7,54.3
2021-03-02 16:30:00,94.2,25.6,46.4,513.6,363.9,0.0,442.0,54.3
2021-03-02 16:45:00,94.5,25.4,46.6,515.0,373.9,0.0,479.5,54.8
2021-03-02 17:00:00,94.2,25.5,46.6,517.7,357.8,0.0,555.9,53.8
2021-03-02 17:15:00,94.6,25.5,46.7,513.9,339.2,0.0,534.3,53.8
2021-03-02 17:30:00,95.4,25.3,47.3,515.3,316.0,0.0,484.0,53.9
2021-03-02 17:45:00,95.5,25.3,47.2,508.1,308.1,0.0,519.5,53.8
2021-03-02 18:00:00,95.5,25.3,47.1,505.2,329.2,0.0,441.3,53.9
2021-03-02 18:15:00,95.0,25.4,46.8,509.3,353.2,0.0,360.6,53.9
2021-03-02 18:30:00,93.6,25.7,46.9,514.3,355.2,0.0,332.3,51.4
2021-03-02 18:45:00,90.7,26.2,48.0,522.5,347.8,0.0,206.0,51.8
2021-03-02 19:00:00,88.9,26.3,49.5,522.0,343.7,0.0,140.9,51.5
2021-03-02 19:15:00,87.8,26.4,50.6,514.3,340.4,0.0,121.6,51.6
2021-03-02 19:30:00,87.0,26.4,51.6,509.7,343.4,0.0,116.6,50.7
2021-03-02 19:45:00,86.6,26.4,52.5,510.2,348.2,0.0,116.4,50.8
2021-03-02 20:00:00,86.1,26.5,52.9,506.5,351.4,0.0,116.3,50.8
2021-03-02 20:15:00,86.0,26.5,53.4,504.0,354.8,0.0,116.3,50.8
