timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,77.0,26.9,71.1,417.3,20.0,12.3,0.0,48.8
2021-03-01 00:15:00,77.1,26.9,71.0,414.9,20.0,12.2,0.0,48.9
2021-03-01 00:30:00,77.0,26.9,71.0,414.8,20.0,12.3,0.0,48.9
2021-03-01 00:45:00,77.1,26.9,71.0,410.5,20.0,12.2,0.0,48.8
2021-03-01 01:00:00,77.1,26.9,71.2,414.8,20.0,12.1,0.0,48.8
2021-03-01 01:15:00,77.1,26.9,71.1,408.6,20.0,12.2,0.0,48.8
2021-03-01 01:30:00,77.1,26.9,71.2,408.3,20.0,12.2,0.0,48.8
2021-03-01 01:45:00,77.0,26.9,71.2,408.9,20.0,12.2,0.0,48.8
2021-03-01 02:00:00,77.2,26.9,71.3,405.8,20.0,12.1,0.0,48.8
2021-03-01 02:15:00,77.0,26.9,71.3,404.6,20.0,12.2,0.0,48.8
2021-03-01 02:30:00,77.0,26.9,71.4,405.4,20.0,12.2,0.0,48.8
2021-03-01 02:45:00,77.0,26.9,71.4,405.7,20.0,12.3,0.0,48.8
2021-03-01 03:00:00,77.0,26.9,71.4,404.4,20.0,12.3,0.0,48.7
2021-03-01 03:15:00,77.0,26.8,71.5,402.3,20.0,12.2,0.0,48.7
2021-03-01 03:30:00,77.0,26.8,71.5,402.5,20.0,12.4,0.0,48.7
2021-03-01 03:45:00,77.0,26.8,71.6,400.3,20.0,12.3,0.0,48.7
2021-03-01 04:00:00,76.9,26.8,71.6,401.9,20.0,12.4,0.0,48.9
2021-03-01 04:15:00,76.8,26.8,71.7,400.2,20.0,12.5,0.0,48.8
2021-03-01 04:30:00,76.7,26.8,71.7,400.2,20.0,12.6,0.0,48.8
2021-03-01 04:45:00,76.6,26.8,71.8,400.0,20.0,12.6,0.0,49.0
2021-03-01 05:00:00,76.5,26.8,71.8,400.0,20.0,12.5,0.0,49.0
2021-03-01 05:15:00,76.3,26.8,71.9,400.3,20.0,12.8,0.0,49.1
2021-03-01 05:30:00,76.3,26.8,72.0,400.0,20.0,12.9,0.0,49.2
2021-03-01 05:45:00,76.2,26.8,71.9,401.5,20.0,13.0,0.0,49.3
2021-03-01 06:00:00,76.1,26.8,72.0,401.3,20.0,13.1,0.0,49.3
2021-03-01 06:15:00,76.1,26.8,72.0,400.2,20.0,13.1,0.0,49.3
2021-03-01 06:30:00,76.0,26.8,72.1,400.2,20.0,13.4,0.0,49.7
2021-03-01 06:45:00,76.0,26.8,72.1,400.0,20.0,13.4,0.0,49.5
2021-03-01 07:00:00,76.0,26.8,72.1,400.0,20.0,13.5,0.0,49.5
2021-03-01 07:15:00,75.9,26.8,72.1,400.0,20.0,13.7,18.0,49.8
2021-03-01 07:30:00,75.9,26.9,71.7,400.0,20.0,13.8,141.7,51.0
2021-03-01 07:45:00,77.4,26.7,68.7,415.1,20.0,13.5,137.9,52.8
2021-03-01 08:00:00,82.4,26.1,64.1,463.2,20.0,11.5,139.4,52.6
2021-03-01 08:15:00,84.9,25.9,63.1,488.6,20.0,10.8,139.7,53.1
2021-03-01 08:30:00,85.8,25.8,62.6,501.7,20.0,11.2,147.8,53.1
2021-03-01 08:45:00,83.3,25.9,62.9,531.4,20.0,13.0,148.5,55.6
2021-03-01 09:00:00,81.2,25.9,63.7,563.2,20.0,13.5,150.5,52.4
2021-03-01 09:15:00,81.7,25.9,63.9,564.1,20.0,12.4,153.4,54.7
2021-03-01 09:30:00,81.8,25.8,64.0,553.3,20.0,12.7,156.9,52.2
2021-03-01 09:45:00,82.8,25.9,63.7,544.0,20.0,11.9,159.9,51.0
2021-03-01 10:00:00,83.1,25.9,63.5,541.9,20.0,11.8,163.5,52.3
2021-03-01 10:15:00,83.8,25.8,63.3,527.8,20.0,11.8,164.4,51.2
2021-03-01 10:30:00,83.9,25.8,63.3,525.3,20.0,11.6,163.7,50.7
2021-03-01 10:45:00,84.7,25.8,62.7,519.5,20.0,11.9,165.1,51.1
2021-03-01 11:00:00,85.0,25.8,62.5,519.5,20.0,11.4,166.8,52.3
2021-03-01 11:15:00,85.0,25.8,62.5,523.7,20.0,11.3,168.4,52.2
2021-03-01 11:30:00,84.9,25.8,62.7,523.7,20.0,11.4,168.0,53.7
2021-03-01 11:45:00,85.6,25.8,62.3,525.7,20.0,11.6,171.6,53.3
2021-03-01 12:00:00,84.7,25.7,63.1,519.7,20.0,12.1,170.1,51.2
2021-03-01 12:15:00,84.6,25.7,63.6,508.8,20.0,11.9,169.1,50.7
2021-03-01 12:30:00,85.7,25.7,62.8,502.1,20.0,11.6,165.6,51.4
2021-03-01 12:45:00,86.0,25.6,62.7,498.4,20.0,11.9,169.6,51.8
2021-03-01 13:00:00,85.5,25.6,63.3,506.1,20.0,11.6,158.9,51.5
2021-03-01 13:15:00,85.8,25.6,63.1,504.9,20.0,11.2,161.6,53.2
2021-03-01 13:30:00,85.9,25.6,62.4,510.2,20.0,12.9,176.1,51.7
2021-03-01 13:45:00,84.3,25.7,63.2,514.6,20.0,13.0,180.0,53.2
2021-03-01 14:00:00,84.8,25.7,62.8,528.3,20.0,12.2,160.3,51.6
2021-03-01 14:15:00,85.4,25.7,62.6,524.2,20.0,11.8,177.5,53.8
2021-03-01 14:30:00,85.2,25.8,62.4,532.2,20.0,11.4,174.1,53.0
2021-03-01 14:45:00,85.6,25.8,62.2,533.3,20.0,11.1,171.3,52.2
2021-03-01 15:00:00,85.3,25.8,62.2,533.7,20.0,11.1,188.8,54.7
2021-03-01 15:15:00,83.4,25.8,62.7,554.2,20.0,13.1,164.2,53.6
2021-03-01 15:30:00,85.0,25.8,62.3,548.1,20.0,11.4,159.6,50.8
2021-03-01 15:45:00,85.5,25.7,62.4,539.1,20.0,10.4,170.6,52.0
2021-03-01 16:00:00,85.1,25.8,62.4,543.5,20.0,9.8,185.0,52.8
2021-03-01 16:15:00,85.5,25.9,61.8,541.9,20.0,9.9,196.0,51.7
2021-03-01 16:30:00,86.2,25.9,61.2,546.8,20.0,10.0,171.3,53.1
2021-03-01 16:45:00,86.5,25.7,61.4,543.7,20.0,9.8,155.5,52.9
2021-03-01 17:00:00,85.6,25.8,62.0,539.7,20.0,10.3,151.2,52.6
2021-03-01 17:15:00,83.9,26.0,61.3,545.8,20.0,13.4,145.9,52.1
2021-03-01 17:30:00,84.4,26.0,60.3,548.5,20.0,14.3,144.7,52.9
2021-03-01 17:45:00,86.7,26.0,60.3,535.2,20.0,11.4,107.7,52.1
2021-03-01 18:00:00,87.0,25.3,62.4,529.3,20.0,10.4,1.1,51.0
2021-03-01 18:15:00,87.2,25.2,62.9,519.2,20.0,9.0,0.0,50.9
2021-03-01 18:30:00,87.1,25.2,63.2,506.1,20.0,9.5,0.0,49.8
2021-03-01 18:45:00,86.9,25.5,62.6,506.0,20.0,10.6,0.0,49.3
2021-03-01 19:00:00,85.5,25.6,63.0,507.5,20.0,12.9,0.0,49.6
2021-03-01 19:15:00,85.3,25.7,63.0,504.6,20.0,12.5,0.0,49.6
2021-03-01 19:30:00,84.7,25.8,63.0,505.1,20.0,12.4,0.0,49.5
2021-03-01 19:45:00,84.2,25.9,63.2,498.7,20.0,12.5,0.0,49.5
2021-03-01 20:00:00,83.8,25.9,63.4,499.5,20.0,12.1,0.0,49.5
2021-03-01 20:15:00,83.8,25.9,63.5,492.8,20.0,11.7,0.0,49.3
2021-03-01 20:30:00,83.6,26.0,63.6,490.0,20.0,11.4,0.0,49.4
2021-03-01 20:45:00,83.3,26.0,63.5,488.8,20.0,11.5,0.0,49.3
2021-03-01 21:00:00,83.0,26.1,63.6,485.6,20.0,11.4,0.0,49.4
2021-03-01 21:15:00,82.7,26.1,63.8,485.3,20.0,11.6,0.0,49.5
2021-03-01 21:30:00,82.7,26.1,63.9,482.2,20.0,11.3,0.0,49.5
2021-03-01 21:45:00,82.5,26.1,63.9,483.0,20.0,11.3,0.0,49.5
2021-03-01 22:00:00,81.9,26.1,64.2,477.9,20.0,11.5,0.0,49.5
2021-03-01 22:15:00,81.7,26.2,64.3,474.5,20.0,11.6,0.0,49.4
2021-03-01 22:30:00,81.6,26.2,64.5,478.3,20.0,11.5,0.0,49.3
2021-03-01 22:45:00,81.2,26.2,64.6,474.0,20.0,11.5,0.0,49.1
2021-03-01 23:00:00,80.9,26.2,64.7,473.4,20.0,11.7,0.0,49.0
2021-03-01 23:15:00,80.9,26.2,64.9,478.8,20.0,11.7,0.0,49.1
2021-03-01 23:30:00,81.0,26.2,65.0,471.3,20.0,11.8,0.0,49.1
2021-03-01 23:45:00,80.9,26.2,65.0,469.9,20.0,11.6,0.0,49.0
2021-03-02 00:00:00,80.9,26.2,65.2,469.9,20.0,11.8,0.0,49.0
2021-03-02 00:15:00,80.7,26.2,65.1,466.6,20.0,12.1,0.0,49.1
2021-03-02 00:30:00,80.5,26.3,65.2,463.6,20.0,12.5,0.0,49.2
2021-03-02 00:45:00,80.4,26.2,65.4,458.0,20.0,12.6,0.0,49.2
2021-03-02 01:00:00,80.1,26.3,65.5,456.0,20.0,12.8,0.0,49.3
2021-03-02 01:15:00,79.8,26.3,65.6,468.3,20.0,13.2,0.0,49.2
2021-03-02 01:30:00,79.8,26.3,65.8,473.4,20.0,13.2,0.0,49.2
2021-03-02 01:45:00,79.7,26.3,65.8,470.6,20.0,13.1,0.0,49.2
2021-03-02 02:00:00,79.5,26.3,65.9,470.5,20.0,13.3,0.0,49.2
2021-03-02 02:15:00,79.4,26.3,65.7,467.8,20.0,13.2,0.0,49.1
2021-03-02 02:30:00,79.5,26.3,66.0,464.8,20.0,13.4,0.0,49.1
2021-03-02 02:45:00,79.5,26.3,66.1,459.7,20.0,13.5,0.0,49.1
2021-03-02 03:00:00,79.3,26.3,66.1,458.7,20.0,13.5,0.0,48.9
2021-03-02 03:15:00,79.1,26.3,66.3,458.8,20.0,13.8,0.0,48.9
2021-03-02 03:30:00,79.1,26.3,66.4,456.1,20.0,13.6,0.0,48.8
2021-03-02 03:45:00,79.2,26.3,66.7,456.6,20.0,13.7,0.0,48.9
2021-03-02 04:00:00,79.3,26.3,66.7,456.2,20.0,13.6,0.0,49.0
2021-03-02 04:15:00,78.9,26.3,66.8,456.8,20.0,14.1,0.0,48.9
2021-03-02 04:30:00,78.7,26.3,66.8,453.4,20.0,14.1,0.0,48.8
2021-03-02 04:45:00,78.8,26.3,66.9,452.7,20.0,14.0,0.0,48.8
2021-03-02 05:00:00,78.8,26.3,67.0,449.5,20.0,14.2,0.0,48.8
2021-03-02 05:15:00,78.6,26.3,67.0,446.3,20.0,14.4,0.0,48.9
2021-03-02 05:30:00,78.6,26.3,67.2,449.8,20.0,14.4,0.0,48.9
2021-03-02 05:45:00,78.7,26.3,67.2,452.1,20.0,14.2,0.0,49.0
2021-03-02 06:00:00,78.6,26.3,67.3,449.8,20.0,14.4,0.0,49.0
2021-03-02 06:15:00,78.5,26.3,67.3,453.7,20.0,14.4,0.0,49.1
2021-03-02 06:30:00,78.3,26.3,67.3,449.8,20.0,14.6,0.0,49.6
2021-03-02 06:45:00,78.1,26.3,67.3,448.4,20.0,14.8,0.0,49.3
2021-03-02 07:00:00,78.4,26.3,67.5,444.7,20.0,14.7,0.0,49.4
2021-03-02 07:15:00,77.7,26.4,67.3,446.6,20.0,14.8,93.3,50.4
2021-03-02 07:30:00,77.0,26.4,67.5,441.5,20.0,15.6,138.4,49.9
2021-03-02 07:45:00,79.4,26.2,66.0,445.5,20.0,14.1,137.5,51.4
2021-03-02 08:00:00,84.9,26.0,62.6,478.9,20.0,11.5,143.7,52.3
2021-03-02 08:15:00,87.0,25.8,61.6,497.5,20.0,9.9,143.7,53.3
2021-03-02 08:30:00,85.5,25.7,62.5,511.0,20.0,12.6,143.9,51.6
