timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,75.5,26.8,69.9,400.0,20.0,15.4,0.0,52.3
2021-03-01 00:15:00,75.6,26.8,70.0,400.0,20.0,15.3,0.0,52.3
2021-03-01 00:30:00,75.6,26.8,70.1,400.8,20.0,15.3,0.0,52.3
2021-03-01 00:45:00,75.7,26.8,70.1,401.2,20.0,15.1,0.0,52.3
2021-03-01 01:00:00,75.7,26.8,70.2,400.3,20.0,15.3,0.0,52.3
2021-03-01 01:15:00,75.8,26.8,70.1,400.1,20.0,15.0,0.0,52.2
2021-03-01 01:30:00,75.7,26.8,70.4,400.8,20.0,15.2,0.0,52.2
2021-03-01 01:45:00,75.8,26.8,70.4,402.3,20.0,15.1,0.0,52.2
2021-03-01 02:00:00,75.6,26.8,70.4,400.5,20.0,15.3,0.0,52.2
2021-03-01 02:15:00,75.7,26.8,70.4,400.7,20.0,15.2,0.0,52.2
2021-03-01 02:30:00,75.7,26.8,70.5,400.0,20.0,15.2,0.0,52.3
2021-03-01 02:45:00,75.6,26.8,70.5,400.0,20.0,15.3,0.0,52.2
2021-03-01 03:00:00,75.6,26.8,70.5,401.3,20.0,15.3,0.0,52.3
2021-03-01 03:15:00,75.7,26.8,70.5,400.0,20.0,15.3,0.0,52.3
2021-03-01 03:30:00,75.5,26.8,70.5,400.5,20.0,15.4,0.0,52.3
2021-03-01 03:45:00,75.6,26.8,70.6,400.0,20.0,15.3,0.0,52.3
2021-03-01 04:00:00,75.5,26.8,70.5,400.2,20.0,15.5,0.0,52.3
2021-03-01 04:15:00,75.5,26.8,70.5,400.0,20.0,15.5,0.0,52.3
2021-03-01 04:30:00,75.5,26.8,70.4,400.0,20.0,15.5,0.0,52.3
2021-03-01 04:45:00,75.4,26.8,70.5,400.0,20.0,15.6,0.0,52.3
2021-03-01 05:00:00,75.5,26.8,70.6,400.0,20.0,15.6,0.0,52.3
2021-03-01 05:15:00,75.5,26.8,70.5,400.0,20.0,15.5,0.0,52.3
2021-03-01 05:30:00,75.5,26.8,70.6,400.0,20.0,15.5,0.0,52.3
2021-03-01 05:45:00,75.5,26.8,70.6,400.0,20.0,15.6,0.0,52.3
2021-03-01 06:00:00,75.4,26.8,70.6,400.0,20.0,15.7,0.0,52.3
2021-03-01 06:15:00,75.2,26.8,70.7,400.0,20.0,15.9,0.0,52.3
2021-03-01 06:30:00,75.3,26.8,70.6,400.0,20.0,15.9,0.0,52.3
