timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,72.9,28.5,70.7,401.7,20.0,18.8,0.0,51.5
2021-03-01 00:15:00,72.7,28.5,70.7,401.1,20.0,19.1,0.0,51.6
2021-03-01 00:30:00,72.7,28.5,70.8,405.8,20.0,19.1,0.0,51.5
2021-03-01 00:45:00,72.7,28.5,70.7,400.9,20.0,19.1,0.0,51.5
2021-03-01 01:00:00,72.7,28.5,70.8,401.1,20.0,19.1,0.0,51.5
2021-03-01 01:15:00,72.8,28.5,70.8,402.2,20.0,19.0,0.0,51.5
2021-03-01 01:30:00,72.7,28.5,70.7,400.0,20.0,19.2,0.0,51.5
2021-03-01 01:45:00,72.7,28.5,70.7,400.8,20.0,19.0,0.0,51.6
2021-03-01 02:00:00,72.6,28.5,70.7,401.7,20.0,19.2,0.0,51.5
2021-03-01 02:15:00,72.6,28.5,70.8,405.9,20.0,19.2,0.0,51.5
2021-03-01 02:30:00,72.8,28.5,70.8,404.5,20.0,19.1,0.0,51.5
2021-03-01 02:45:00,72.6,28.5,70.8,400.6,20.0,19.3,0.0,51.5
2021-03-01 03:00:00,72.7,28.5,70.9,401.6,20.0,19.2,0.0,51.5
2021-03-01 03:15:00,72.4,28.5,70.9,402.1,20.0,19.6,0.0,51.6
2021-03-01 03:30:00,72.5,28.5,71.0,401.3,20.0,19.5,0.0,51.6
2021-03-01 03:45:00,72.5,28.4,71.0,400.2,20.0,19.4,0.0,51.6
2021-03-01 04:00:00,72.4,28.4,71.1,400.2,20.0,19.6,0.0,51.6
2021-03-01 04:15:00,72.4,28.4,71.1,401.2,20.0,19.7,0.0,51.6
2021-03-01 04:30:00,72.3,28.4,71.1,400.5,20.0,19.9,0.0,51.6
2021-03-01 04:45:00,72.2,28.4,71.2,400.2,20.0,20.0,0.0,51.6
2021-03-01 05:00:00,72.3,28.4,71.2,400.0,20.0,19.9,0.0,51.6
2021-03-01 05:15:00,72.2,28.4,71.2,400.2,20.0,19.9,0.0,51.6
2021-03-01 05:30:00,72.2,28.4,71.2,400.0,20.0,20.0,0.0,51.6
2021-03-01 05:45:00,72.1,28.4,71.1,400.0,20.0,20.3,0.0,51.7
2021-03-01 06:00:00,72.2,28.4,71.2,400.8,20.0,20.2,0.0,51.7
2021-03-01 06:15:00,72.0,28.4,71.2,401.3,20.0,20.4,0.0,51.7
2021-03-01 06:30:00,72.1,28.4,71.2,400.2,20.0,20.4,0.0,51.8
2021-03-01 06:45:00,72.1,28.4,71.3,400.0,20.0,20.5,0.0,51.8
2021-03-01 07:00:00,72.1,28.4,71.2,400.6,20.0,20.5,0.0,54.2
2021-03-01 07:15:00,72.9,28.4,71.7,403.6,20.0,17.7,0.0,54.2
2021-03-01 07:30:00,72.7,28.3,72.2,416.2,20.0,18.1,102.4,54.3
2021-03-01 07:45:00,72.9,28.6,71.6,449.2,20.0,16.8,272.0,54.4
2021-03-01 08:00:00,74.9,27.1,68.1,549.0,20.0,17.3,169.2,63.1
2021-03-01 08:15:00,83.6,25.1,60.8,709.4,20.0,16.3,181.1,63.6
2021-03-01 08:30:00,86.3,24.1,56.8,824.1,20.0,16.0,194.0,64.8
2021-03-01 08:45:00,86.2,23.7,54.9,917.0,20.0,16.1,202.5,63.8
2021-03-01 09:00:00,85.7,23.4,54.3,987.6,20.0,15.8,202.2,61.5
2021-03-01 09:15:00,85.2,23.3,54.8,1036.7,20.0,15.5,213.0,61.3
2021-03-01 09:30:00,84.7,23.5,55.4,1034.3,20.0,16.0,220.7,56.8
2021-03-01 09:45:00,80.7,23.9,63.2,901.7,20.0,16.0,224.5,55.3
2021-03-01 10:00:00,76.6,24.9,71.9,794.6,20.0,16.4,225.0,55.3
2021-03-01 10:15:00,77.7,24.8,71.6,722.5,20.0,16.0,216.7,55.7
2021-03-01 10:30:00,82.6,23.9,64.6,647.6,20.0,15.7,207.0,55.5
2021-03-01 10:45:00,83.4,23.9,65.1,598.3,20.0,15.5,203.5,55.1
2021-03-01 11:00:00,80.0,24.8,72.4,575.7,20.0,15.6,201.8,55.0
2021-03-01 11:15:00,80.7,24.8,71.9,550.3,20.0,15.5,198.1,55.3
2021-03-01 11:30:00,85.6,23.6,63.9,525.1,20.0,15.7,194.6,55.5
2021-03-01 11:45:00,85.1,23.8,66.1,499.3,20.0,15.8,199.3,55.3
2021-03-01 12:00:00,81.7,24.7,72.9,494.3,20.0,16.3,198.2,55.2
2021-03-01 12:15:00,81.3,24.8,73.0,487.2,20.0,16.5,197.8,55.4
2021-03-01 12:30:00,85.2,23.6,65.0,468.1,20.0,16.3,194.2,55.6
2021-03-01 12:45:00,84.9,23.8,65.8,472.5,20.0,16.6,200.7,55.7
