timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,75.8,28.6,57.8,509.0,261.8,31.9,0.0,51.1
2021-03-01 00:15:00,76.0,28.6,57.8,505.5,267.3,31.5,0.0,51.2
2021-03-01 00:30:00,76.0,28.6,57.9,501.3,271.4,31.4,0.0,51.1
2021-03-01 00:45:00,76.0,28.6,58.0,498.2,272.4,31.2,0.0,51.1
2021-03-01 01:00:00,76.0,28.6,58.0,505.5,271.5,31.1,0.0,51.2
2021-03-01 01:15:00,76.0,28.5,58.2,499.1,273.9,30.9,0.0,51.1
2021-03-01 01:30:00,76.0,28.5,58.3,497.4,277.6,30.7,0.0,51.2
2021-03-01 01:45:00,76.0,28.5,58.4,499.0,270.5,30.7,0.0,51.2
2021-03-01 02:00:00,76.0,28.4,58.6,497.9,275.9,30.6,0.0,51.2
2021-03-01 02:15:00,76.0,28.5,58.5,493.2,286.2,30.2,0.0,51.1
2021-03-01 02:30:00,76.0,28.4,58.6,490.6,287.1,29.8,0.0,51.1
2021-03-01 02:45:00,76.0,28.4,58.6,491.2,285.5,29.6,0.0,51.1
2021-03-01 03:00:00,76.0,28.4,58.6,490.1,289.5,29.4,0.0,51.2
2021-03-01 03:15:00,76.0,28.4,58.7,487.3,289.9,29.5,0.0,51.1
2021-03-01 03:30:00,76.1,28.4,58.7,490.9,286.3,28.8,0.0,51.1
2021-03-01 03:45:00,76.0,28.4,58.8,487.8,291.9,28.7,0.0,51.2
2021-03-01 04:00:00,76.0,28.4,58.8,487.1,294.3,28.7,0.0,51.2
2021-03-01 04:15:00,76.0,28.4,58.8,488.7,293.2,28.4,0.0,51.1
2021-03-01 04:30:00,76.0,28.4,59.0,485.6,294.8,28.1,0.0,51.1
2021-03-01 04:45:00,76.0,28.4,59.0,484.7,297.5,28.0,0.0,51.1
2021-03-01 05:00:00,76.0,28.3,59.1,484.8,301.4,28.1,0.0,51.1
2021-03-01 05:15:00,76.0,28.3,59.1,485.1,296.1,27.8,0.0,51.1
2021-03-01 05:30:00,76.0,28.3,59.2,483.9,301.1,27.6,0.0,51.1
2021-03-01 05:45:00,76.1,28.3,59.2,482.5,306.7,27.2,0.0,51.1
2021-03-01 06:00:00,76.2,28.3,59.2,479.7,302.2,27.1,0.0,51.1
2021-03-01 06:15:00,76.0,28.3,59.3,482.9,304.6,27.1,0.0,51.1
2021-03-01 06:30:00,76.1,28.3,59.3,480.4,307.1,26.9,0.0,51.1
