timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,77.0,29.3,62.8,414.3,345.2,2.0,0.0,48.4
2021-03-01 00:15:00,76.7,29.3,62.9,412.1,351.6,2.0,0.0,48.5
2021-03-01 00:30:00,76.0,29.1,63.3,411.8,348.2,2.0,0.0,48.8
2021-03-01 00:45:00,76.0,29.1,63.6,416.7,345.1,2.0,0.0,48.5
2021-03-01 01:00:00,76.0,29.0,63.8,422.9,353.1,2.0,0.0,48.3
2021-03-01 01:15:00,75.9,29.0,63.9,425.9,357.2,2.0,0.0,48.4
2021-03-01 01:30:00,76.0,29.1,63.7,421.8,344.2,2.0,0.0,48.3
2021-03-01 01:45:00,76.0,29.1,63.5,422.1,351.4,2.0,0.0,48.5
2021-03-01 02:00:00,76.0,29.2,63.4,421.2,355.1,2.0,0.0,48.3
2021-03-01 02:15:00,76.0,29.1,63.5,421.0,348.5,2.0,0.0,48.2
2021-03-01 02:30:00,75.9,29.1,63.5,421.0,353.0,2.0,0.0,48.2
2021-03-01 02:45:00,75.9,29.1,63.7,418.2,359.9,2.0,0.0,48.4
2021-03-01 03:00:00,75.2,28.9,64.2,416.8,361.6,2.0,0.0,48.3
2021-03-01 03:15:00,75.0,28.9,64.3,414.6,352.1,2.0,0.0,48.2
2021-03-01 03:30:00,75.0,28.9,64.2,412.9,361.9,2.0,0.0,48.3
2021-03-01 03:45:00,75.0,28.9,64.2,411.1,367.2,2.0,0.0,48.3
2021-03-01 04:00:00,75.0,28.9,64.2,409.8,358.7,1.9,0.0,48.4
2021-03-01 04:15:00,75.1,29.0,64.1,411.0,362.6,1.9,0.0,48.5
2021-03-01 04:30:00,75.1,29.0,64.0,411.5,370.1,1.9,0.0,48.5
2021-03-01 04:45:00,75.2,29.0,63.9,409.0,370.5,1.9,0.0,49.0
2021-03-01 05:00:00,75.8,29.0,63.9,406.4,364.5,1.6,0.0,48.7
2021-03-01 05:15:00,75.8,29.0,63.8,407.0,372.7,1.7,0.0,49.2
2021-03-01 05:30:00,75.6,29.1,63.7,403.3,377.8,1.8,0.0,49.2
2021-03-01 05:45:00,75.2,29.0,64.0,405.7,368.4,1.8,0.0,49.7
2021-03-01 06:00:00,75.3,29.0,63.9,404.6,375.3,1.8,0.0,50.0
2021-03-01 06:15:00,75.0,28.9,64.2,403.6,380.9,1.8,0.0,49.8
2021-03-01 06:30:00,75.0,28.9,64.3,404.3,377.6,1.9,0.0,50.4
2021-03-01 06:45:00,75.0,28.9,64.4,401.5,373.2,1.8,0.0,50.8
2021-03-01 07:00:00,75.0,28.9,64.5,400.8,380.8,1.9,0.0,50.8
2021-03-01 07:15:00,75.0,28.8,64.6,402.8,386.9,1.8,15.4,51.4
2021-03-01 07:30:00,75.3,28.9,64.9,410.7,333.9,1.9,63.4,52.2
2021-03-01 07:45:00,80.6,29.0,60.2,447.2,252.1,1.6,123.7,52.7
2021-03-01 08:00:00,82.1,28.2,59.7,486.3,238.8,1.7,184.0,59.0
2021-03-01 08:15:00,82.8,27.8,59.8,504.1,193.4,1.8,233.2,58.9
2021-03-01 08:30:00,83.0,27.8,58.8,542.5,164.8,1.9,273.3,58.7
2021-03-01 08:45:00,82.7,27.7,58.2,570.1,150.0,2.0,313.0,59.0
2021-03-01 09:00:00,81.6,27.7,58.2,628.0,149.4,2.0,343.8,59.5
2021-03-01 09:15:00,82.0,27.7,58.0,624.8,132.8,2.0,387.6,58.8
2021-03-01 09:30:00,81.5,27.8,58.2,632.5,143.7,2.0,420.5,58.9
2021-03-01 09:45:00,81.0,27.7,58.5,680.3,152.2,2.0,444.1,58.3
2021-03-01 10:00:00,80.0,27.8,58.2,702.7,198.9,2.1,467.4,59.5
2021-03-01 10:15:00,80.9,27.8,57.9,690.6,160.5,2.0,479.2,58.9
2021-03-01 10:30:00,81.1,27.7,57.6,677.8,138.6,1.9,499.9,58.0
2021-03-01 10:45:00,82.1,27.7,56.9,659.0,125.8,1.8,532.6,57.0
2021-03-01 11:00:00,81.1,27.7,56.6,668.1,213.4,2.0,562.9,57.8
2021-03-01 11:15:00,82.0,27.6,56.0,660.4,176.1,2.0,582.8,57.3
2021-03-01 11:30:00,81.8,27.7,55.7,652.3,224.3,2.1,595.6,59.5
2021-03-01 11:45:00,80.0,27.8,55.9,706.6,295.3,2.3,602.0,59.6
2021-03-01 12:00:00,80.1,27.9,55.6,710.6,292.6,2.3,605.6,57.3
2021-03-01 12:15:00,81.7,27.8,55.2,650.2,233.9,2.1,612.4,56.5
2021-03-01 12:30:00,83.2,27.9,54.8,585.4,216.4,2.0,604.1,56.1
2021-03-01 12:45:00,82.1,28.0,54.9,590.5,272.8,2.0,603.7,57.0
2021-03-01 13:00:00,82.1,28.1,55.0,599.4,244.3,2.0,547.1,57.7
2021-03-01 13:15:00,81.3,28.3,57.6,618.4,143.7,2.3,793.1,60.2
2021-03-01 13:30:00,79.3,28.4,61.0,660.7,20.0,1.9,703.1,50.8
2021-03-01 13:45:00,80.2,28.7,59.7,639.4,20.0,1.6,791.8,51.3
2021-03-01 14:00:00,81.4,28.7,58.6,603.4,30.4,1.5,409.0,50.9
2021-03-01 14:15:00,82.1,28.7,57.8,577.6,37.7,1.3,774.5,52.2
2021-03-01 14:30:00,82.6,28.7,57.6,571.0,25.4,1.3,825.4,50.7
2021-03-01 14:45:00,83.0,28.6,57.4,558.2,66.0,1.3,709.5,50.9
2021-03-01 15:00:00,83.0,28.8,57.4,553.7,79.5,1.2,1000.6,51.0
2021-03-01 15:15:00,82.9,29.3,56.1,566.8,79.1,1.1,630.9,52.1
