timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,74.6,26.8,78.0,407.1,179.3,11.3,0.0,64.5
2021-03-01 00:15:00,75.0,26.8,77.9,405.0,181.2,10.1,0.0,64.4
2021-03-01 00:30:00,75.0,26.8,77.9,405.1,174.2,9.6,0.0,64.4
2021-03-01 00:45:00,75.0,26.7,77.6,408.8,178.6,9.4,0.0,64.4
2021-03-01 01:00:00,75.0,26.7,77.8,404.9,177.7,9.5,0.0,64.4
2021-03-01 01:15:00,75.0,26.7,78.0,404.6,175.9,9.4,0.0,64.4
2021-03-01 01:30:00,75.0,26.7,78.2,402.8,168.2,9.1,0.0,64.4
2021-03-01 01:45:00,75.0,26.7,78.4,406.8,173.9,9.3,0.0,64.4
2021-03-01 02:00:00,75.0,26.7,78.4,406.3,178.2,9.3,0.0,64.3
2021-03-01 02:15:00,75.0,26.7,78.4,406.8,173.8,9.5,0.0,64.3
2021-03-01 02:30:00,74.8,26.6,78.7,405.5,179.1,10.3,0.0,64.4
2021-03-01 02:45:00,74.6,26.7,78.7,403.9,180.4,11.1,0.0,64.3
2021-03-01 03:00:00,74.2,26.6,78.8,404.6,184.0,11.7,0.0,64.4
2021-03-01 03:15:00,74.3,26.6,78.7,404.5,171.1,12.0,0.0,64.3
2021-03-01 03:30:00,74.5,26.6,78.6,401.6,175.6,11.6,0.0,64.3
2021-03-01 03:45:00,74.4,26.6,78.6,407.0,180.2,11.7,0.0,64.3
2021-03-01 04:00:00,74.6,26.6,78.8,407.5,174.9,11.3,0.0,64.3
2021-03-01 04:15:00,74.7,26.6,79.0,407.3,173.8,10.9,0.0,64.3
2021-03-01 04:30:00,74.5,26.6,79.3,407.3,175.0,10.8,0.0,64.3
2021-03-01 04:45:00,74.2,26.6,79.5,406.6,175.9,10.9,0.0,64.3
2021-03-01 05:00:00,73.9,26.5,79.6,411.3,178.5,12.2,0.0,64.3
2021-03-01 05:15:00,72.5,26.5,79.4,411.4,187.0,14.6,0.0,64.3
2021-03-01 05:30:00,72.3,26.5,79.4,411.9,185.8,15.1,0.0,64.3
2021-03-01 05:45:00,72.6,26.5,79.5,413.8,168.2,15.0,0.0,64.2
2021-03-01 06:00:00,72.6,26.5,79.4,415.8,163.2,15.1,0.0,64.3
2021-03-01 06:15:00,72.6,26.5,79.5,417.7,179.5,14.8,0.0,64.2
2021-03-01 06:30:00,72.7,26.5,79.7,418.9,202.5,14.4,0.0,64.3
2021-03-01 06:45:00,72.7,26.5,79.8,417.0,219.2,14.0,0.0,64.3
2021-03-01 07:00:00,72.2,26.5,80.6,420.7,221.4,14.1,0.0,65.4
2021-03-01 07:15:00,71.7,26.6,81.2,428.9,207.2,14.5,0.0,65.5
2021-03-01 07:30:00,72.7,26.5,81.5,432.5,179.0,13.6,0.0,65.5
2021-03-01 07:45:00,72.9,26.4,81.6,433.0,162.3,13.7,0.0,65.5
2021-03-01 08:00:00,74.1,26.3,81.3,433.9,162.5,12.9,0.0,65.4
2021-03-01 08:15:00,74.1,26.3,80.7,431.3,158.0,13.5,0.7,65.4
2021-03-01 08:30:00,73.0,26.3,80.7,431.2,167.3,15.3,4.9,65.4
2021-03-01 08:45:00,72.8,26.3,80.8,437.8,168.8,15.7,9.6,65.4
2021-03-01 09:00:00,73.0,26.3,80.7,436.3,187.5,14.9,12.3,65.5
2021-03-01 09:15:00,72.6,26.4,80.4,427.7,194.0,15.0,17.6,65.6
2021-03-01 09:30:00,72.4,26.4,80.0,423.3,192.9,15.2,21.7,65.5
2021-03-01 09:45:00,72.1,26.5,79.8,420.9,179.9,15.6,25.3,65.6
2021-03-01 10:00:00,72.5,26.5,79.2,417.7,160.8,15.4,47.9,65.4
2021-03-01 10:15:00,73.6,26.5,78.4,413.4,136.8,14.7,107.2,63.9
2021-03-01 10:30:00,74.1,26.5,77.6,413.2,123.5,14.0,106.7,61.9
2021-03-01 10:45:00,74.5,26.7,76.4,415.4,121.2,13.8,108.2,61.8
2021-03-01 11:00:00,74.3,26.7,75.7,416.5,129.5,14.3,108.6,62.0
2021-03-01 11:15:00,73.3,26.8,75.4,420.7,166.4,15.4,107.8,63.5
2021-03-01 11:30:00,72.5,27.0,75.0,426.6,173.5,17.4,103.4,63.2
2021-03-01 11:45:00,73.1,27.0,74.0,422.6,199.4,15.9,107.9,62.3
2021-03-01 12:00:00,73.9,26.9,72.7,422.6,221.9,14.5,101.5,62.3
2021-03-01 12:15:00,74.7,26.9,71.7,426.1,219.9,13.8,102.0,62.4
2021-03-01 12:30:00,75.1,26.9,71.0,425.7,222.6,13.5,96.9,63.8
2021-03-01 12:45:00,74.9,26.9,71.2,425.2,218.5,13.7,109.8,62.6
2021-03-01 13:00:00,73.2,27.2,73.2,426.0,195.5,15.6,91.5,63.2
2021-03-01 13:15:00,73.2,27.3,75.0,429.1,147.7,15.5,106.0,62.4
