timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,71.7,27.7,75.7,422.1,34.9,20.1,0.0,50.0
2021-03-01 00:15:00,71.7,27.7,75.9,421.5,31.4,19.8,0.0,49.9
2021-03-01 00:30:00,71.8,27.7,76.2,422.2,21.7,19.4,0.0,50.1
2021-03-01 00:45:00,71.9,27.7,76.1,421.3,31.2,18.8,0.0,50.0
2021-03-01 01:00:00,71.9,27.7,76.1,421.2,39.7,18.4,0.0,50.0
2021-03-01 01:15:00,71.9,27.7,76.3,420.4,20.3,18.0,0.0,49.9
2021-03-01 01:30:00,72.0,27.7,76.5,423.2,24.8,17.5,0.0,49.9
2021-03-01 01:45:00,72.0,27.7,76.6,421.3,33.4,17.0,0.0,50.0
2021-03-01 02:00:00,72.0,27.6,77.2,422.2,27.7,16.9,0.0,49.9
2021-03-01 02:15:00,72.2,27.6,77.2,422.7,21.5,16.4,0.0,49.9
2021-03-01 02:30:00,72.2,27.6,77.4,421.4,30.7,16.4,0.0,49.9
2021-03-01 02:45:00,72.1,27.6,77.5,422.5,35.5,16.7,0.0,50.0
2021-03-01 03:00:00,72.0,27.6,77.5,423.8,20.4,16.9,0.0,50.0
2021-03-01 03:15:00,71.9,27.6,77.8,423.0,27.5,17.3,0.0,50.0
2021-03-01 03:30:00,71.8,27.7,77.5,419.6,36.7,17.4,0.0,49.9
2021-03-01 03:45:00,71.8,27.6,77.6,418.3,27.1,17.6,0.0,49.9
2021-03-01 04:00:00,71.8,27.6,77.6,418.6,22.7,17.8,0.0,49.9
2021-03-01 04:15:00,71.8,27.7,77.5,420.1,32.0,17.7,0.0,49.9
2021-03-01 04:30:00,71.8,27.7,77.6,416.2,32.4,18.0,0.0,49.9
2021-03-01 04:45:00,71.7,27.7,77.8,419.2,20.5,18.0,0.0,49.9
2021-03-01 05:00:00,71.7,27.7,77.8,419.9,27.6,18.0,0.0,49.9
2021-03-01 05:15:00,71.6,27.6,78.0,420.4,38.4,18.4,0.0,49.9
2021-03-01 05:30:00,71.1,27.6,78.1,424.4,23.4,19.7,0.0,49.8
2021-03-01 05:45:00,71.1,27.7,78.0,422.0,23.6,19.6,0.0,49.9
2021-03-01 06:00:00,70.9,27.6,78.2,424.3,30.1,20.2,0.0,49.9
2021-03-01 06:15:00,70.8,27.6,78.3,421.5,29.1,20.8,0.0,50.0
2021-03-01 06:30:00,70.6,27.6,78.3,423.3,20.8,21.3,0.0,50.1
2021-03-01 06:45:00,70.5,27.6,78.5,422.6,30.5,21.5,0.0,50.2
2021-03-01 07:00:00,70.5,27.6,78.6,427.3,42.0,21.6,0.0,50.4
2021-03-01 07:15:00,70.6,27.6,78.5,429.0,20.9,21.6,0.0,50.8
2021-03-01 07:30:00,70.6,27.6,78.6,429.4,28.0,21.4,0.8,50.8
2021-03-01 07:45:00,70.6,27.6,78.6,430.5,37.0,21.2,6.1,51.0
2021-03-01 08:00:00,71.8,27.5,76.9,435.5,29.2,18.7,14.0,51.6
2021-03-01 08:15:00,75.3,27.2,72.6,444.0,21.4,13.8,19.6,51.9
2021-03-01 08:30:00,77.5,27.0,70.3,448.0,28.2,11.3,25.7,52.3
2021-03-01 08:45:00,78.1,26.8,68.9,447.7,36.6,9.9,32.4,52.8
2021-03-01 09:00:00,79.0,26.8,68.0,446.7,21.1,9.0,37.9,52.6
2021-03-01 09:15:00,79.0,26.8,67.2,444.1,31.9,8.3,44.3,52.3
2021-03-01 09:30:00,79.0,26.7,66.8,434.9,35.7,8.2,49.7,52.2
2021-03-01 09:45:00,79.0,26.6,66.5,430.3,25.7,8.1,55.1,52.1
2021-03-01 10:00:00,79.0,26.7,65.8,428.1,22.4,8.1,59.2,51.8
2021-03-01 10:15:00,79.0,26.8,65.5,425.9,29.2,7.8,63.9,51.9
2021-03-01 10:30:00,79.3,26.8,65.4,422.0,29.1,7.7,67.8,52.1
2021-03-01 10:45:00,79.9,26.7,65.4,423.6,20.1,7.7,76.6,53.0
2021-03-01 11:00:00,80.0,26.9,64.8,421.1,23.5,7.7,82.7,53.4
2021-03-01 11:15:00,80.0,26.9,64.5,420.1,32.6,8.0,86.7,53.3
2021-03-01 11:30:00,80.0,27.0,64.2,423.1,24.7,8.5,82.0,53.1
2021-03-01 11:45:00,80.1,27.0,64.1,423.4,22.1,8.6,92.9,53.2
2021-03-01 12:00:00,80.2,27.1,63.8,421.1,35.4,8.7,81.5,52.9
2021-03-01 12:15:00,80.0,27.0,64.0,422.0,34.0,9.4,79.8,52.6
2021-03-01 12:30:00,80.5,27.0,63.7,420.2,21.4,9.5,66.1,52.5
2021-03-01 12:45:00,80.0,26.7,64.8,424.9,29.0,10.0,67.1,54.7
2021-03-01 13:00:00,80.0,26.6,65.1,423.7,32.7,9.6,51.6,53.1
2021-03-01 13:15:00,80.0,26.7,64.9,423.4,20.7,9.2,62.7,52.5
2021-03-01 13:30:00,80.0,26.5,65.3,422.6,20.2,8.9,71.7,52.8
2021-03-01 13:45:00,80.0,26.8,64.5,417.8,22.9,8.5,81.1,53.0
2021-03-01 14:00:00,80.1,26.9,64.0,417.1,21.9,8.1,42.9,53.1
2021-03-01 14:15:00,80.4,26.9,63.8,416.7,20.0,7.7,81.4,52.7
2021-03-01 14:30:00,80.9,27.0,63.6,415.6,20.3,7.4,90.1,52.9
2021-03-01 14:45:00,80.4,26.8,64.0,414.3,26.3,7.5,75.3,52.7
2021-03-01 15:00:00,80.0,26.7,64.2,411.6,20.0,7.2,97.7,52.8
2021-03-01 15:15:00,80.2,26.7,64.1,409.3,20.0,7.1,54.6,52.9
2021-03-01 15:30:00,81.0,26.9,63.5,408.2,23.1,7.1,40.8,52.9
2021-03-01 15:45:00,80.8,27.0,63.5,406.8,22.9,6.8,62.3,52.9
2021-03-01 16:00:00,80.2,26.8,64.0,409.5,20.0,6.7,88.3,52.8
2021-03-01 16:15:00,80.7,26.9,63.5,411.0,20.4,6.7,118.4,53.3
2021-03-01 16:30:00,81.6,27.1,62.8,405.7,27.4,6.7,73.1,52.7
2021-03-01 16:45:00,81.1,27.0,63.2,407.5,20.0,6.9,36.5,53.0
2021-03-01 17:00:00,80.8,26.8,63.8,408.8,20.1,6.9,26.6,53.0
2021-03-01 17:15:00,80.0,26.6,64.4,411.3,22.9,6.8,16.4,53.1
2021-03-01 17:30:00,80.6,26.8,63.9,410.9,21.7,6.7,16.8,52.7
2021-03-01 17:45:00,80.6,26.9,63.8,411.8,20.0,6.6,15.8,52.9
2021-03-01 18:00:00,79.3,26.8,66.3,413.6,20.1,6.6,12.8,52.5
2021-03-01 18:15:00,78.0,26.9,68.3,414.0,22.4,7.1,5.5,51.8
