timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,86.0,27.0,57.0,440.1,20.0,9.7,0.0,66.3
2021-03-01 00:15:00,86.0,27.1,57.4,443.4,20.0,9.6,0.0,66.6
2021-03-01 00:30:00,85.9,27.2,57.8,441.5,20.1,9.9,0.0,66.6
2021-03-01 00:45:00,85.0,27.2,58.2,444.0,20.0,9.8,0.0,66.5
2021-03-01 01:00:00,85.0,27.3,58.5,438.9,20.0,9.7,0.0,66.5
2021-03-01 01:15:00,85.0,27.4,58.9,436.9,20.0,9.7,0.0,66.6
2021-03-01 01:30:00,85.0,27.4,59.3,441.3,20.0,10.0,0.0,66.5
2021-03-01 01:45:00,84.5,27.4,59.7,438.5,20.0,10.0,0.0,66.3
2021-03-01 02:00:00,84.0,27.5,59.8,439.7,20.0,9.9,0.0,66.4
2021-03-01 02:15:00,84.0,27.5,60.0,437.5,20.0,9.9,0.0,66.5
2021-03-01 02:30:00,84.0,27.6,60.1,436.9,20.0,10.0,0.0,66.6
2021-03-01 02:45:00,84.0,27.6,60.2,437.4,20.0,10.1,0.0,66.5
2021-03-01 03:00:00,83.9,27.6,60.5,435.4,20.0,10.6,0.0,66.5
2021-03-01 03:15:00,83.7,27.7,60.6,435.0,20.0,10.8,0.0,66.6
2021-03-01 03:30:00,83.4,27.7,60.8,432.6,20.0,10.9,0.0,66.5
2021-03-01 03:45:00,83.0,27.7,60.9,436.5,20.0,10.9,0.0,66.6
2021-03-01 04:00:00,82.9,27.7,61.1,434.9,20.0,11.3,0.0,66.5
2021-03-01 04:15:00,82.9,27.7,61.2,434.6,20.0,11.0,0.0,66.5
2021-03-01 04:30:00,82.8,27.8,61.2,433.4,20.0,11.0,0.0,66.6
2021-03-01 04:45:00,82.7,27.8,61.3,431.2,20.0,11.1,0.0,66.6
2021-03-01 05:00:00,82.2,27.6,61.8,431.2,20.0,11.2,0.0,66.5
2021-03-01 05:15:00,85.4,26.6,60.1,426.5,20.0,10.3,0.0,66.1
2021-03-01 05:30:00,90.3,25.8,56.9,421.0,23.9,9.8,0.0,65.8
2021-03-01 05:45:00,93.0,25.4,54.6,419.6,28.4,9.5,0.0,65.7
2021-03-01 06:00:00,94.0,25.3,53.9,418.7,20.9,9.2,0.0,65.8
2021-03-01 06:15:00,94.0,25.1,54.1,413.7,26.7,9.1,0.0,65.7
2021-03-01 06:30:00,94.0,25.1,54.2,411.2,31.1,8.8,0.0,65.6
2021-03-01 06:45:00,94.0,25.1,54.2,410.5,22.0,8.9,0.0,65.5
2021-03-01 07:00:00,94.0,25.1,54.3,408.3,23.1,8.8,0.0,65.6
2021-03-01 07:15:00,94.0,25.0,54.5,408.2,27.3,8.7,0.0,65.6
2021-03-01 07:30:00,94.0,25.0,54.7,408.7,25.6,8.6,0.0,65.5
2021-03-01 07:45:00,94.0,25.0,55.2,410.6,20.2,8.5,1.7,65.5
2021-03-01 08:00:00,94.0,24.9,55.5,409.5,20.4,8.4,6.2,65.6
2021-03-01 08:15:00,94.0,24.8,55.4,415.4,21.2,8.0,10.4,65.7
2021-03-01 08:30:00,94.5,24.8,54.8,417.9,20.0,7.7,14.3,65.6
