timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,74.0,29.4,64.5,409.1,29.0,18.4,0.0,49.5
2021-03-01 00:15:00,74.0,29.5,64.4,408.0,22.9,18.2,0.0,49.5
2021-03-01 00:30:00,74.0,29.5,64.3,412.2,20.1,17.9,0.0,49.6
2021-03-01 00:45:00,74.0,29.4,64.5,408.2,20.0,17.9,0.0,49.4
2021-03-01 01:00:00,74.0,29.4,64.7,411.5,20.0,17.8,0.0,49.3
2021-03-01 01:15:00,74.0,29.4,64.5,406.0,20.0,17.6,0.0,49.4
2021-03-01 01:30:00,74.0,29.4,64.5,405.2,20.0,17.4,0.0,49.3
2021-03-01 01:45:00,74.0,29.4,64.5,409.9,20.0,17.2,0.0,49.4
2021-03-01 02:00:00,74.0,29.3,64.6,408.4,20.0,17.2,0.0,49.3
2021-03-01 02:15:00,74.0,29.4,64.6,408.9,20.0,17.3,0.0,49.3
2021-03-01 02:30:00,74.0,29.3,64.7,410.8,20.0,17.3,0.0,49.3
2021-03-01 02:45:00,73.9,29.4,64.6,407.0,41.8,17.2,0.0,49.4
2021-03-01 03:00:00,74.0,29.4,64.6,408.8,20.0,17.1,0.0,49.4
2021-03-01 03:15:00,74.0,29.3,64.7,410.6,20.0,17.2,0.0,49.4
2021-03-01 03:30:00,74.0,29.3,64.8,408.8,20.0,17.4,0.0,49.3
2021-03-01 03:45:00,74.0,29.3,64.9,406.5,20.0,17.5,0.0,49.3
2021-03-01 04:00:00,74.0,29.3,65.1,409.0,20.0,17.4,0.0,49.4
2021-03-01 04:15:00,74.0,29.2,65.5,406.4,20.0,17.5,0.0,49.5
2021-03-01 04:30:00,74.0,29.2,65.5,407.3,20.0,17.5,0.0,49.5
2021-03-01 04:45:00,74.0,29.3,65.6,408.0,20.0,17.8,0.0,49.8
2021-03-01 05:00:00,74.0,29.3,65.6,404.7,20.0,18.0,0.0,49.6
2021-03-01 05:15:00,73.7,29.3,65.7,403.0,20.0,18.5,0.0,49.9
2021-03-01 05:30:00,73.8,29.3,65.7,402.3,20.0,18.4,0.0,50.0
2021-03-01 05:45:00,73.4,29.3,65.8,408.0,20.0,18.7,0.0,50.4
2021-03-01 06:00:00,73.2,29.3,65.7,406.0,20.0,18.9,0.0,50.5
2021-03-01 06:15:00,73.1,29.3,66.0,403.9,20.0,19.4,0.0,50.4
2021-03-01 06:30:00,73.1,29.3,66.0,404.1,20.0,19.3,0.0,50.9
2021-03-01 06:45:00,73.0,29.2,66.4,410.5,20.0,20.0,0.0,51.1
2021-03-01 07:00:00,73.0,29.1,66.6,412.5,20.0,20.0,0.2,51.1
2021-03-01 07:15:00,73.0,29.2,66.5,406.6,20.0,20.2,20.6,51.5
2021-03-01 07:30:00,73.0,29.1,66.7,408.8,20.0,20.1,68.5,51.4
2021-03-01 07:45:00,73.0,29.1,66.8,408.8,20.0,20.0,117.5,51.6
2021-03-01 08:00:00,73.9,28.9,66.0,409.9,20.0,18.4,164.3,51.2
2021-03-01 08:15:00,78.1,28.5,62.9,420.6,22.7,14.6,203.3,51.2
2021-03-01 08:30:00,81.5,28.4,61.2,423.2,67.6,12.9,236.8,51.4
2021-03-01 08:45:00,81.6,28.2,61.2,427.3,93.3,12.6,264.6,53.0
2021-03-01 09:00:00,79.2,27.8,62.9,430.7,142.4,13.2,287.5,56.2
2021-03-01 09:15:00,80.8,27.7,62.3,437.8,150.7,12.1,330.7,53.8
2021-03-01 09:30:00,81.1,27.6,61.9,434.4,170.0,11.7,359.9,55.3
2021-03-01 09:45:00,81.8,27.5,61.6,429.2,178.2,11.3,386.4,54.0
2021-03-01 10:00:00,82.0,27.5,61.2,431.2,190.5,11.0,394.6,54.0
2021-03-01 10:15:00,82.3,27.6,60.8,435.0,213.2,10.6,400.7,52.1
2021-03-01 10:30:00,81.7,27.5,60.6,441.5,296.9,10.5,405.7,51.6
2021-03-01 10:45:00,82.0,27.5,60.6,440.4,266.4,10.6,432.4,52.2
2021-03-01 11:00:00,82.2,27.5,60.4,441.6,249.9,10.4,461.9,52.3
2021-03-01 11:15:00,82.9,27.6,60.1,443.5,239.8,10.7,489.2,52.0
2021-03-01 11:30:00,82.8,27.6,60.1,446.8,239.0,11.2,534.8,52.1
2021-03-01 11:45:00,82.6,27.6,59.8,444.8,239.5,11.4,593.1,51.7
2021-03-01 12:00:00,82.2,27.7,59.5,442.8,248.6,11.8,615.8,52.0
2021-03-01 12:15:00,82.0,27.7,59.5,446.8,256.6,12.3,600.9,52.0
2021-03-01 12:30:00,81.9,27.7,59.4,452.7,268.5,12.7,633.2,52.5
2021-03-01 12:45:00,81.9,27.8,59.2,463.9,273.3,12.9,692.0,53.5
2021-03-01 13:00:00,82.0,27.8,59.2,468.4,254.7,12.8,647.8,54.2
2021-03-01 13:15:00,82.6,27.8,59.1,463.4,219.4,12.3,731.5,54.3
2021-03-01 13:30:00,83.0,27.9,58.9,453.7,196.3,11.9,881.0,54.6
2021-03-01 13:45:00,83.3,27.9,58.9,451.5,173.6,11.7,943.3,53.4
2021-03-01 14:00:00,83.8,27.9,58.8,450.8,163.5,11.2,619.4,52.7
2021-03-01 14:15:00,84.0,27.9,58.7,447.5,160.4,10.7,1040.2,52.6
2021-03-01 14:30:00,84.0,28.0,58.5,437.9,155.7,10.4,1314.9,52.3
2021-03-01 14:45:00,84.0,28.0,58.5,439.8,167.8,10.3,1066.7,52.6
2021-03-01 15:00:00,83.9,28.0,58.5,438.4,178.8,10.2,1530.1,53.4
2021-03-01 15:15:00,83.5,28.1,58.4,459.0,188.4,10.6,842.0,54.8
2021-03-01 15:30:00,83.8,28.1,58.3,459.5,185.6,10.3,688.8,53.2
2021-03-01 15:45:00,83.9,28.1,58.4,452.1,179.7,10.1,900.6,52.7
2021-03-01 16:00:00,84.0,28.1,58.2,451.2,162.1,9.7,1638.7,52.3
2021-03-01 16:15:00,84.0,28.1,58.1,447.2,162.9,9.6,1835.7,52.6
2021-03-01 16:30:00,84.0,28.2,57.7,446.4,175.4,9.5,1501.4,52.2
2021-03-01 16:45:00,84.0,28.2,57.8,443.6,187.3,9.3,832.1,52.3
2021-03-01 17:00:00,84.0,28.2,57.8,445.8,186.0,9.7,532.1,53.3
2021-03-01 17:15:00,84.0,28.2,58.1,444.5,182.5,9.4,290.1,54.0
2021-03-01 17:30:00,84.0,28.1,58.1,444.9,172.9,9.3,279.5,54.6
2021-03-01 17:45:00,84.0,28.1,58.3,440.1,157.6,9.1,307.6,54.4
2021-03-01 18:00:00,83.2,28.2,59.6,439.2,150.9,9.2,661.2,55.2
2021-03-01 18:15:00,82.0,28.6,60.3,444.5,176.3,9.4,467.8,54.2
2021-03-01 18:30:00,82.0,28.7,60.4,450.6,187.5,10.2,399.5,54.4
2021-03-01 18:45:00,82.0,28.8,60.4,455.5,188.6,10.6,385.0,53.8
2021-03-01 19:00:00,82.0,28.9,60.4,467.1,180.5,10.6,354.4,53.8
2021-03-01 19:15:00,82.0,28.9,60.4,475.8,172.1,10.7,340.3,53.7
2021-03-01 19:30:00,82.0,28.9,60.4,479.7,163.8,10.8,336.5,53.7
2021-03-01 19:45:00,82.0,28.9,60.5,485.4,154.8,11.0,336.1,53.9
2021-03-01 20:00:00,82.0,28.9,60.6,486.7,149.2,11.2,335.9,54.0
2021-03-01 20:15:00,81.7,28.9,60.8,495.9,142.9,11.4,336.7,54.0
2021-03-01 20:30:00,81.6,28.9,60.9,495.0,138.3,11.4,336.7,54.9
2021-03-01 20:45:00,81.8,29.2,60.4,501.5,130.2,11.4,147.1,53.2
2021-03-01 21:00:00,82.0,29.4,59.7,498.3,106.4,11.6,0.0,50.4
2021-03-01 21:15:00,81.9,29.4,60.0,495.9,109.0,12.0,0.0,50.4
2021-03-01 21:30:00,81.3,29.3,60.4,491.7,121.1,12.6,0.0,50.6
2021-03-01 21:45:00,80.4,29.3,60.8,481.0,129.1,13.4,0.0,50.5
2021-03-01 22:00:00,81.3,29.4,60.1,487.7,134.8,12.6,0.0,50.4
2021-03-01 22:15:00,81.6,29.3,59.9,489.5,130.4,12.3,0.0,50.3
2021-03-01 22:30:00,81.5,29.3,60.0,483.1,130.2,12.5,0.0,50.2
2021-03-01 22:45:00,81.4,29.4,60.0,480.5,132.1,12.6,0.0,50.2
2021-03-01 23:00:00,81.2,29.3,59.9,477.0,132.7,12.9,0.0,50.1
2021-03-01 23:15:00,80.9,29.3,60.1,475.6,129.7,13.2,0.0,50.1
2021-03-01 23:30:00,80.4,29.3,60.4,474.6,123.7,13.7,0.0,50.4
2021-03-01 23:45:00,81.0,29.4,60.1,476.8,120.8,13.3,0.0,50.1
2021-03-02 00:00:00,81.0,29.3,60.3,468.6,113.0,13.5,0.0,49.9
2021-03-02 00:15:00,80.9,29.3,60.4,464.6,109.8,13.8,0.0,49.9
2021-03-02 00:30:00,80.9,29.3,60.5,462.6,102.9,14.0,0.0,49.8
2021-03-02 00:45:00,80.4,29.3,60.6,460.5,94.9,14.5,0.0,49.7
2021-03-02 01:00:00,80.1,29.3,60.5,460.2,83.7,15.0,0.0,49.8
2021-03-02 01:15:00,79.7,29.3,60.6,455.5,76.4,15.6,0.0,49.6
2021-03-02 01:30:00,79.3,29.3,60.6,450.4,74.2,16.1,0.0,49.6
2021-03-02 01:45:00,79.0,29.3,60.9,447.3,73.2,16.7,0.0,49.6
2021-03-02 02:00:00,78.6,29.2,61.2,451.4,64.6,16.6,0.0,49.6
2021-03-02 02:15:00,78.0,29.2,61.7,448.3,49.3,17.0,0.0,49.5
2021-03-02 02:30:00,77.5,29.1,62.1,446.1,44.5,17.1,0.0,49.7
2021-03-02 02:45:00,76.7,29.1,62.6,442.3,39.8,17.8,0.0,49.6
2021-03-02 03:00:00,76.8,29.0,62.7,441.5,43.8,17.6,0.0,49.5
2021-03-02 03:15:00,76.3,29.0,62.8,435.6,38.6,18.1,0.0,49.7
2021-03-02 03:30:00,76.2,29.0,62.9,437.2,35.1,18.1,0.0,49.6
2021-03-02 03:45:00,76.0,29.0,63.2,440.4,32.7,18.3,0.0,49.7
2021-03-02 04:00:00,75.8,28.9,63.4,437.1,31.4,18.4,0.0,49.8
2021-03-02 04:15:00,75.8,29.0,63.3,437.7,31.4,18.5,0.0,49.8
2021-03-02 04:30:00,75.4,29.0,63.5,436.2,28.7,18.7,0.0,49.7
2021-03-02 04:45:00,75.1,29.0,63.8,435.4,25.5,19.0,0.0,49.8
2021-03-02 05:00:00,75.0,28.9,63.9,431.7,27.4,18.8,0.0,49.8
2021-03-02 05:15:00,75.0,28.9,63.9,432.1,25.4,18.9,0.0,50.0
2021-03-02 05:30:00,74.3,28.8,64.5,434.5,24.2,19.1,0.0,49.9
2021-03-02 05:45:00,74.1,28.7,64.9,431.0,24.2,19.4,0.0,50.1
2021-03-02 06:00:00,74.1,28.7,65.0,429.5,23.8,19.3,0.0,50.3
2021-03-02 06:15:00,74.0,28.7,65.2,427.2,21.9,19.4,0.0,50.7
2021-03-02 06:30:00,74.0,28.7,65.4,425.6,20.8,19.4,0.0,51.1
2021-03-02 06:45:00,74.0,28.6,65.6,425.7,20.4,19.6,0.0,51.0
2021-03-02 07:00:00,74.0,28.6,65.7,431.4,20.8,19.6,0.7,51.1
2021-03-02 07:15:00,74.0,28.6,65.8,423.9,20.3,19.7,24.3,51.3
2021-03-02 07:30:00,74.0,28.6,66.0,426.5,20.1,19.5,74.5,51.4
2021-03-02 07:45:00,74.0,28.5,66.3,426.2,20.1,19.6,127.3,51.4
2021-03-02 08:00:00,74.9,28.5,65.1,426.4,20.1,18.1,169.7,51.2
2021-03-02 08:15:00,79.3,28.2,62.6,424.4,20.0,13.8,206.9,51.2
2021-03-02 08:30:00,82.5,28.2,60.9,422.0,29.4,10.9,239.4,51.1
2021-03-02 08:45:00,82.0,27.9,61.5,420.3,60.8,10.5,267.8,52.7
2021-03-02 09:00:00,80.9,27.5,62.7,425.9,86.2,10.4,295.4,54.3
2021-03-02 09:15:00,81.8,27.4,62.3,430.3,77.0,9.1,311.4,54.2
2021-03-02 09:30:00,82.5,27.5,61.7,431.7,84.5,8.2,303.8,56.2
2021-03-02 09:45:00,83.3,27.6,60.9,441.4,104.4,7.7,295.1,57.8
2021-03-02 10:00:00,83.2,27.5,60.9,446.8,113.2,7.4,302.9,55.9
2021-03-02 10:15:00,83.7,27.5,60.7,446.1,120.9,6.9,307.3,53.7
2021-03-02 10:30:00,83.4,27.4,60.8,440.2,130.8,6.6,310.5,53.6
2021-03-02 10:45:00,83.1,27.4,60.7,440.2,143.6,6.6,313.8,53.8
2021-03-02 11:00:00,83.9,27.4,60.5,437.1,140.5,6.3,323.0,53.1
2021-03-02 11:15:00,84.0,27.4,60.4,436.0,148.0,6.4,331.3,53.3
2021-03-02 11:30:00,84.0,27.4,60.4,439.8,152.4,6.5,340.8,54.1
2021-03-02 11:45:00,84.0,27.4,60.1,444.5,161.8,6.6,351.7,54.5
2021-03-02 12:00:00,84.0,27.5,59.5,437.6,171.3,6.3,378.7,53.9
2021-03-02 12:15:00,84.0,27.5,59.1,443.0,193.8,6.2,402.3,54.1
2021-03-02 12:30:00,84.0,27.5,58.8,442.1,201.0,6.2,436.2,53.7
2021-03-02 12:45:00,84.0,27.5,58.9,445.5,204.1,6.3,489.3,54.0
2021-03-02 13:00:00,84.0,27.6,58.9,446.7,205.9,6.5,553.2,54.3
2021-03-02 13:15:00,84.0,27.6,58.8,454.7,207.9,6.6,613.1,54.4
2021-03-02 13:30:00,83.8,27.6,58.7,456.0,214.8,6.9,748.9,53.4
2021-03-02 13:45:00,84.0,27.7,58.5,458.8,214.3,7.1,745.8,52.7
2021-03-02 14:00:00,83.9,27.7,58.5,465.7,217.1,6.9,791.5,52.7
2021-03-02 14:15:00,84.0,27.7,58.3,474.5,220.9,7.1,873.0,52.5
2021-03-02 14:30:00,84.0,27.8,57.9,488.5,219.3,6.6,827.0,52.1
2021-03-02 14:45:00,84.0,27.9,57.6,498.7,224.0,6.5,939.4,52.4
2021-03-02 15:00:00,83.8,28.0,57.5,503.2,225.3,6.9,962.4,53.9
2021-03-02 15:15:00,83.2,28.1,57.4,509.9,226.8,7.3,1057.2,53.1
2021-03-02 15:30:00,83.5,28.1,57.2,506.1,228.7,6.9,1115.7,53.7
2021-03-02 15:45:00,83.9,28.2,57.1,502.9,227.8,6.5,1262.1,53.8
2021-03-02 16:00:00,84.0,28.3,56.8,504.7,225.6,6.2,1461.3,51.8
2021-03-02 16:15:00,84.0,28.3,56.7,500.0,226.8,6.1,1460.6,51.7
2021-03-02 16:30:00,83.8,28.3,56.8,497.4,231.3,6.1,1465.9,51.7
2021-03-02 16:45:00,83.1,28.4,56.7,497.9,241.5,6.1,1465.5,52.7
2021-03-02 17:00:00,83.0,28.5,56.5,503.1,243.5,6.3,3152.3,53.6
2021-03-02 17:15:00,83.1,28.6,56.2,501.1,253.3,6.2,1812.4,53.6
2021-03-02 17:30:00,83.0,28.6,56.1,496.2,266.5,6.3,1725.8,54.0
2021-03-02 17:45:00,83.0,28.7,56.1,496.1,264.6,6.4,2689.0,53.5
2021-03-02 18:00:00,82.6,28.7,57.2,487.3,260.3,6.5,1065.2,53.3
2021-03-02 18:15:00,82.0,29.1,57.4,493.9,272.4,6.9,1041.3,53.1
2021-03-02 18:30:00,82.0,29.3,56.8,506.1,267.7,7.5,1005.9,53.3
2021-03-02 18:45:00,82.0,29.5,56.6,517.5,252.5,6.7,610.4,53.3
2021-03-02 19:00:00,82.0,29.5,56.5,526.4,235.5,6.7,428.7,53.4
2021-03-02 19:15:00,81.5,29.5,56.8,537.9,226.2,6.9,355.5,53.7
2021-03-02 19:30:00,81.0,29.4,57.1,546.7,223.1,7.0,337.7,53.2
2021-03-02 19:45:00,81.0,29.4,57.3,553.7,217.0,8.4,336.9,53.0
2021-03-02 20:00:00,80.8,29.3,57.8,565.6,215.0,8.5,337.1,53.3
2021-03-02 20:15:00,80.5,29.4,57.9,569.7,214.0,8.1,338.1,52.9
2021-03-02 20:30:00,80.0,29.4,58.1,573.7,216.3,8.0,338.1,53.1
2021-03-02 20:45:00,80.0,29.4,58.2,578.6,213.8,8.1,338.1,53.4
2021-03-02 21:00:00,80.0,29.7,57.4,577.5,209.3,8.0,47.9,51.4
2021-03-02 21:15:00,80.4,30.0,56.8,576.6,195.0,8.1,0.0,50.6
2021-03-02 21:30:00,80.2,29.9,57.1,575.5,196.1,8.5,0.0,50.7
2021-03-02 21:45:00,80.6,29.8,57.4,567.5,198.0,8.3,0.0,50.5
2021-03-02 22:00:00,80.2,29.6,58.0,567.4,199.2,8.4,0.0,50.4
2021-03-02 22:15:00,80.5,29.6,58.3,558.5,199.1,8.4,0.0,50.4
2021-03-02 22:30:00,80.7,29.5,58.6,552.9,199.3,8.5,0.0,50.3
2021-03-02 22:45:00,80.5,29.4,59.0,550.6,197.6,8.4,0.0,50.3
2021-03-02 23:00:00,80.6,29.4,59.4,541.0,199.3,8.5,0.0,50.1
2021-03-02 23:15:00,80.9,29.4,59.6,534.9,196.6,8.4,0.0,50.2
2021-03-02 23:30:00,80.9,29.3,59.9,529.0,191.9,8.6,0.0,50.1
2021-03-02 23:45:00,81.0,29.3,59.9,529.1,181.9,8.4,0.0,50.1
2021-03-03 00:00:00,81.1,29.2,59.7,526.7,175.4,8.2,0.0,50.0
2021-03-03 00:15:00,81.3,29.2,59.9,521.2,157.7,8.1,0.0,49.9
2021-03-03 00:30:00,81.9,29.3,60.0,514.3,146.2,8.2,0.0,49.9
2021-03-03 00:45:00,82.0,29.3,59.9,512.5,142.9,8.2,0.0,49.9
2021-03-03 01:00:00,82.0,29.3,59.8,513.1,141.5,8.2,0.0,49.9
2021-03-03 01:15:00,82.0,29.3,60.0,506.8,133.3,8.1,0.0,49.8
2021-03-03 01:30:00,82.0,29.3,60.0,502.2,131.8,8.0,0.0,49.8
2021-03-03 01:45:00,82.0,29.4,60.0,498.2,124.9,8.0,0.0,49.8
2021-03-03 02:00:00,82.0,29.3,60.3,490.1,120.0,8.1,0.0,49.9
2021-03-03 02:15:00,82.0,29.3,60.3,498.8,116.9,8.1,0.0,49.7
2021-03-03 02:30:00,82.0,29.3,60.5,494.9,111.0,8.1,0.0,49.8
2021-03-03 02:45:00,82.0,29.3,60.6,490.7,105.4,8.1,0.0,49.8
2021-03-03 03:00:00,82.0,29.3,60.8,486.9,100.6,8.3,0.0,49.9
2021-03-03 03:15:00,81.7,29.2,61.0,484.0,97.2,8.4,0.0,49.9
2021-03-03 03:30:00,81.3,29.2,61.2,480.0,99.0,8.5,0.0,49.9
2021-03-03 03:45:00,81.0,29.1,61.5,479.5,98.4,8.8,0.0,49.9
2021-03-03 04:00:00,81.0,29.1,61.8,477.2,94.3,9.2,0.0,49.9
2021-03-03 04:15:00,80.9,29.1,61.9,472.0,90.4,9.5,0.0,49.9
2021-03-03 04:30:00,80.4,29.0,62.0,473.9,84.5,11.5,0.0,49.9
2021-03-03 04:45:00,80.2,29.1,62.1,467.4,77.5,10.8,0.0,50.1
2021-03-03 05:00:00,80.0,29.1,62.2,470.0,75.1,9.8,0.0,50.1
2021-03-03 05:15:00,80.0,29.1,62.2,465.9,76.6,9.8,0.0,50.0
2021-03-03 05:30:00,80.0,29.2,62.3,462.9,75.9,10.0,0.0,50.3
2021-03-03 05:45:00,80.0,29.1,62.5,460.8,75.3,9.9,0.0,50.5
2021-03-03 06:00:00,80.0,29.2,62.5,460.2,74.6,10.0,0.0,50.8
2021-03-03 06:15:00,80.0,29.1,62.7,456.2,73.8,9.9,0.0,50.9
2021-03-03 06:30:00,79.9,29.2,62.6,456.2,70.4,10.0,0.0,51.2
