timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,72.0,27.5,78.1,424.8,57.7,16.9,0.0,53.3
2021-03-01 00:15:00,72.4,27.4,78.3,416.0,55.3,15.8,0.0,53.3
2021-03-01 00:30:00,72.8,27.4,78.4,414.8,52.2,14.8,0.0,53.5
2021-03-01 00:45:00,73.0,27.4,78.4,410.5,40.1,14.5,0.0,53.3
2021-03-01 01:00:00,73.4,27.4,78.5,412.3,42.8,13.7,0.0,53.2
2021-03-01 01:15:00,73.5,27.3,78.7,410.7,41.6,13.6,0.0,53.2
2021-03-01 01:30:00,73.8,27.4,78.8,406.9,34.9,12.9,0.0,53.2
2021-03-01 01:45:00,73.6,27.3,79.0,410.4,31.7,13.1,0.0,53.2
2021-03-01 02:00:00,73.8,27.3,79.3,412.3,34.5,12.8,0.0,53.2
2021-03-01 02:15:00,73.7,27.3,79.5,407.9,34.5,13.0,0.0,53.1
2021-03-01 02:30:00,73.5,27.3,79.5,409.4,26.9,13.3,0.0,53.1
2021-03-01 02:45:00,73.1,27.3,79.7,410.5,33.0,13.9,0.0,53.2
2021-03-01 03:00:00,72.5,27.3,79.7,408.6,36.5,14.9,0.0,53.2
2021-03-01 03:15:00,72.4,27.3,79.7,406.9,28.9,15.1,0.0,53.3
2021-03-01 03:30:00,72.4,27.2,79.7,406.7,28.5,15.2,0.0,53.2
2021-03-01 03:45:00,72.2,27.2,79.9,407.0,31.3,15.3,0.0,53.3
2021-03-01 04:00:00,72.2,27.2,79.9,404.8,29.9,15.3,0.0,53.2
2021-03-01 04:15:00,72.4,27.2,80.2,408.1,24.4,15.0,0.0,53.3
2021-03-01 04:30:00,72.3,27.2,80.4,407.6,26.8,14.8,0.0,53.3
2021-03-01 04:45:00,72.4,27.1,80.7,408.2,28.3,14.7,0.0,53.5
2021-03-01 05:00:00,72.2,27.1,80.8,408.4,24.8,15.2,0.0,53.4
2021-03-01 05:15:00,71.4,27.1,80.8,410.3,27.6,16.9,0.0,53.3
2021-03-01 05:30:00,71.1,27.1,81.0,411.0,29.0,18.2,0.0,53.2
2021-03-01 05:45:00,70.9,27.1,81.0,411.6,25.9,18.9,0.0,53.4
2021-03-01 06:00:00,70.7,27.1,81.0,414.4,21.3,19.7,0.0,53.5
2021-03-01 06:15:00,70.7,27.1,81.2,416.1,24.7,19.8,0.0,53.5
2021-03-01 06:30:00,70.8,27.1,81.3,417.0,37.3,19.6,0.0,53.6
2021-03-01 06:45:00,70.8,27.0,81.4,418.8,34.4,19.4,0.0,53.7
2021-03-01 07:00:00,70.9,27.0,81.5,423.1,48.3,19.2,0.0,54.2
2021-03-01 07:15:00,70.9,27.0,81.6,426.3,64.4,19.1,0.3,54.4
2021-03-01 07:30:00,70.8,27.0,81.7,431.9,65.9,18.9,10.5,54.8
2021-03-01 07:45:00,70.9,27.0,81.8,431.9,67.9,18.1,31.2,55.4
2021-03-01 08:00:00,75.0,26.9,76.2,435.5,44.0,12.4,55.1,54.8
2021-03-01 08:15:00,79.3,26.4,68.9,429.2,22.4,6.7,74.4,56.1
2021-03-01 08:30:00,81.7,25.9,68.7,428.0,23.4,6.5,93.1,57.3
2021-03-01 08:45:00,83.6,25.5,69.6,440.2,33.6,7.0,151.7,56.1
2021-03-01 09:00:00,83.4,25.5,69.2,437.8,70.5,6.7,248.7,55.2
2021-03-01 09:15:00,77.6,25.6,68.7,432.6,745.0,6.9,255.1,55.3
2021-03-01 09:30:00,80.9,25.6,68.3,422.8,317.4,6.3,261.9,55.2
2021-03-01 09:45:00,82.3,25.7,67.9,418.4,137.8,6.6,266.7,54.6
2021-03-01 10:00:00,83.5,25.5,68.9,425.0,68.2,6.6,267.3,54.7
2021-03-01 10:15:00,82.1,25.9,67.6,419.2,27.4,6.2,261.9,54.2
2021-03-01 10:30:00,81.1,26.1,66.4,423.5,21.2,5.9,257.5,54.0
2021-03-01 10:45:00,82.2,25.9,67.1,425.5,23.2,6.0,266.4,54.7
2021-03-01 11:00:00,83.8,25.5,68.7,436.7,23.7,6.7,292.7,55.6
2021-03-01 11:15:00,84.0,25.4,68.8,441.1,24.7,6.9,292.0,54.5
2021-03-01 11:30:00,84.0,25.4,68.8,433.5,35.9,7.3,287.5,54.9
2021-03-01 11:45:00,84.0,25.4,68.9,432.5,32.3,7.5,291.2,55.0
2021-03-01 12:00:00,83.8,25.4,68.8,433.5,30.7,7.6,286.0,55.8
2021-03-01 12:15:00,83.3,25.6,68.1,436.8,40.3,7.7,284.5,54.8
2021-03-01 12:30:00,82.3,25.9,67.1,438.5,50.1,7.6,268.4,55.0
2021-03-01 12:45:00,82.3,25.9,66.7,433.9,31.2,7.6,265.0,54.7
2021-03-01 13:00:00,82.0,26.0,66.7,438.4,21.1,7.1,254.4,54.8
2021-03-01 13:15:00,82.2,25.9,67.1,439.9,20.1,6.9,261.3,55.4
2021-03-01 13:30:00,82.4,25.8,67.5,442.0,20.9,7.2,265.9,55.7
2021-03-01 13:45:00,81.7,26.0,66.8,440.4,20.0,6.4,274.0,54.6
2021-03-01 14:00:00,82.0,25.9,66.9,438.6,21.4,5.7,234.9,55.1
2021-03-01 14:15:00,82.6,25.8,67.2,438.9,29.1,5.7,281.9,54.5
2021-03-01 14:30:00,82.7,25.8,67.3,435.9,20.0,5.6,297.7,54.4
2021-03-01 14:45:00,81.6,26.1,66.3,424.6,24.9,5.4,278.6,54.4
2021-03-01 15:00:00,81.0,26.2,65.8,423.4,26.6,5.2,303.2,54.0
