timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,80.1,29.7,59.3,420.8,33.1,15.1,0.0,49.9
2021-03-01 00:15:00,80.2,29.7,59.4,418.6,42.6,15.0,0.0,49.8
2021-03-01 00:30:00,80.2,29.6,59.5,418.3,48.9,14.9,0.0,50.0
2021-03-01 00:45:00,80.2,29.6,59.7,416.9,36.0,14.9,0.0,49.7
2021-03-01 01:00:00,80.3,29.6,59.7,418.1,46.8,14.8,0.0,49.5
2021-03-01 01:15:00,80.4,29.6,59.8,414.6,51.3,14.6,0.0,49.6
2021-03-01 01:30:00,80.4,29.5,60.1,415.2,46.8,14.6,0.0,49.5
2021-03-01 01:45:00,80.5,29.4,60.1,414.8,43.2,14.5,0.0,49.7
2021-03-01 02:00:00,80.7,29.4,60.3,414.4,55.8,14.3,0.0,49.5
2021-03-01 02:15:00,80.6,29.4,60.4,413.8,58.6,14.3,0.0,49.5
2021-03-01 02:30:00,80.6,29.4,60.4,413.8,40.1,14.4,0.0,49.5
2021-03-01 02:45:00,80.8,29.4,60.4,409.0,52.4,14.2,0.0,49.7
2021-03-01 03:00:00,80.7,29.4,60.4,406.4,56.0,14.2,0.0,49.5
2021-03-01 03:15:00,80.5,29.4,60.4,411.7,43.7,14.4,0.0,49.5
2021-03-01 03:30:00,80.8,29.4,60.4,415.9,50.5,14.1,0.0,49.5
2021-03-01 03:45:00,80.6,29.3,60.5,407.1,60.7,14.2,0.0,49.5
2021-03-01 04:00:00,80.6,29.4,60.5,407.6,63.9,14.3,0.0,49.6
2021-03-01 04:15:00,80.3,29.4,60.5,409.6,46.3,14.8,0.0,49.6
2021-03-01 04:30:00,80.7,29.4,60.3,405.7,62.1,14.3,0.0,49.6
2021-03-01 04:45:00,80.8,29.4,60.3,405.7,69.7,14.0,0.0,50.1
2021-03-01 05:00:00,80.8,29.4,60.3,402.7,57.4,14.2,0.0,49.9
2021-03-01 05:15:00,80.8,29.4,60.3,400.8,67.0,14.1,0.0,50.3
2021-03-01 05:30:00,80.8,29.4,60.4,403.7,71.8,14.1,0.0,50.4
2021-03-01 05:45:00,80.7,29.4,60.4,403.0,72.3,14.2,0.0,50.9
2021-03-01 06:00:00,80.4,29.4,60.4,402.2,86.5,14.6,0.0,51.1
2021-03-01 06:15:00,80.5,29.4,60.5,403.2,78.1,14.3,0.0,51.0
2021-03-01 06:30:00,80.2,29.4,60.5,403.9,83.8,14.7,0.0,51.6
2021-03-01 06:45:00,80.1,29.4,60.6,405.9,70.0,14.4,0.0,51.8
2021-03-01 07:00:00,80.4,29.4,60.6,405.3,82.2,14.1,0.9,51.8
2021-03-01 07:15:00,80.6,29.4,60.6,401.8,95.7,13.9,23.3,52.4
2021-03-01 07:30:00,80.0,29.2,61.1,412.0,61.0,13.8,77.8,53.3
2021-03-01 07:45:00,83.4,29.0,57.8,452.2,20.0,12.1,149.0,52.8
2021-03-01 08:00:00,84.9,28.5,56.6,470.3,20.0,10.9,226.0,52.7
2021-03-01 08:15:00,85.1,28.3,56.1,493.0,20.0,10.2,296.8,53.0
2021-03-01 08:30:00,85.0,28.2,55.4,533.8,20.0,10.3,360.7,52.9
2021-03-01 08:45:00,84.8,28.1,54.9,563.6,20.0,10.5,417.4,54.2
