timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,76.0,28.4,67.7,421.3,189.3,10.1,0.0,53.8
2021-03-01 00:15:00,76.0,28.4,67.6,419.0,188.0,10.2,0.0,53.8
2021-03-01 00:30:00,76.0,28.5,67.6,419.6,187.3,10.1,0.0,53.8
2021-03-01 00:45:00,76.0,28.4,67.9,417.8,180.7,10.0,0.0,53.8
2021-03-01 01:00:00,76.0,28.4,68.0,418.6,174.7,9.9,0.0,53.7
2021-03-01 01:15:00,76.0,28.4,68.1,415.1,169.6,10.0,0.0,54.5
2021-03-01 01:30:00,76.0,28.4,68.0,415.8,172.6,9.8,0.0,53.8
2021-03-01 01:45:00,76.0,28.4,68.0,416.8,168.6,9.8,0.0,53.8
2021-03-01 02:00:00,76.0,28.4,68.1,420.2,167.7,9.8,0.0,53.7
2021-03-01 02:15:00,76.0,28.3,68.2,421.4,165.0,9.6,0.0,53.7
2021-03-01 02:30:00,76.0,28.3,68.2,419.5,165.8,9.6,0.0,53.7
2021-03-01 02:45:00,76.0,28.3,68.3,421.8,160.3,9.7,0.0,54.2
2021-03-01 03:00:00,76.0,28.3,68.2,421.2,164.5,9.5,0.0,53.9
2021-03-01 03:15:00,76.0,28.3,68.3,417.7,160.5,9.4,0.0,53.7
2021-03-01 03:30:00,76.0,28.3,68.4,419.4,157.0,9.5,0.0,53.7
2021-03-01 03:45:00,76.0,28.3,68.3,418.7,159.6,9.5,0.0,53.7
2021-03-01 04:00:00,76.0,28.3,68.4,416.5,160.4,9.3,0.0,53.6
2021-03-01 04:15:00,76.0,28.3,68.4,415.6,159.3,9.3,0.0,54.4
2021-03-01 04:30:00,76.0,28.3,68.4,412.9,157.5,9.3,0.0,53.9
2021-03-01 04:45:00,76.0,28.3,68.4,412.8,159.3,9.3,0.0,54.0
2021-03-01 05:00:00,76.0,28.3,68.5,412.1,159.7,9.3,0.0,53.9
2021-03-01 05:15:00,76.0,28.4,68.3,409.5,161.3,9.3,0.0,54.0
2021-03-01 05:30:00,76.0,28.4,68.4,411.5,163.6,9.4,0.0,54.1
2021-03-01 05:45:00,76.0,28.4,68.4,412.5,162.8,9.3,0.0,54.3
2021-03-01 06:00:00,76.0,28.4,68.5,410.8,161.3,9.6,0.0,54.8
2021-03-01 06:15:00,76.0,28.3,68.6,410.1,161.8,9.6,0.0,54.5
2021-03-01 06:30:00,76.0,28.2,68.9,411.4,162.5,9.7,0.0,54.6
