timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,75.7,28.1,68.6,400.3,22.6,14.1,0.0,51.4
2021-03-01 00:15:00,75.8,28.2,68.4,400.0,20.0,14.0,0.0,51.4
2021-03-01 00:30:00,75.7,28.2,68.5,400.0,20.2,14.0,0.0,51.3
2021-03-01 00:45:00,75.7,28.1,68.7,400.0,21.6,13.8,0.0,51.5
2021-03-01 01:00:00,75.9,28.2,68.5,400.0,20.7,13.5,0.0,51.4
2021-03-01 01:15:00,75.9,28.1,68.7,400.0,20.0,13.4,0.0,51.3
2021-03-01 01:30:00,75.8,28.1,68.9,400.0,20.5,13.2,0.0,51.4
2021-03-01 01:45:00,75.9,28.2,68.8,400.0,20.6,13.2,0.0,51.4
2021-03-01 02:00:00,75.8,28.1,68.8,400.0,20.0,13.2,0.0,51.4
2021-03-01 02:15:00,76.0,28.1,69.1,400.0,20.4,13.1,0.0,51.3
2021-03-01 02:30:00,76.0,28.1,69.0,400.0,21.4,13.0,0.0,51.4
2021-03-01 02:45:00,76.0,28.1,69.0,400.0,20.2,13.1,0.0,51.3
2021-03-01 03:00:00,75.8,28.1,69.2,400.0,20.1,13.2,0.0,51.3
2021-03-01 03:15:00,75.7,28.1,69.1,400.0,21.0,13.4,0.0,51.5
2021-03-01 03:30:00,75.7,28.1,69.1,400.0,20.4,13.4,0.0,51.5
2021-03-01 03:45:00,75.6,28.1,69.3,400.0,20.0,13.5,0.0,51.3
2021-03-01 04:00:00,75.6,28.1,69.3,401.4,20.4,13.5,0.0,51.5
2021-03-01 04:15:00,75.4,28.2,69.3,404.3,20.6,13.7,0.0,51.4
2021-03-01 04:30:00,75.4,28.1,69.5,405.0,20.0,13.8,0.0,51.4
2021-03-01 04:45:00,75.4,28.1,69.6,405.8,20.0,13.8,0.0,51.6
2021-03-01 05:00:00,75.3,28.2,69.5,403.4,20.3,14.0,0.0,51.5
2021-03-01 05:15:00,75.0,28.1,69.7,406.5,20.3,14.5,0.0,51.4
2021-03-01 05:30:00,74.7,28.1,69.9,408.7,20.0,15.0,0.0,51.5
2021-03-01 05:45:00,74.3,28.2,69.9,411.5,20.1,15.4,0.0,51.4
2021-03-01 06:00:00,74.0,28.1,70.1,413.5,20.3,16.1,0.0,51.2
2021-03-01 06:15:00,73.9,28.1,70.2,412.3,20.0,16.5,0.0,51.2
2021-03-01 06:30:00,73.9,28.1,70.2,412.5,20.0,16.2,0.0,51.3
2021-03-01 06:45:00,73.9,28.1,70.3,415.2,21.1,16.4,0.0,51.3
2021-03-01 07:00:00,73.9,28.1,70.4,418.3,20.8,16.5,0.0,51.3
2021-03-01 07:15:00,73.8,28.1,70.5,418.6,20.0,16.8,0.0,51.4
2021-03-01 07:30:00,73.5,27.7,73.0,438.3,20.0,16.3,0.0,52.2
2021-03-01 07:45:00,76.4,26.6,71.5,452.8,20.0,14.2,0.0,52.4
2021-03-01 08:00:00,80.5,25.9,69.5,463.8,20.0,13.3,0.0,52.3
2021-03-01 08:15:00,82.8,25.4,67.7,466.4,20.0,13.6,0.0,52.4
2021-03-01 08:30:00,83.3,25.1,66.1,467.7,20.0,15.1,0.0,52.3
2021-03-01 08:45:00,83.6,25.0,65.2,470.8,20.0,15.5,0.0,53.0
2021-03-01 09:00:00,84.1,25.0,64.9,468.1,20.0,15.1,0.0,53.5
2021-03-01 09:15:00,84.3,24.9,64.9,475.0,20.0,15.1,0.0,53.4
2021-03-01 09:30:00,83.9,24.9,64.7,478.3,20.0,16.1,119.7,55.5
2021-03-01 09:45:00,83.7,25.0,64.7,497.9,20.0,16.3,142.7,56.2
2021-03-01 10:00:00,83.8,25.0,64.3,501.0,20.0,16.3,142.2,54.5
2021-03-01 10:15:00,84.4,25.0,64.2,493.0,20.0,15.8,142.1,53.8
2021-03-01 10:30:00,84.9,25.0,64.0,493.4,20.0,14.8,142.1,53.8
2021-03-01 10:45:00,85.8,25.0,63.1,488.0,20.0,15.2,141.7,54.1
2021-03-01 11:00:00,83.0,25.0,65.8,504.4,20.0,17.3,138.9,56.0
2021-03-01 11:15:00,82.5,25.0,66.5,510.8,20.0,17.7,141.4,54.3
2021-03-01 11:30:00,83.1,24.9,65.5,499.4,20.0,17.5,141.7,54.3
2021-03-01 11:45:00,83.7,25.0,64.2,495.5,20.0,17.1,141.7,54.1
