timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,73.5,28.0,73.6,470.7,48.6,14.9,0.0,53.2
2021-03-01 00:15:00,74.2,28.1,73.5,473.8,59.5,13.7,0.0,53.1
2021-03-01 00:30:00,74.3,28.0,73.9,471.0,29.6,13.7,0.0,53.1
2021-03-01 00:45:00,74.7,28.0,73.8,472.8,35.2,13.1,0.0,53.3
2021-03-01 01:00:00,74.8,28.0,73.9,476.8,37.8,12.8,0.0,53.2
2021-03-01 01:15:00,74.9,28.0,74.0,474.9,32.9,12.7,0.0,53.2
2021-03-01 01:30:00,74.8,28.0,74.0,477.5,35.9,12.7,0.0,53.2
2021-03-01 01:45:00,75.1,28.0,73.8,483.7,60.4,12.2,0.0,53.2
2021-03-01 02:00:00,75.2,28.0,73.9,483.4,57.7,12.1,0.0,53.1
2021-03-01 02:15:00,74.9,28.0,74.1,483.9,41.5,12.1,0.0,53.1
2021-03-01 02:30:00,74.8,28.0,74.1,480.7,36.4,12.2,0.0,53.2
2021-03-01 02:45:00,74.4,28.0,74.3,479.9,35.9,12.8,0.0,53.0
2021-03-01 03:00:00,74.1,28.0,74.4,480.6,30.0,13.1,0.0,53.0
2021-03-01 03:15:00,74.2,28.0,74.5,482.9,44.0,13.0,0.0,53.0
2021-03-01 03:30:00,74.8,28.0,74.2,487.1,57.6,12.4,0.0,53.3
2021-03-01 03:45:00,74.3,28.0,74.5,483.1,44.4,12.9,0.0,53.0
2021-03-01 04:00:00,74.5,28.0,74.3,482.6,53.7,12.6,0.0,53.2
2021-03-01 04:15:00,74.7,28.1,74.2,487.2,68.0,12.3,0.0,53.2
2021-03-01 04:30:00,74.8,28.1,74.2,489.9,72.7,12.0,20.3,53.0
2021-03-01 04:45:00,74.8,28.2,73.8,486.1,62.2,12.0,63.1,52.5
2021-03-01 05:00:00,74.7,28.3,73.7,488.6,61.8,12.2,44.1,52.7
2021-03-01 05:15:00,74.8,28.3,73.8,491.5,72.7,11.9,8.0,53.9
2021-03-01 05:30:00,74.8,28.2,74.0,496.3,84.6,11.9,0.0,53.3
2021-03-01 05:45:00,74.5,28.2,74.0,499.4,80.8,12.4,9.2,54.1
2021-03-01 06:00:00,74.1,28.2,74.1,493.4,68.4,13.2,23.2,55.5
2021-03-01 06:15:00,74.1,28.2,74.2,494.6,73.3,13.2,14.6,54.7
2021-03-01 06:30:00,74.2,28.1,74.3,492.9,70.8,13.0,0.0,53.2
2021-03-01 06:45:00,74.2,28.1,74.3,491.7,73.2,13.0,0.0,53.2
2021-03-01 07:00:00,74.2,28.1,74.5,486.1,76.5,13.0,0.0,53.2
2021-03-01 07:15:00,73.5,28.1,75.0,480.3,53.9,14.4,0.0,53.3
2021-03-01 07:30:00,74.2,28.1,74.9,483.0,54.0,12.9,0.0,53.6
2021-03-01 07:45:00,75.6,28.1,73.9,474.4,23.1,8.8,0.0,53.8
2021-03-01 08:00:00,77.0,27.8,69.9,456.3,20.0,6.7,0.0,53.5
2021-03-01 08:15:00,78.7,27.2,66.3,442.0,20.0,5.7,0.1,53.8
2021-03-01 08:30:00,79.8,26.5,66.0,435.5,20.0,6.0,1.1,53.7
2021-03-01 08:45:00,83.4,25.7,66.6,436.9,21.6,6.8,2.0,54.8
2021-03-01 09:00:00,84.1,25.5,66.9,436.9,20.0,7.7,2.5,55.6
2021-03-01 09:15:00,84.9,25.3,67.5,442.5,20.0,6.8,3.6,55.7
2021-03-01 09:30:00,85.0,25.2,67.5,440.6,21.6,6.8,4.3,55.2
2021-03-01 09:45:00,85.3,25.0,67.2,437.0,20.7,6.7,4.8,54.8
2021-03-01 10:00:00,85.8,24.9,67.3,434.3,20.0,6.5,5.3,55.0
2021-03-01 10:15:00,86.0,24.8,67.7,436.9,20.0,6.4,5.3,54.7
2021-03-01 10:30:00,86.0,24.7,67.9,437.7,20.7,6.4,5.3,54.6
2021-03-01 10:45:00,86.0,24.7,67.9,438.4,20.0,6.2,5.9,54.9
2021-03-01 11:00:00,86.0,24.6,67.9,433.4,20.0,6.5,6.5,54.9
2021-03-01 11:15:00,86.0,24.6,68.1,434.3,20.2,7.0,6.8,54.9
2021-03-01 11:30:00,86.0,24.5,68.3,428.9,20.4,7.3,6.7,54.9
2021-03-01 11:45:00,86.0,24.6,68.0,427.6,20.0,7.6,7.4,55.1
2021-03-01 12:00:00,86.0,24.5,68.1,428.7,20.0,8.0,6.3,55.9
2021-03-01 12:15:00,86.0,24.5,68.3,435.4,21.0,8.1,6.0,55.7
2021-03-01 12:30:00,86.0,24.4,68.6,443.3,20.0,8.2,29.9,56.6
2021-03-01 12:45:00,86.0,24.4,68.4,455.5,20.0,8.2,33.5,58.0
