timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,74.0,28.6,70.3,480.6,153.5,14.0,0.6,51.4
2021-03-01 00:15:00,73.9,28.5,70.6,480.6,156.6,14.1,0.6,51.4
2021-03-01 00:30:00,73.8,28.4,70.9,485.5,156.5,14.2,0.5,51.5
2021-03-01 00:45:00,73.8,28.5,70.9,483.4,159.8,14.1,0.5,51.4
2021-03-01 01:00:00,73.8,28.5,71.0,484.7,159.3,13.8,0.5,51.1
2021-03-01 01:15:00,74.1,28.5,71.1,485.6,153.9,13.6,0.5,51.1
2021-03-01 01:30:00,74.0,28.5,71.3,485.5,151.1,13.5,0.5,51.2
2021-03-01 01:45:00,74.1,28.4,71.5,484.4,153.3,13.2,0.5,51.2
2021-03-01 02:00:00,74.2,28.4,71.5,486.2,149.0,13.3,0.5,51.1
2021-03-01 02:15:00,74.3,28.5,71.4,485.0,146.9,12.9,0.5,51.2
2021-03-01 02:30:00,74.4,28.5,71.4,485.2,145.3,12.9,0.5,51.3
2021-03-01 02:45:00,74.3,28.4,71.6,491.2,147.0,12.9,0.5,51.3
2021-03-01 03:00:00,74.6,28.4,71.7,490.3,137.9,12.6,0.5,51.3
2021-03-01 03:15:00,74.5,28.6,71.3,493.4,141.5,12.7,0.5,51.3
2021-03-01 03:30:00,74.5,28.5,71.7,488.5,142.5,12.6,0.5,51.5
2021-03-01 03:45:00,74.3,28.2,72.5,488.5,146.1,12.9,0.5,51.9
2021-03-01 04:00:00,74.4,28.4,72.2,486.0,148.8,12.6,0.4,51.3
2021-03-01 04:15:00,74.4,28.5,71.8,495.0,153.9,12.7,0.0,51.3
2021-03-01 04:30:00,74.3,28.4,72.1,492.4,154.3,12.7,0.0,51.2
2021-03-01 04:45:00,74.4,28.5,71.8,501.6,152.3,12.6,0.0,51.6
2021-03-01 05:00:00,74.4,28.5,72.0,502.8,156.6,12.5,0.0,51.6
2021-03-01 05:15:00,74.3,28.4,72.4,498.4,154.3,12.8,0.0,51.8
2021-03-01 05:30:00,74.1,28.5,72.3,506.8,149.0,12.9,0.0,51.8
2021-03-01 05:45:00,74.0,28.4,72.6,501.7,147.6,13.2,0.0,52.1
2021-03-01 06:00:00,73.9,28.2,73.1,496.2,155.2,13.2,0.4,52.7
2021-03-01 06:15:00,73.7,28.1,73.6,495.9,158.5,13.5,0.8,52.4
2021-03-01 06:30:00,73.7,28.1,73.5,497.8,153.8,13.4,0.8,52.8
2021-03-01 06:45:00,73.5,28.1,73.9,497.7,162.7,13.5,0.8,53.0
2021-03-01 07:00:00,73.6,28.2,73.4,502.4,163.4,13.4,1.5,52.4
2021-03-01 07:15:00,73.7,28.4,72.8,506.2,154.0,13.3,6.2,53.2
2021-03-01 07:30:00,74.4,28.4,73.3,493.5,115.3,12.3,18.3,54.7
2021-03-01 07:45:00,75.7,28.2,72.8,459.8,33.4,9.6,34.1,55.2
2021-03-01 08:00:00,77.4,27.9,68.4,448.1,20.0,8.0,50.9,54.2
2021-03-01 08:15:00,78.9,27.5,65.2,439.6,20.0,7.4,64.7,54.4
2021-03-01 08:30:00,82.4,27.4,61.9,434.1,20.2,7.8,78.3,55.0
2021-03-01 08:45:00,84.0,27.4,60.4,438.3,24.7,8.5,89.8,56.0
2021-03-01 09:00:00,83.6,27.3,60.9,475.2,21.5,8.5,149.4,64.1
2021-03-01 09:15:00,84.0,27.8,59.6,504.3,40.9,8.0,252.0,62.9
2021-03-01 09:30:00,84.0,27.9,59.0,504.9,53.7,7.9,275.3,57.0
2021-03-01 09:45:00,84.4,27.9,58.5,507.6,33.0,7.8,282.1,55.3
2021-03-01 10:00:00,84.9,28.1,57.4,515.5,20.3,7.7,286.6,57.4
2021-03-01 10:15:00,85.0,28.2,57.1,514.2,20.0,7.2,288.2,56.6
2021-03-01 10:30:00,85.0,28.5,56.3,510.2,20.1,7.0,289.3,55.8
2021-03-01 10:45:00,85.0,28.5,56.1,511.3,20.0,7.7,296.2,56.5
2021-03-01 11:00:00,85.0,28.3,56.2,503.1,20.5,7.8,302.5,54.1
2021-03-01 11:15:00,85.0,28.1,56.8,472.3,20.3,8.0,305.6,53.4
2021-03-01 11:30:00,85.0,28.0,57.1,452.4,20.0,8.5,305.5,53.8
2021-03-01 11:45:00,85.0,28.3,56.3,448.8,21.7,8.7,311.9,54.4
2021-03-01 12:00:00,85.0,28.3,56.2,474.0,32.6,9.0,307.1,55.2
2021-03-01 12:15:00,85.0,28.4,56.2,496.4,30.6,9.4,308.8,56.2
2021-03-01 12:30:00,85.0,28.3,56.4,503.2,22.2,9.5,299.3,56.4
2021-03-01 12:45:00,85.0,28.0,57.0,502.7,24.6,9.6,294.4,57.6
2021-03-01 13:00:00,85.0,28.2,56.3,518.8,25.0,9.4,282.3,58.5
2021-03-01 13:15:00,85.0,28.3,56.1,522.5,20.0,9.1,291.2,58.6
2021-03-01 13:30:00,85.0,28.2,56.8,500.7,20.7,8.5,300.7,57.5
2021-03-01 13:45:00,85.0,28.1,57.2,497.6,21.1,8.6,309.2,62.9
2021-03-01 14:00:00,84.0,28.1,57.7,536.8,20.7,8.6,227.6,60.9
2021-03-01 14:15:00,84.1,28.2,57.1,529.0,20.0,7.7,276.6,61.0
2021-03-01 14:30:00,84.6,28.1,57.2,521.4,23.6,7.6,296.3,60.1
2021-03-01 14:45:00,84.6,28.1,57.0,526.4,43.7,7.7,271.9,60.9
2021-03-01 15:00:00,85.0,28.1,56.9,514.6,20.0,8.0,300.9,60.4
2021-03-01 15:15:00,84.9,28.1,57.0,520.8,21.6,7.6,241.0,64.3
2021-03-01 15:30:00,84.1,28.0,57.4,541.6,24.2,7.2,213.1,62.6
2021-03-01 15:45:00,84.0,28.1,57.7,543.2,20.1,7.0,241.0,62.3
2021-03-01 16:00:00,84.0,28.2,57.2,539.2,20.0,6.8,279.8,60.1
2021-03-01 16:15:00,84.8,28.2,56.4,530.8,26.4,6.7,284.8,63.0
2021-03-01 16:30:00,84.3,28.3,56.1,541.3,46.3,6.9,270.2,60.4
2021-03-01 16:45:00,84.0,28.2,57.0,543.4,20.0,7.0,245.1,59.1
2021-03-01 17:00:00,84.0,28.2,57.0,532.7,23.7,7.1,220.5,61.0
2021-03-01 17:15:00,84.0,28.1,57.2,532.9,89.8,6.9,192.6,60.4
2021-03-01 17:30:00,84.0,28.0,57.1,535.0,34.3,6.7,193.2,61.7
2021-03-01 17:45:00,84.0,28.0,57.0,546.3,20.0,6.9,189.4,61.2
2021-03-01 18:00:00,84.0,27.9,57.3,539.1,20.0,6.8,180.2,61.4
2021-03-01 18:15:00,85.0,27.8,57.3,522.7,20.2,6.9,164.9,62.4
2021-03-01 18:30:00,85.0,27.7,57.4,497.6,20.0,6.7,147.4,57.5
2021-03-01 18:45:00,84.3,27.7,59.0,485.9,22.5,6.7,147.6,55.5
2021-03-01 19:00:00,82.6,27.9,61.3,497.9,62.8,6.7,145.1,58.1
2021-03-01 19:15:00,80.6,28.1,61.7,551.7,50.8,6.5,140.2,57.9
2021-03-01 19:30:00,78.9,28.1,62.2,599.6,58.1,6.8,138.8,57.4
2021-03-01 19:45:00,77.9,28.3,62.4,650.7,67.1,6.8,137.4,58.8
2021-03-01 20:00:00,76.1,28.3,63.2,674.9,120.1,7.4,136.7,60.1
2021-03-01 20:15:00,73.9,28.3,64.1,740.2,148.3,8.1,136.5,61.2
2021-03-01 20:30:00,71.9,28.4,64.9,809.8,191.5,8.3,138.5,60.8
2021-03-01 20:45:00,71.0,28.4,65.5,859.4,199.5,8.8,139.1,58.6
2021-03-01 21:00:00,70.3,28.4,66.1,908.2,194.2,8.8,139.1,58.7
2021-03-01 21:15:00,69.1,28.4,66.9,973.7,207.0,9.1,138.9,60.3
2021-03-01 21:30:00,68.2,28.5,67.3,1006.4,214.4,9.1,139.6,57.8
2021-03-01 21:45:00,68.0,28.6,67.3,1043.5,208.4,9.1,140.3,57.3
2021-03-01 22:00:00,67.6,28.6,67.8,1067.0,208.8,9.3,140.0,59.7
2021-03-01 22:15:00,67.0,28.6,68.4,1092.8,217.4,9.5,145.8,60.3
2021-03-01 22:30:00,66.8,28.5,68.8,1123.7,219.7,9.7,149.3,58.3
2021-03-01 22:45:00,66.1,28.5,69.1,1132.0,225.6,9.8,151.9,56.8
2021-03-01 23:00:00,66.0,28.6,69.2,1136.3,236.3,9.9,151.6,57.8
2021-03-01 23:15:00,66.0,28.7,69.2,1136.4,236.3,10.1,151.6,56.5
2021-03-01 23:30:00,66.0,28.6,69.6,1133.0,229.2,10.1,151.0,57.5
2021-03-01 23:45:00,66.0,28.7,69.6,1128.5,230.3,10.2,151.0,55.3
2021-03-02 00:00:00,66.0,28.8,69.4,1117.7,231.6,10.1,151.0,54.0
2021-03-02 00:15:00,66.2,28.8,69.5,1096.4,223.0,10.6,151.0,54.5
2021-03-02 00:30:00,66.7,28.8,69.7,1064.0,219.2,11.1,151.5,54.4
2021-03-02 00:45:00,66.7,28.8,69.7,1057.1,221.9,11.1,151.2,53.6
2021-03-02 01:00:00,66.7,28.9,69.3,1036.0,213.9,12.0,150.9,53.4
2021-03-02 01:15:00,66.4,28.8,70.0,992.1,200.9,13.4,151.3,53.6
2021-03-02 01:30:00,66.2,28.6,70.7,990.3,203.7,13.5,151.4,54.4
2021-03-02 01:45:00,66.0,28.6,70.8,997.9,202.0,13.6,151.2,54.4
2021-03-02 02:00:00,66.1,28.8,70.4,991.2,195.6,13.7,151.2,54.1
2021-03-02 02:15:00,66.3,28.8,70.5,957.4,190.2,14.0,151.2,53.1
2021-03-02 02:30:00,66.6,28.6,70.9,937.9,187.6,14.1,151.1,52.8
2021-03-02 02:45:00,66.8,28.6,71.1,906.8,184.7,14.5,150.5,52.2
2021-03-02 03:00:00,67.5,28.6,71.3,871.1,167.1,14.4,21.2,51.4
2021-03-02 03:15:00,67.5,28.5,71.9,845.3,172.1,14.6,0.0,51.7
2021-03-02 03:30:00,67.7,28.4,72.3,820.5,170.0,14.9,0.0,51.7
2021-03-02 03:45:00,67.9,28.3,72.6,800.0,159.1,15.0,0.0,51.8
2021-03-02 04:00:00,68.1,28.3,72.7,785.1,155.1,15.3,0.0,52.0
2021-03-02 04:15:00,68.2,28.3,72.7,759.4,153.2,15.4,0.0,52.0
2021-03-02 04:30:00,68.4,28.3,72.8,750.6,150.0,15.3,0.0,51.8
2021-03-02 04:45:00,68.6,28.3,72.9,732.6,142.1,15.4,0.0,52.0
2021-03-02 05:00:00,68.9,28.3,73.0,717.5,139.8,15.6,0.0,51.9
2021-03-02 05:15:00,69.0,28.1,73.4,705.7,139.4,15.7,0.0,52.1
2021-03-02 05:30:00,69.3,28.1,73.6,689.2,128.8,15.7,0.0,51.8
2021-03-02 05:45:00,69.3,28.1,73.6,676.4,127.5,15.9,0.0,51.9
2021-03-02 06:00:00,69.4,28.0,73.8,667.6,126.1,15.6,0.0,52.1
2021-03-02 06:15:00,69.6,28.0,73.9,657.5,120.2,15.9,0.0,52.3
2021-03-02 06:30:00,69.9,28.1,73.8,646.0,114.8,15.8,0.0,52.5
2021-03-02 06:45:00,69.9,28.0,73.8,638.2,114.5,16.0,0.0,52.4
2021-03-02 07:00:00,70.0,28.0,73.8,627.3,113.9,16.0,0.0,52.5
2021-03-02 07:15:00,70.2,28.0,73.9,620.2,103.9,15.9,0.9,52.6
2021-03-02 07:30:00,70.4,28.0,74.0,609.9,103.9,15.9,13.6,53.9
2021-03-02 07:45:00,71.9,28.1,74.4,577.0,71.0,13.9,32.0,55.4
2021-03-02 08:00:00,75.7,27.9,72.9,502.4,20.3,10.1,48.2,55.6
2021-03-02 08:15:00,77.8,27.5,68.2,461.7,20.0,7.9,62.5,55.9
2021-03-02 08:30:00,79.9,27.3,64.1,441.9,20.2,6.5,74.3,56.2
2021-03-02 08:45:00,83.0,27.3,61.5,429.2,20.6,5.6,85.6,55.6
2021-03-02 09:00:00,84.0,27.3,60.1,423.2,20.2,5.1,97.2,54.7
2021-03-02 09:15:00,84.6,27.3,59.8,422.3,20.4,4.6,103.2,54.1
2021-03-02 09:30:00,85.0,27.2,59.5,424.9,22.5,4.4,103.7,54.2
2021-03-02 09:45:00,85.0,27.2,59.1,428.2,22.4,4.4,104.9,53.9
2021-03-02 10:00:00,85.0,27.5,58.7,427.2,20.0,4.2,109.6,54.1
2021-03-02 10:15:00,85.0,27.4,58.5,429.2,21.2,4.3,112.3,54.6
2021-03-02 10:30:00,85.0,27.2,58.7,437.1,23.8,4.3,109.6,54.3
2021-03-02 10:45:00,84.5,27.3,59.9,442.6,20.0,5.3,110.7,54.2
