timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,84.0,30.7,54.7,429.7,24.2,0.0,0.0,51.3
2021-03-01 00:15:00,84.0,30.6,54.9,430.3,25.3,0.0,0.0,51.1
2021-03-01 00:30:00,83.8,30.6,55.2,429.8,20.7,0.0,0.0,51.3
2021-03-01 00:45:00,83.9,30.6,55.3,428.0,21.4,0.0,0.0,51.1
2021-03-01 01:00:00,83.2,30.6,55.4,423.8,21.5,0.0,0.0,51.0
2021-03-01 01:15:00,83.0,30.6,55.7,427.6,20.0,0.0,0.0,51.1
2021-03-01 01:30:00,83.0,30.6,55.9,429.1,20.8,0.0,0.0,51.1
2021-03-01 01:45:00,83.0,30.6,56.1,427.1,21.4,0.0,0.0,51.1
2021-03-01 02:00:00,83.0,30.6,56.4,427.6,20.4,0.0,0.0,51.0
2021-03-01 02:15:00,83.0,30.5,56.4,425.4,20.9,0.0,0.0,51.0
2021-03-01 02:30:00,83.0,30.5,56.6,424.1,20.4,0.0,0.0,51.0
2021-03-01 02:45:00,83.0,30.5,56.8,425.4,20.2,0.0,0.0,51.1
2021-03-01 03:00:00,83.0,30.5,56.9,421.0,20.0,0.0,0.0,51.0
2021-03-01 03:15:00,83.0,30.5,56.9,422.4,20.6,0.0,0.0,51.0
2021-03-01 03:30:00,83.0,30.5,57.1,423.8,20.9,0.0,0.0,51.0
2021-03-01 03:45:00,83.0,30.4,57.2,424.1,20.1,0.0,0.0,51.0
2021-03-01 04:00:00,83.0,30.4,57.3,421.6,20.1,0.0,0.0,51.1
2021-03-01 04:15:00,83.0,30.4,57.5,421.6,20.3,0.0,0.0,51.1
2021-03-01 04:30:00,83.0,30.4,57.6,421.3,20.4,0.0,0.0,51.0
2021-03-01 04:45:00,82.9,30.4,57.7,420.9,20.0,0.0,0.0,51.3
2021-03-01 05:00:00,82.4,30.3,57.9,418.4,20.7,0.0,0.0,51.1
2021-03-01 05:15:00,82.0,30.3,58.0,419.4,20.5,0.0,0.0,51.3
2021-03-01 05:30:00,82.0,30.3,58.1,415.8,20.0,0.0,0.0,51.4
2021-03-01 05:45:00,82.0,30.3,58.2,418.3,20.0,0.0,0.0,51.7
2021-03-01 06:00:00,82.0,30.3,58.3,419.5,20.0,0.0,0.0,51.9
2021-03-01 06:15:00,82.0,30.3,58.4,415.1,20.2,0.0,0.0,51.8
2021-03-01 06:30:00,82.0,30.3,58.5,408.0,20.0,0.0,0.0,52.1
2021-03-01 06:45:00,82.0,30.3,58.5,407.9,20.4,0.0,0.0,52.2
2021-03-01 07:00:00,82.0,30.3,58.7,409.3,21.4,0.0,0.0,52.3
2021-03-01 07:15:00,82.0,30.2,58.8,407.2,20.0,0.0,0.4,52.6
2021-03-01 07:30:00,82.0,30.2,58.9,407.2,20.3,0.0,6.3,52.5
2021-03-01 07:45:00,82.0,30.2,59.0,412.1,20.9,0.0,15.6,52.7
2021-03-01 08:00:00,82.3,30.2,58.4,416.7,20.7,0.0,25.8,52.6
2021-03-01 08:15:00,84.0,29.8,56.0,426.5,20.0,0.0,34.4,52.6
2021-03-01 08:30:00,85.0,29.4,54.5,431.8,20.0,0.0,42.6,52.8
2021-03-01 08:45:00,85.9,29.0,54.4,445.2,20.4,0.0,50.5,53.2
2021-03-01 09:00:00,86.0,28.7,54.6,446.0,20.0,0.0,55.4,52.8
2021-03-01 09:15:00,86.0,28.9,53.3,437.6,20.0,0.0,62.8,53.1
2021-03-01 09:30:00,86.0,28.8,53.5,441.9,21.1,0.0,68.2,52.9
2021-03-01 09:45:00,86.0,28.2,55.0,445.5,20.9,0.0,72.3,52.4
2021-03-01 10:00:00,86.0,28.4,54.3,444.9,20.0,0.0,76.6,53.0
2021-03-01 10:15:00,86.0,28.3,54.7,443.1,20.0,0.0,76.5,52.8
2021-03-01 10:30:00,86.0,28.1,55.2,440.4,20.1,0.0,76.7,52.8
2021-03-01 10:45:00,86.0,28.3,54.2,441.2,20.0,0.0,80.2,52.8
2021-03-01 11:00:00,86.0,28.1,54.6,441.9,20.0,0.0,83.0,52.8
2021-03-01 11:15:00,86.2,28.2,54.2,446.9,20.6,0.0,84.5,52.2
2021-03-01 11:30:00,86.0,28.2,54.5,445.8,20.0,0.0,83.0,52.4
2021-03-01 11:45:00,86.9,28.9,52.4,445.1,20.0,0.0,85.8,52.3
2021-03-01 12:00:00,85.5,28.2,54.2,455.1,173.9,0.0,83.5,52.8
2021-03-01 12:15:00,85.5,28.5,53.4,452.2,201.9,0.0,82.3,54.3
2021-03-01 12:30:00,86.5,28.4,53.7,453.1,40.7,0.0,78.8,53.3
2021-03-01 12:45:00,86.7,28.4,53.5,450.9,20.0,0.0,78.9,52.4
2021-03-01 13:00:00,87.0,29.2,51.5,447.7,20.0,0.0,71.2,53.1
2021-03-01 13:15:00,86.5,29.0,52.5,451.6,20.0,0.0,76.1,54.9
2021-03-01 13:30:00,86.0,28.5,54.3,475.9,24.8,0.0,80.4,58.3
2021-03-01 13:45:00,85.3,28.4,56.0,501.3,34.0,0.0,103.8,62.6
2021-03-01 14:00:00,83.9,28.7,57.5,521.5,20.0,0.0,82.4,66.7
2021-03-01 14:15:00,83.0,28.8,58.0,539.0,20.0,0.0,171.0,62.6
2021-03-01 14:30:00,82.6,29.2,57.9,541.7,20.1,0.0,178.5,62.0
2021-03-01 14:45:00,82.7,29.0,57.7,552.4,29.4,0.0,165.0,62.6
2021-03-01 15:00:00,82.7,29.2,57.6,546.2,20.0,0.0,185.7,65.0
2021-03-01 15:15:00,83.4,29.2,56.4,542.1,20.0,0.0,194.4,63.7
2021-03-01 15:30:00,83.9,29.5,55.4,535.9,20.1,0.0,251.3,62.3
2021-03-01 15:45:00,83.0,29.7,55.6,539.5,20.0,0.0,337.3,65.6
2021-03-01 16:00:00,83.2,30.0,55.1,535.2,20.0,0.0,495.4,64.1
2021-03-01 16:15:00,84.0,29.8,54.5,533.6,20.1,0.0,531.4,63.5
2021-03-01 16:30:00,85.0,29.7,53.6,514.2,20.4,0.0,456.2,62.5
2021-03-01 16:45:00,84.6,29.9,54.2,507.7,20.0,0.0,420.7,61.2
2021-03-01 17:00:00,84.0,29.7,55.8,506.4,20.0,0.0,342.3,60.6
2021-03-01 17:15:00,83.2,29.6,56.1,535.8,20.6,0.0,227.5,63.1
2021-03-01 17:30:00,83.2,29.5,55.3,556.0,20.1,0.0,238.5,63.6
2021-03-01 17:45:00,84.0,29.2,55.1,540.4,20.0,0.0,246.1,62.7
2021-03-01 18:00:00,84.0,29.1,55.1,545.1,20.0,0.0,179.9,65.1
2021-03-01 18:15:00,84.0,29.0,55.0,554.7,20.3,0.0,121.2,65.7
2021-03-01 18:30:00,83.4,29.1,56.4,547.4,20.0,0.0,50.2,61.6
2021-03-01 18:45:00,83.0,29.1,58.1,526.7,20.0,0.0,5.1,52.3
2021-03-01 19:00:00,83.0,29.5,57.5,523.0,20.0,0.0,0.9,52.4
2021-03-01 19:15:00,83.0,29.8,57.2,517.5,20.0,0.0,0.0,52.0
2021-03-01 19:30:00,83.0,30.0,57.3,511.7,20.0,0.0,0.0,52.0
2021-03-01 19:45:00,83.0,30.0,57.7,503.4,20.2,0.0,0.0,52.3
2021-03-01 20:00:00,83.0,29.9,57.8,503.4,20.8,0.0,0.0,52.2
2021-03-01 20:15:00,82.9,30.2,57.8,494.2,20.0,0.0,0.0,51.9
2021-03-01 20:30:00,82.7,30.3,57.8,484.3,20.1,0.0,0.0,51.8
2021-03-01 20:45:00,83.0,30.4,57.3,481.1,20.4,0.0,0.0,51.7
2021-03-01 21:00:00,82.6,30.4,57.6,479.8,20.0,0.0,0.0,51.8
2021-03-01 21:15:00,82.3,30.4,57.7,482.9,20.0,0.0,0.0,51.8
2021-03-01 21:30:00,82.6,30.4,57.6,478.6,21.1,0.0,0.0,51.9
2021-03-01 21:45:00,82.2,30.4,57.9,476.0,20.4,0.0,0.0,51.9
2021-03-01 22:00:00,82.4,30.4,57.8,476.4,20.0,0.0,0.0,52.0
2021-03-01 22:15:00,82.2,30.4,57.9,478.3,26.7,0.0,0.0,51.6
2021-03-01 22:30:00,82.0,30.4,58.3,474.1,26.8,0.0,0.0,51.4
2021-03-01 22:45:00,82.0,30.4,58.3,471.4,20.1,0.0,0.0,51.6
2021-03-01 23:00:00,82.0,30.4,58.2,468.4,20.5,0.0,0.0,51.7
2021-03-01 23:15:00,82.0,30.4,58.3,456.1,25.9,0.0,0.0,51.5
2021-03-01 23:30:00,82.0,30.4,58.2,457.7,22.8,0.0,0.0,51.6
2021-03-01 23:45:00,82.0,30.4,58.4,453.2,20.7,0.0,0.0,51.3
2021-03-02 00:00:00,82.0,30.4,58.5,452.6,21.5,0.0,0.0,51.2
2021-03-02 00:15:00,82.0,30.3,58.8,449.2,22.6,0.0,0.0,51.3
2021-03-02 00:30:00,82.0,30.3,58.9,451.7,20.3,0.0,0.0,51.2
2021-03-02 00:45:00,82.0,30.2,59.2,448.8,20.5,0.0,0.0,51.1
2021-03-02 01:00:00,82.0,30.3,59.0,447.0,24.5,0.0,0.0,51.1
2021-03-02 01:15:00,82.0,30.3,58.9,438.9,20.0,0.0,0.0,51.1
2021-03-02 01:30:00,82.0,30.3,58.9,439.2,20.0,0.0,0.0,51.1
2021-03-02 01:45:00,82.0,30.3,59.1,435.3,21.1,0.0,0.0,51.1
2021-03-02 02:00:00,82.0,30.3,59.2,429.0,20.9,0.0,0.0,51.1
2021-03-02 02:15:00,82.0,30.3,59.3,430.8,20.0,0.0,0.0,51.1
2021-03-02 02:30:00,82.0,30.3,59.4,427.6,20.1,0.0,0.0,51.1
2021-03-02 02:45:00,82.0,30.2,59.8,426.3,20.0,0.0,0.0,51.1
2021-03-02 03:00:00,81.5,30.2,60.2,428.4,20.0,0.0,0.0,51.0
2021-03-02 03:15:00,80.7,29.8,61.2,427.5,20.1,0.0,0.0,51.1
2021-03-02 03:30:00,80.8,30.0,60.7,427.8,21.3,0.0,0.0,51.0
2021-03-02 03:45:00,81.0,30.1,60.6,430.5,20.2,0.0,0.0,51.0
2021-03-02 04:00:00,81.0,30.1,60.6,427.2,20.0,0.0,0.0,51.1
2021-03-02 04:15:00,81.0,30.1,60.7,428.3,20.4,0.0,0.0,51.1
2021-03-02 04:30:00,81.0,30.1,60.6,428.4,20.5,0.0,0.0,51.0
2021-03-02 04:45:00,81.0,30.1,60.6,428.5,20.0,0.0,0.0,51.1
2021-03-02 05:00:00,81.0,30.1,60.6,422.5,20.3,0.0,0.0,51.2
2021-03-02 05:15:00,81.0,30.2,60.4,423.7,22.3,0.0,0.0,51.3
2021-03-02 05:30:00,81.0,30.2,60.3,426.7,21.1,0.0,0.0,51.3
2021-03-02 05:45:00,81.0,30.2,60.3,420.7,20.0,0.0,0.0,51.4
2021-03-02 06:00:00,81.0,30.1,60.5,425.5,20.2,0.0,0.0,51.6
2021-03-02 06:15:00,81.0,30.1,60.7,422.4,20.3,0.0,0.0,51.9
2021-03-02 06:30:00,81.0,30.0,60.9,415.9,20.0,0.0,0.0,52.2
2021-03-02 06:45:00,81.0,30.0,61.0,417.9,20.1,0.0,0.0,52.1
2021-03-02 07:00:00,81.0,29.9,61.1,419.5,20.5,0.0,0.0,52.2
2021-03-02 07:15:00,81.0,29.9,61.1,418.9,20.0,0.0,1.6,52.3
2021-03-02 07:30:00,81.0,29.9,61.1,417.5,20.0,0.0,11.1,52.4
2021-03-02 07:45:00,81.0,29.9,61.2,421.2,20.6,0.0,25.2,52.6
2021-03-02 08:00:00,81.0,30.0,60.7,425.4,20.8,0.0,38.5,52.5
2021-03-02 08:15:00,82.0,29.2,60.7,433.1,20.0,0.0,50.6,52.9
2021-03-02 08:30:00,83.4,28.6,59.6,429.1,20.0,0.0,61.6,52.5
2021-03-02 08:45:00,84.9,29.2,55.3,422.8,20.0,0.0,69.8,52.5
2021-03-02 09:00:00,85.8,29.2,53.8,422.2,20.0,0.0,77.8,52.4
2021-03-02 09:15:00,86.0,29.3,52.9,415.3,20.0,0.0,83.9,52.7
2021-03-02 09:30:00,86.0,29.4,52.2,411.7,20.0,0.0,85.2,52.7
2021-03-02 09:45:00,86.1,29.4,51.9,410.6,20.0,0.0,86.8,52.5
2021-03-02 10:00:00,86.6,29.3,52.0,413.8,20.0,0.0,89.1,52.7
2021-03-02 10:15:00,86.4,29.3,51.9,411.9,20.0,0.0,90.3,52.4
2021-03-02 10:30:00,86.9,29.3,51.8,417.8,20.0,0.0,90.2,52.4
2021-03-02 10:45:00,86.4,28.8,53.0,419.6,20.0,0.0,129.4,55.7
2021-03-02 11:00:00,86.0,28.2,54.7,424.7,21.1,0.0,144.4,52.9
2021-03-02 11:15:00,86.3,28.4,54.0,421.1,22.9,0.0,120.8,52.4
2021-03-02 11:30:00,87.0,28.9,52.3,417.6,20.0,0.0,120.5,52.3
2021-03-02 11:45:00,87.0,29.1,51.7,416.4,20.0,0.0,119.7,52.4
2021-03-02 12:00:00,87.0,29.1,51.7,415.6,20.0,0.0,122.6,52.5
2021-03-02 12:15:00,87.0,29.2,51.3,415.8,20.0,0.0,126.5,52.5
2021-03-02 12:30:00,87.0,29.1,51.1,414.0,20.0,0.0,130.8,52.4
2021-03-02 12:45:00,87.0,29.1,51.1,409.2,20.0,0.0,137.9,52.3
2021-03-02 13:00:00,87.0,28.6,52.3,410.4,20.2,0.0,143.6,52.4
2021-03-02 13:15:00,87.0,28.5,52.5,413.6,20.1,0.0,144.2,52.7
2021-03-02 13:30:00,87.0,29.2,50.7,408.2,20.0,0.0,153.1,52.7
2021-03-02 13:45:00,87.3,29.3,50.3,409.6,20.0,0.0,161.2,52.6
2021-03-02 14:00:00,87.6,29.3,50.1,408.2,20.0,0.0,160.1,52.5
2021-03-02 14:15:00,88.0,29.4,49.7,404.8,20.0,0.0,162.3,52.6
