timestamp(Asia/Singapore),score,temp(°C),humid,co2,voc,pm25,light,noise
2021-03-01 00:00:00,79.0,29.7,59.4,425.0,20.4,19.4,0.0,50.6
2021-03-01 00:15:00,79.0,29.6,59.5,422.4,20.5,18.6,0.0,50.5
2021-03-01 00:30:00,79.0,29.6,59.6,420.7,20.0,18.3,0.0,50.7
2021-03-01 00:45:00,79.1,29.6,59.6,422.2,20.0,18.0,0.0,50.5
2021-03-01 01:00:00,79.1,29.6,59.7,419.1,20.4,17.7,0.0,50.5
2021-03-01 01:15:00,79.2,29.6,59.8,421.9,21.4,17.4,0.0,50.5
2021-03-01 01:30:00,79.1,29.5,59.8,419.6,20.0,17.2,0.0,50.5
2021-03-01 01:45:00,79.2,29.5,60.0,416.4,20.0,17.1,0.0,50.5
2021-03-01 02:00:00,79.1,29.5,60.1,418.5,20.4,17.0,0.0,50.5
2021-03-01 02:15:00,79.2,29.5,60.1,420.2,20.3,16.9,0.0,50.6
2021-03-01 02:30:00,79.3,29.5,60.2,416.0,20.0,16.7,0.0,50.8
2021-03-01 02:45:00,79.2,29.5,60.2,414.7,20.1,16.7,0.0,50.8
2021-03-01 03:00:00,79.0,29.5,60.4,410.0,20.1,16.9,0.0,50.6
2021-03-01 03:15:00,79.0,29.5,60.5,405.1,20.0,17.0,0.0,50.5
2021-03-01 03:30:00,79.0,29.5,60.5,402.4,20.0,17.1,0.0,50.4
2021-03-01 03:45:00,79.0,29.5,60.6,406.6,20.2,17.3,0.0,50.4
2021-03-01 04:00:00,79.0,29.5,60.7,401.6,20.1,17.3,0.0,50.5
2021-03-01 04:15:00,79.0,29.5,60.7,402.5,20.0,17.0,0.0,50.6
2021-03-01 04:30:00,78.9,29.4,60.8,401.0,20.1,17.1,0.0,50.5
2021-03-01 04:45:00,78.8,29.4,60.9,400.3,20.1,17.1,0.0,50.6
2021-03-01 05:00:00,78.7,29.4,61.0,403.6,20.0,17.1,0.0,50.5
2021-03-01 05:15:00,78.3,29.4,61.1,401.8,20.1,17.6,0.0,50.6
2021-03-01 05:30:00,78.0,29.4,61.1,401.2,20.2,17.9,0.0,50.7
2021-03-01 05:45:00,78.0,29.4,61.3,402.2,20.0,18.1,0.0,51.0
2021-03-01 06:00:00,78.0,29.4,61.3,407.3,20.0,18.3,0.0,51.0
2021-03-01 06:15:00,77.9,29.3,61.5,407.7,20.3,18.3,0.0,51.0
2021-03-01 06:30:00,77.7,29.3,61.5,407.6,20.4,18.4,0.0,51.1
2021-03-01 06:45:00,77.3,29.2,61.8,403.3,20.1,18.6,0.0,51.0
2021-03-01 07:00:00,77.0,29.2,62.0,402.6,20.4,18.6,0.0,51.0
2021-03-01 07:15:00,77.0,29.2,62.0,405.1,22.7,18.3,0.6,51.1
2021-03-01 07:30:00,77.0,29.2,62.2,407.7,20.0,18.4,11.9,51.2
2021-03-01 07:45:00,77.0,29.1,62.4,414.0,20.0,18.4,30.4,51.3
2021-03-01 08:00:00,78.2,29.2,61.6,416.7,20.1,16.8,50.8,51.5
2021-03-01 08:15:00,82.4,28.8,58.8,422.1,20.0,13.4,69.0,51.7
2021-03-01 08:30:00,84.4,28.5,56.8,420.4,20.0,12.1,84.5,51.6
2021-03-01 08:45:00,85.4,28.4,55.7,425.5,20.0,11.2,97.6,51.8
2021-03-01 09:00:00,86.0,28.3,55.4,429.5,20.4,10.4,109.2,51.8
2021-03-01 09:15:00,86.0,28.4,54.8,420.7,20.0,10.1,121.3,51.6
2021-03-01 09:30:00,86.0,28.4,54.4,420.3,20.0,9.9,129.7,51.6
2021-03-01 09:45:00,86.0,28.4,54.3,420.8,20.0,9.9,137.6,51.7
2021-03-01 10:00:00,86.0,28.3,54.5,413.6,20.0,9.9,144.4,51.8
2021-03-01 10:15:00,86.0,28.5,54.0,417.7,20.0,9.7,148.2,51.5
2021-03-01 10:30:00,86.0,28.6,53.9,416.5,20.0,9.6,280.2,51.8
2021-03-01 10:45:00,86.1,28.6,53.6,420.4,20.0,9.6,286.3,52.0
2021-03-01 11:00:00,86.4,28.6,53.4,420.8,20.0,9.7,289.8,51.9
