"time","fitbit.air-vel","fitbit.bodyPresence","fitbit.change","fitbit.clothing","fitbit.comfort","fitbit.heartRate","fitbit.indoorOutdoor","fitbit.lat","fitbit.lon","fitbit.met","fitbit.responseSpeed","fitbit.restingHR","fitbit.thermal","fitbit.voteLog"
"2021-03-19T17:15:12.265+08:00","10","true","10","9","10","68","11","1.2968266666666666","103.77051666666667","9","17.598","58","11","1831"
"2021-03-19T20:51:59.608+08:00","11","true","10","9","10","76","11",,,"9","29.193","58","10","1832"
"2021-03-19T21:14:02.138+08:00","11","true","10","9","10","72","11",,,"9","8.815","58","10","1833"
"2021-03-23T19:09:10.194+08:00","10","true","11","9","10","69","9","1.2968983333333333","103.77027333333334","10","23.739","58","11","1834"
"2021-03-23T19:09:26.568+08:00","10","true","10","9","10","82","9","1.2968983333333333","103.77027333333334","10","8.887","58","11","1835"
"2021-03-23T19:37:28.096+08:00","10","true","10","9","10","77","9","1.2968916666666668","103.77027666666666","9","9.711","58","11","1836"
"2021-03-23T19:37:38.211+08:00","10","true","10","9","10","80","9","1.2968916666666668","103.77027666666666","9","7.82","58","11","1837"
"2021-03-23T20:08:47.964+08:00","10","true","10","9","10","78","9","1.29689","103.77022666666667","9","6.219","58","11","1838"
"2021-03-23T20:08:57.711+08:00","10","true","10","9","10","77","9","1.29689","103.77022666666667","9","6.192","58","11","1839"
"2021-03-24T19:48:12.263+08:00","10","true","10","9","10","70","11",,,"10","9.448","58","10","1840"
"2021-03-24T19:48:28.336+08:00","10","true","10","9","10","98","11",,,"10","9.043","58","10","1841"
"2021-03-24T20:27:00.490+08:00","10","true","10","9","10","77","11",,,"9","7.331","58","11","1842"
"2021-03-24T20:27:08.904+08:00","10","true","10","9","10","94","11",,,"9","4.812","58","11","1843"
"2021-03-24T22:09:56.213+08:00","10","true","10","9","10","76","11",,,"9","7.79","58","10","1844"
"2021-03-24T22:10:08.625+08:00","10","true","10","9","10","79","11",,,"9","5.983","58","10","1845"
"2021-03-26T19:18:11.868+08:00","11","true","10","9","10","87","11",,,"9","9.002","58","11","1848"
"2021-03-26T19:18:22.248+08:00","11","true","10","9","10","81","11",,,"9","7.166","58","11","1849"
"2021-03-26T19:56:44.964+08:00","11","true","10","9","10","82","11",,,"9","7.186","58","11","1850"
"2021-03-26T19:57:02.651+08:00","11","true","10","9","10","80","11",,,"9","9.077","58","11","1851"
"2021-03-26T20:29:25.260+08:00","11","true","10","9","10","83","11",,,"9","6.509","58","11","1852"
"2021-03-26T20:29:35.513+08:00","11","true","10","9","10","73","11",,,"9","6.755","58","11","1853"
