1-Wire/iButton Part Number: DS1925
1-Wire/iButton Registration Number: 4B0000000DACE953
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 180 second(s)
Mission Start Time:  Sun Mar 14 15:52:54 SGT 2021
Mission Sample Count:  30368
Battery Fail Condition:  false
First Sample Timestamp:  Sun Mar 14 15:52:54 SGT 2021
Total Mission Samples:  30368
Total Device Samples:  93090
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging: 
Data High Alarm: 
Data Low Alarm: 

Date/Time,Unit,Value
3/14/21 3:52:54 PM,C,29.812
3/14/21 3:55:54 PM,C,29.938
3/14/21 3:58:54 PM,C,29.625
3/14/21 4:01:54 PM,C,29.312
3/14/21 4:04:54 PM,C,29.125
3/14/21 4:07:54 PM,C,29
3/14/21 4:10:54 PM,C,28.812
3/14/21 4:13:54 PM,C,28.812
3/14/21 4:16:54 PM,C,28.75
3/14/21 4:19:54 PM,C,28.625
3/14/21 4:22:54 PM,C,28.625
3/14/21 4:25:54 PM,C,28.688
3/14/21 4:28:54 PM,C,28.75
3/14/21 4:31:54 PM,C,28.75
3/14/21 4:34:54 PM,C,28.812
3/14/21 4:37:54 PM,C,28.812
3/14/21 4:40:54 PM,C,28.875
3/14/21 4:43:54 PM,C,28.938
3/14/21 4:46:54 PM,C,28.938
3/14/21 4:49:54 PM,C,28.938
3/14/21 4:52:54 PM,C,29
3/14/21 4:55:54 PM,C,29
3/14/21 4:58:54 PM,C,29.062
3/14/21 5:01:54 PM,C,29.062
3/14/21 5:04:54 PM,C,29.062
3/14/21 5:07:54 PM,C,29.062
3/14/21 5:10:54 PM,C,29.125
3/14/21 5:13:54 PM,C,29.062
3/14/21 5:16:54 PM,C,29.125
3/14/21 5:19:54 PM,C,29.125
3/14/21 5:22:54 PM,C,29.188
3/14/21 5:25:54 PM,C,29.375
3/14/21 5:28:54 PM,C,30.75
3/14/21 5:31:54 PM,C,29.688
3/14/21 5:34:54 PM,C,29.375
3/14/21 5:37:54 PM,C,29.125
3/14/21 5:40:54 PM,C,29
3/14/21 5:43:54 PM,C,28.875
3/14/21 5:46:54 PM,C,28.812
3/14/21 5:49:54 PM,C,28.75
3/14/21 5:52:54 PM,C,28.625
3/14/21 5:55:54 PM,C,28.625
3/14/21 5:58:54 PM,C,28.625
3/14/21 6:01:54 PM,C,28.562
3/14/21 6:04:54 PM,C,28.562
3/14/21 6:07:54 PM,C,28.562
3/14/21 6:10:54 PM,C,28.5
3/14/21 6:13:54 PM,C,28.5
3/14/21 6:16:54 PM,C,28.5
3/14/21 6:19:54 PM,C,28.5
3/14/21 6:22:54 PM,C,28.5
3/14/21 6:25:54 PM,C,28.5
3/14/21 6:28:54 PM,C,28.562
3/14/21 6:31:54 PM,C,28.562
3/14/21 6:34:54 PM,C,28.5
3/14/21 6:37:54 PM,C,28.5
3/14/21 6:40:54 PM,C,28.5
3/14/21 6:43:54 PM,C,28.5
3/14/21 6:46:54 PM,C,28.5
3/14/21 6:49:54 PM,C,28.5
3/14/21 6:52:54 PM,C,28.438
3/14/21 6:55:54 PM,C,28.5
3/14/21 6:58:54 PM,C,28.438
3/14/21 7:01:54 PM,C,28.438
3/14/21 7:04:54 PM,C,28.438
3/14/21 7:07:54 PM,C,28.438
3/14/21 7:10:54 PM,C,28.438
3/14/21 7:13:54 PM,C,28.375
3/14/21 7:16:54 PM,C,28.375
3/14/21 7:19:54 PM,C,28.375
3/14/21 7:22:54 PM,C,28.375
3/14/21 7:25:54 PM,C,28.375
3/14/21 7:28:54 PM,C,28.375
3/14/21 7:31:54 PM,C,28.312
3/14/21 7:34:54 PM,C,28.312
3/14/21 7:37:54 PM,C,28.375
3/14/21 7:40:54 PM,C,28.312
3/14/21 7:43:54 PM,C,28.312
3/14/21 7:46:54 PM,C,28.375
3/14/21 7:49:54 PM,C,28.312
3/14/21 7:52:54 PM,C,28.312
3/14/21 7:55:54 PM,C,28.312
3/14/21 7:58:54 PM,C,28.312
3/14/21 8:01:54 PM,C,28.25
3/14/21 8:04:54 PM,C,28.312
3/14/21 8:07:54 PM,C,28.375
3/14/21 8:10:54 PM,C,28.375
3/14/21 8:13:54 PM,C,28.5
3/14/21 8:16:54 PM,C,28.5
3/14/21 8:19:54 PM,C,28.438
3/14/21 8:22:54 PM,C,28.438
3/14/21 8:25:54 PM,C,28.438
3/14/21 8:28:54 PM,C,28.438
3/14/21 8:31:54 PM,C,28.375
3/14/21 8:34:54 PM,C,28.438
3/14/21 8:37:54 PM,C,28.438
3/14/21 8:40:54 PM,C,28.375
3/14/21 8:43:54 PM,C,28.438
3/14/21 8:46:54 PM,C,28.438
3/14/21 8:49:54 PM,C,46.125
3/14/21 8:52:54 PM,C,39.5
3/14/21 8:55:54 PM,C,35.875
3/14/21 8:58:54 PM,C,33.625
3/14/21 9:01:54 PM,C,32.062
3/14/21 9:04:54 PM,C,31.062
3/14/21 9:07:54 PM,C,30.312
3/14/21 9:10:54 PM,C,29.75
3/14/21 9:13:54 PM,C,29.375
3/14/21 9:16:54 PM,C,30
3/14/21 9:19:54 PM,C,29.625
3/14/21 9:22:54 PM,C,29.438
3/14/21 9:25:54 PM,C,29.188
3/14/21 9:28:54 PM,C,29
