time,space_id,faculty_name,fitbit.air-vel,fitbit.bodyPresence,fitbit.change,fitbit.clothing,fitbit.comfort,fitbit.heartRate,fitbit.indoorOutdoor,fitbit.lat,fitbit.lon,fitbit.met,fitbit.responseSpeed,fitbit.restingHR,fitbit.thermal,fitbit.voteLog,Ambient Temp(℃),Skin Temp(℃),Steerpath.Accuracy,Steerpath.Floor,Steerpath.Latitude,Steerpath.Longitude,Steerpath.Space,fitbit_api.HR,fitbit_api.Steps,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%),VAV2-3|Temp at space_id: 201,VAV2-4|Temp at space_id: 201,VAV2-5|Temp at space_id: 201,VAV2-6|Temp at space_id: 201,VAV2-18|Temp at space_id: 202,VAV2-20|Temp at space_id: 203,VAV2-7N8|Temp at space_id: 204,VAV2-9N27|Temp at space_id: 204,VAV2-22|Temp at space_id: 206,VAV2-17|Temp at space_id: 207,VAV2-16|Temp at space_id: 207,VAV2-12|Temp at space_id: 208,score,temp(°C),humid,co2,voc,pm25,light,noise,device_uuid,senSING.humidity,senSING.light,senSING.noise,senSING.temperature,purpleair.0.3_um_count,purpleair.0.5_um_count,purpleair.1.0_um_count,purpleair.10.0_um_count,purpleair.2.5_um_count,purpleair.5.0_um_count,purpleair.humidity,purpleair.pm1.0,purpleair.pm10.0,purpleair.pm2.5,purpleair.pressure,purpleair.temperature,user_id,Year of birth (for example 1995),Sex,Height (cm),Weight (kg),Shoulder width (cm),How long have you been in Singapore (in years)?,Can you say that you are used to the weather in Singapore?,Can you say that you are satisfied with the weather in this city (outdoor weather conditions)?,Do you suffer from sweating in Singapore?,Do you enjoy being outdoor in Singapore?,What is your estimation of your time (hours) spent outdoor (per day) during the weekdays? (for example 2 hrs),What is your estimation of your time (hours) spent outdoor (per day) during the weekend? (for example 4 hrs),Do you seem to be aware of subtleties in your environment? ,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal,The conditions of my life are excellent,I am satisfied with my life,So far I have gotten the important things I want in life,"If I could live my life over, I would change almost nothing","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
2021-03-18 14:22:00+08:00,2,SDE4,10,True,10,11,10,77,11,1.2968266666666666,103.77052333333332,9,18.831,63,11,1229,28.75,27.875,1.0,3,1.2967776184897002,103.77047161094036,,80.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.33,731.67,101.65,0.0,3.7,0.28,,13.33,19.31,19.02,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 15:24:00+08:00,2,SDE4,11,True,11,11,10,108,9,1.29738,103.77053833333332,10,13.143,63,10,1230,32.375,35.938,2.25,3,1.2967866621456885,103.77047161094036,,104.14285714285714,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.32,743.4,120.18,0.23,5.89,1.77,,13.07,21.12,19.63,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 15:59:00+08:00,2,SDE4,11,True,10,11,10,79,9,,,9,9.991,63,10,1231,33.625,35.688,2.25,3,1.2967866621456885,103.77047161094036,,83.66666666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532.17,448.34,74.34,0.16,3.88,0.64,56.0,7.52,12.55,11.9,1005.06,28.33,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 16:41:00+08:00,2,SDE4,11,True,10,11,10,78,9,,,9,13.206,70,10,1232,31.562,35.812,2.25,3,1.2967866621456885,103.77047161094036,,77.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789.89,544.4,87.07,0.53,6.56,2.47,,9.28,16.07,14.21,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 17:06:00+08:00,2,SDE4,11,True,10,11,10,83,9,1.29714,103.77033333333333,9,9.622,70,10,1233,32.125,35.812,2.25,3,1.2967866621456885,103.77047161094036,,81.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.66,468.62,73.68,0.0,5.45,1.62,,7.82,13.57,12.25,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 17:26:00+08:00,2,SDE4,11,True,10,11,10,82,9,1.2971716666666666,103.77020833333331,9,10.361,69,10,1234,31.25,35.625,2.25,3,1.2967866621456885,103.77047161094036,,82.875,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.35,432.94,67.88,0.52,3.48,1.12,66.0,7.17,11.79,10.87,1003.76,26.11,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 17:48:00+08:00,2,SDE4,11,True,10,11,10,79,9,1.297145,103.77036,9,9.422,68,10,1235,31.062,35.688,2.25,3,1.2967866621456885,103.77047161094036,,78.83333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.16,385.71,53.13,0.0,5.93,1.15,65.0,6.4,10.31,9.47,1003.81,26.11,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 18:03:00+08:00,113,SDE1,11,True,10,11,10,66,9,1.297135,103.77036833333334,9,7.88,68,10,1236,31.938,35.75,2.75,3,1.2971984306899849,103.77036378550972,,66.83333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.54,342.91,51.86,0.39,2.39,1.54,,0.98,1.96,1.71,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 18:25:00+08:00,113,SDE1,11,True,10,11,10,69,9,1.2971483333333331,103.77038833333332,9,11.487,68,11,1237,32.75,35.875,2.0,3,1.2971995611485754,103.77036378550972,,70.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239.72,353.96,56.41,0.37,5.0,1.3,,0.94,2.24,2.0,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 18:47:00+08:00,113,SDE1,11,True,11,11,10,80,9,1.2973383333333333,103.77037833333333,10,11.772,67,11,1238,31.438,35.438,4.5,3,1.297272563941935,103.77038674053304,,79.66666666666667,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501.55,430.3,73.11,0.46,7.75,2.25,,1.3,3.04,2.55,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 19:08:00+08:00,206,SDE2,10,True,11,11,10,71,11,1.29742,103.771205,9,11.652,67,10,1239,29.75,34.438,0.75,2,1.2974770883417186,103.77124474142896,,71.8,0.0,,,81.400002,,,,,,,,,,,,,,,,23.85000038,,,,,,,,,,,,,,,,,1261.34,375.83,47.88,0.34,1.38,0.34,,6.12,8.5,8.22,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 19:28:00+08:00,206,SDE2,10,True,10,11,10,68,11,1.2974283333333334,103.77119166666668,9,11.814,67,10,1240,29.5,34.625,3.25,2,1.2975009692458128,103.77123656326316,,68.2,6.0,,,77.959999,,,,,,,,,,,,,,,,23.85000038,,,,,,,,,,,,,,,,,1418.5,417.43,56.57,0.48,4.13,1.19,,6.96,10.65,9.91,,,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
2021-03-18 19:53:00+08:00,206,SDE2,10,True,10,11,10,64,11,1.2974266666666667,103.77119666666668,9,8.792,67,10,1241,29.938,34.188,2.5,2,1.2975138881013546,103.77125626792214,,65.57142857142857,0.0,23.371101,,,,,,,,,,,,,,,,,,23.77000046,,,,,,,,,,,,,,,,,1849.71,529.66,85.25,0.48,6.02,1.02,69.0,9.25,15.2,14.16,1004.75,25.56,enth07,1996,Male,191,95.0,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
