"time","fitbit.air-vel","fitbit.bodyPresence","fitbit.change","fitbit.clothing","fitbit.comfort","fitbit.heartRate","fitbit.indoorOutdoor","fitbit.lat","fitbit.lon","fitbit.met","fitbit.responseSpeed","fitbit.restingHR","fitbit.thermal","fitbit.voteLog"
"2021-03-24T16:51:03.076+08:00","10","true","10","9","10",,"11","1.2965266666666666","103.770365","9","25.59","60","11","4"
"2021-03-24T18:00:15.532+08:00","11","true","10","9","10",,"11","1.297045","103.77016","9","47.554","60","10","5"
"2021-03-25T12:50:29.892+08:00","10","true","10","10","10",,"11","1.2967633333333333","103.770205","9","40.093","60","10","6"
"2021-03-25T13:16:00.168+08:00","11","true","10","10","10",,"11","1.2967583333333332","103.77019166666666","9","29.31","60","10","7"
"2021-03-25T13:48:11.500+08:00","11","true","10","10","10",,"11","1.2967533333333332","103.770205","9","29.533","60","10","8"
"2021-03-25T14:55:18.131+08:00","11","true","10","10","10",,"11",,,"9","39.789","60","10","9"
"2021-03-25T16:32:57.316+08:00","11","true","11","10","10",,"9",,,"9","27.27","60","10","10"
"2021-03-29T12:32:14.896+08:00","11","true","11","9","10",,"9",,,"10","16.302","60","10","11"
"2021-03-29T13:50:18.046+08:00","11","true","10","9","10",,"11",,,"9","10.09","60","10","12"
"2021-03-29T15:09:18.892+08:00","11","true","10","9","10",,"11",,,"9","15.202","60","10","13"
"2021-03-29T16:17:17.230+08:00","11","true","10","9","10",,"11",,,"9","12.549","60","10","14"
"2021-03-29T19:02:57.369+08:00","11","true","10","9","10",,"11",,,"10","28.791","60","10","15"
"2021-03-31T15:42:26.936+08:00","11","true","10","9","10",,"11","1.2967566666666666","103.77020666666667","9","15.187","60","10","16"
"2021-03-31T16:38:32.134+08:00","11","true","10","9","10",,"11","1.296755","103.77019833333334","9","9.314","60","10","17"
"2021-03-31T18:01:18.075+08:00","11","true","11","9","10",,"11","1.296775","103.77022833333334","9","26.499","60","10","18"
"2021-03-31T18:32:17.868+08:00","11","true","10","9","10",,"11","1.296775","103.77022666666667","9","22.26","60","10","19"
"2021-03-31T21:21:37.956+08:00","10","true","11","9","9",,"11","1.296955","103.77061333333333","10","22.191","60","11","20"
"2021-03-31T21:51:16.964+08:00","10","true","10","9","9",,"11","1.297205","103.77039833333333","9","8.489","60","11","21"
"2021-04-01T10:58:27.536+08:00","10","true","11","9","10",,"11","1.29678","103.77021166666667","10","45.289","60","11","22"
"2021-04-01T11:34:36.888+08:00","10","true","10","9","10",,"11","1.296775","103.77022333333333","9","11.885","60","11","23"
"2021-04-01T12:29:22.320+08:00","10","true","10","9","10",,"11","1.2967866666666668","103.77023333333334","9","18.021","60","11","24"
"2021-04-01T13:40:31.952+08:00","11","true","10","9","10",,"11","1.2967833333333334","103.77022666666667","9","13.053","60","10","25"
"2021-04-01T17:04:22.644+08:00","11","true","10","9","10",,"11","1.29678","103.77020666666667","9","20.987","60","11","26"
"2021-04-01T17:28:26.509+08:00","11","true","11","9","10",,"11","1.2967766666666667","103.77022333333333","10","48.383","60","10","27"
"2021-04-07T12:08:04.112+08:00","11","true","11","11","10",,"11",,,"10","16.495","60","11","28"
"2021-04-07T12:55:05.953+08:00","11","true","10","11","10",,"11",,,"9","8.134","60","10","29"
"2021-04-07T13:37:12.457+08:00","11","true","10","11","10",,"11",,,"9","12.533","60","10","30"
"2021-04-07T14:37:24.871+08:00","11","true","10","11","10",,"11",,,"9","10.302","60","10","31"
"2021-04-07T15:52:54.852+08:00","11","true","11","11","10",,"11",,,"10","17.055","60","11","32"
"2021-04-07T17:55:58.308+08:00","11","true","10","11","10",,"11",,,"9","19.453","60","11","33"
"2021-04-07T18:02:23.230+08:00","11","true","10","11","10",,"11","1.2967916666666666","103.77019","9","6.713","60","11","34"
