1-Wire/iButton Part Number: DS1925
1-Wire/iButton Registration Number: CB0000000D743653
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 180 second(s)
Mission Start Time:  Sun Mar 14 16:04:53 SGT 2021
Mission Sample Count:  25129
Battery Fail Condition:  false
First Sample Timestamp:  Sun Mar 14 16:04:53 SGT 2021
Total Mission Samples:  25129
Total Device Samples:  166432
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging: 
Data High Alarm: 
Data Low Alarm: 

Date/Time,Unit,Value
3/14/21 4:04:53 PM,C,30.188
3/14/21 4:07:53 PM,C,29.812
3/14/21 4:10:53 PM,C,29.5
3/14/21 4:13:53 PM,C,29.188
3/14/21 4:16:53 PM,C,29
3/14/21 4:19:53 PM,C,28.875
3/14/21 4:22:53 PM,C,28.688
3/14/21 4:25:53 PM,C,28.625
3/14/21 4:28:53 PM,C,28.5
3/14/21 4:31:53 PM,C,28.562
3/14/21 4:34:53 PM,C,28.5
3/14/21 4:37:53 PM,C,28.5
3/14/21 4:40:53 PM,C,28.562
3/14/21 4:43:53 PM,C,28.5
3/14/21 4:46:53 PM,C,28.5
3/14/21 4:49:53 PM,C,28.5
3/14/21 4:52:53 PM,C,28.5
3/14/21 4:55:53 PM,C,28.562
3/14/21 4:58:53 PM,C,28.5
3/14/21 5:01:53 PM,C,28.562
3/14/21 5:04:53 PM,C,28.562
3/14/21 5:07:53 PM,C,28.562
3/14/21 5:10:53 PM,C,28.562
3/14/21 5:13:53 PM,C,28.625
3/14/21 5:16:53 PM,C,28.625
3/14/21 5:19:53 PM,C,28.625
3/14/21 5:22:53 PM,C,28.625
3/14/21 5:25:53 PM,C,28.625
3/14/21 5:28:53 PM,C,28.688
3/14/21 5:31:53 PM,C,28.688
3/14/21 5:34:53 PM,C,28.625
3/14/21 5:37:53 PM,C,28.688
3/14/21 5:40:53 PM,C,28.625
3/14/21 5:43:53 PM,C,28.688
3/14/21 5:46:53 PM,C,28.688
3/14/21 5:49:53 PM,C,28.688
3/14/21 5:52:53 PM,C,28.688
3/14/21 5:55:53 PM,C,28.625
3/14/21 5:58:53 PM,C,28.625
3/14/21 6:01:53 PM,C,28.625
3/14/21 6:04:53 PM,C,28.625
3/14/21 6:07:53 PM,C,28.625
3/14/21 6:10:53 PM,C,28.938
3/14/21 6:13:53 PM,C,29.5
3/14/21 6:16:53 PM,C,30.812
3/14/21 6:19:53 PM,C,30.938
3/14/21 6:22:53 PM,C,30
3/14/21 6:25:53 PM,C,29.562
3/14/21 6:28:53 PM,C,29.25
3/14/21 6:31:53 PM,C,29
3/14/21 6:34:53 PM,C,28.875
3/14/21 6:37:53 PM,C,28.75
3/14/21 6:40:53 PM,C,28.625
3/14/21 6:43:53 PM,C,28.625
3/14/21 6:46:53 PM,C,28.625
3/14/21 6:49:53 PM,C,28.562
3/14/21 6:52:53 PM,C,28.562
3/14/21 6:55:53 PM,C,28.562
3/14/21 6:58:53 PM,C,28.562
3/14/21 7:01:53 PM,C,28.5
3/14/21 7:04:53 PM,C,28.438
3/14/21 7:07:53 PM,C,28.438
3/14/21 7:10:53 PM,C,28.438
3/14/21 7:13:53 PM,C,28.438
3/14/21 7:16:53 PM,C,28.438
3/14/21 7:19:53 PM,C,28.375
3/14/21 7:22:53 PM,C,28.375
3/14/21 7:25:53 PM,C,28.375
3/14/21 7:28:53 PM,C,28.375
3/14/21 7:31:53 PM,C,28.375
3/14/21 7:34:53 PM,C,28.375
3/14/21 7:37:53 PM,C,28.375
3/14/21 7:40:53 PM,C,28.312
3/14/21 7:43:53 PM,C,28.312
3/14/21 7:46:53 PM,C,28.312
3/14/21 7:49:53 PM,C,28.375
3/14/21 7:52:53 PM,C,28.312
3/14/21 7:55:53 PM,C,28.375
3/14/21 7:58:53 PM,C,28.312
3/14/21 8:01:53 PM,C,28.312
3/14/21 8:04:53 PM,C,28.312
3/14/21 8:07:53 PM,C,28.375
3/14/21 8:10:53 PM,C,28.375
3/14/21 8:13:53 PM,C,28.312
3/14/21 8:16:53 PM,C,28.375
3/14/21 8:19:53 PM,C,28.312
3/14/21 8:22:53 PM,C,28.375
3/14/21 8:25:53 PM,C,28.375
3/14/21 8:28:53 PM,C,28.312
3/14/21 8:31:53 PM,C,28.25
3/14/21 8:34:53 PM,C,28.25
3/14/21 8:37:53 PM,C,28.312
3/14/21 8:40:53 PM,C,28.5
3/14/21 8:43:53 PM,C,28.812
3/14/21 8:46:53 PM,C,41.75
3/14/21 8:49:53 PM,C,38.125
3/14/21 8:52:53 PM,C,35.25
3/14/21 8:55:53 PM,C,33.125
3/14/21 8:58:53 PM,C,31.812
3/14/21 9:01:53 PM,C,30.812
3/14/21 9:04:53 PM,C,30.188
