1-Wire/iButton Part Number: DS1925
1-Wire/iButton Registration Number: 900000000D4D7553
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 180 second(s)
Mission Start Time:  Sun Mar 14 16:10:37 SGT 2021
Mission Sample Count:  28472
Battery Fail Condition:  false
First Sample Timestamp:  Sun Mar 14 16:10:37 SGT 2021
Total Mission Samples:  28472
Total Device Samples:  125710
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging: 
Data High Alarm: 
Data Low Alarm: 

Date/Time,Unit,Value
3/14/21 4:10:37 PM,C,30.375
3/14/21 4:13:37 PM,C,31.188
3/14/21 4:16:37 PM,C,30.562
3/14/21 4:19:37 PM,C,30.125
3/14/21 4:22:37 PM,C,29.938
3/14/21 4:25:37 PM,C,29.688
3/14/21 4:28:37 PM,C,29.5
3/14/21 4:31:37 PM,C,29.375
3/14/21 4:34:37 PM,C,29.188
3/14/21 4:37:37 PM,C,29.125
3/14/21 4:40:37 PM,C,29.062
3/14/21 4:43:37 PM,C,29.062
3/14/21 4:46:37 PM,C,28.875
3/14/21 4:49:37 PM,C,28.875
3/14/21 4:52:37 PM,C,28.812
3/14/21 4:55:37 PM,C,28.75
3/14/21 4:58:37 PM,C,28.688
3/14/21 5:01:37 PM,C,28.625
3/14/21 5:04:37 PM,C,28.625
3/14/21 5:07:37 PM,C,28.562
3/14/21 5:10:37 PM,C,28.562
3/14/21 5:13:37 PM,C,28.562
3/14/21 5:16:37 PM,C,28.625
3/14/21 5:19:37 PM,C,28.562
3/14/21 5:22:37 PM,C,28.562
3/14/21 5:25:37 PM,C,28.562
3/14/21 5:28:37 PM,C,28.562
3/14/21 5:31:37 PM,C,28.562
3/14/21 5:34:37 PM,C,28.562
3/14/21 5:37:37 PM,C,28.562
3/14/21 5:40:37 PM,C,28.562
3/14/21 5:43:37 PM,C,28.562
3/14/21 5:46:37 PM,C,28.625
3/14/21 5:49:37 PM,C,28.625
3/14/21 5:52:37 PM,C,28.625
3/14/21 5:55:37 PM,C,28.688
3/14/21 5:58:37 PM,C,28.625
3/14/21 6:01:37 PM,C,28.625
3/14/21 6:04:37 PM,C,28.688
3/14/21 6:07:37 PM,C,28.625
3/14/21 6:10:37 PM,C,28.625
3/14/21 6:13:37 PM,C,28.625
3/14/21 6:16:37 PM,C,28.688
3/14/21 6:19:37 PM,C,28.75
3/14/21 6:22:37 PM,C,28.75
3/14/21 6:25:37 PM,C,28.75
3/14/21 6:28:37 PM,C,28.75
3/14/21 6:31:37 PM,C,28.688
3/14/21 6:34:37 PM,C,28.75
3/14/21 6:37:37 PM,C,28.688
3/14/21 6:40:37 PM,C,28.688
3/14/21 6:43:37 PM,C,28.75
3/14/21 6:46:37 PM,C,28.688
3/14/21 6:49:37 PM,C,28.688
3/14/21 6:52:37 PM,C,28.688
3/14/21 6:55:37 PM,C,28.688
3/14/21 6:58:37 PM,C,28.625
3/14/21 7:01:37 PM,C,28.625
3/14/21 7:04:37 PM,C,28.625
3/14/21 7:07:37 PM,C,28.625
3/14/21 7:10:37 PM,C,28.625
3/14/21 7:13:37 PM,C,28.625
3/14/21 7:16:37 PM,C,28.562
3/14/21 7:19:37 PM,C,28.562
3/14/21 7:22:37 PM,C,28.562
3/14/21 7:25:37 PM,C,28.562
3/14/21 7:28:37 PM,C,28.562
3/14/21 7:31:37 PM,C,28.562
3/14/21 7:34:37 PM,C,28.5
3/14/21 7:37:37 PM,C,28.562
3/14/21 7:40:37 PM,C,28.5
3/14/21 7:43:37 PM,C,28.5
3/14/21 7:46:37 PM,C,28.5
3/14/21 7:49:37 PM,C,28.5
3/14/21 7:52:37 PM,C,28.562
3/14/21 7:55:37 PM,C,28.5
3/14/21 7:58:37 PM,C,28.562
3/14/21 8:01:37 PM,C,28.5
3/14/21 8:04:37 PM,C,28.562
3/14/21 8:07:37 PM,C,28.562
3/14/21 8:10:37 PM,C,28.562
3/14/21 8:13:37 PM,C,28.562
3/14/21 8:16:37 PM,C,28.5
3/14/21 8:19:37 PM,C,28.438
3/14/21 8:22:37 PM,C,28.688
3/14/21 8:25:37 PM,C,28.812
3/14/21 8:28:37 PM,C,28.625
3/14/21 8:31:37 PM,C,28.5
3/14/21 8:34:37 PM,C,28.562
3/14/21 8:37:37 PM,C,28.75
3/14/21 8:40:37 PM,C,28.938
3/14/21 8:43:37 PM,C,29.125
3/14/21 8:46:37 PM,C,29.25
3/14/21 8:49:37 PM,C,29.25
3/14/21 8:52:37 PM,C,29.188
3/14/21 8:55:37 PM,C,29.062
3/14/21 8:58:37 PM,C,29
3/14/21 9:01:37 PM,C,28.875
3/14/21 9:04:37 PM,C,28.812
3/14/21 9:07:37 PM,C,28.75
3/14/21 9:10:37 PM,C,28.688
3/14/21 9:13:37 PM,C,28.625
3/14/21 9:16:37 PM,C,28.625
3/14/21 9:19:37 PM,C,28.562
3/14/21 9:22:37 PM,C,28.5
3/14/21 9:25:37 PM,C,28.5
3/14/21 9:28:37 PM,C,28.5
3/14/21 9:31:37 PM,C,28.5
3/14/21 9:34:37 PM,C,29.062
3/14/21 9:37:37 PM,C,29.25
3/14/21 9:40:37 PM,C,29.125
3/14/21 9:43:37 PM,C,29
3/14/21 9:46:37 PM,C,28.812
3/14/21 9:49:37 PM,C,29.75
3/14/21 9:52:37 PM,C,30.438
3/14/21 9:55:37 PM,C,30.062
3/14/21 9:58:37 PM,C,29.562
3/14/21 10:01:37 PM,C,29.312
3/14/21 10:04:37 PM,C,29.062
3/14/21 10:07:37 PM,C,28.875
3/14/21 10:10:37 PM,C,28.75
3/14/21 10:13:37 PM,C,28.562
3/14/21 10:16:37 PM,C,28.5
3/14/21 10:19:37 PM,C,28.438
3/14/21 10:22:37 PM,C,28.312
3/14/21 10:25:37 PM,C,28.312
3/14/21 10:28:37 PM,C,28.25
3/14/21 10:31:37 PM,C,28.188
3/14/21 10:34:37 PM,C,28.188
3/14/21 10:37:37 PM,C,28.125
3/14/21 10:40:37 PM,C,28.125
3/14/21 10:43:37 PM,C,28.125
3/14/21 10:46:37 PM,C,28.062
3/14/21 10:49:37 PM,C,28.062
3/14/21 10:52:37 PM,C,28.062
3/14/21 10:55:37 PM,C,28
3/14/21 10:58:37 PM,C,28.062
