1-Wire/iButton Part Number: DS1925
1-Wire/iButton Registration Number: 850000000D85BC53
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 180 second(s)
Mission Start Time:  Sun Mar 14 20:41:33 SGT 2021
Mission Sample Count:  28381
Battery Fail Condition:  false
First Sample Timestamp:  Sun Mar 14 20:41:33 SGT 2021
Total Mission Samples:  28381
Total Device Samples:  145727
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging: 
Data High Alarm: 
Data Low Alarm: 

Date/Time,Unit,Value
3/14/21 8:41:33 PM,C,30.125
3/14/21 8:44:33 PM,C,30.062
3/14/21 8:47:33 PM,C,29.688
3/14/21 8:50:33 PM,C,29.312
3/14/21 8:53:33 PM,C,29.125
3/14/21 8:56:33 PM,C,28.875
3/14/21 8:59:33 PM,C,28.812
3/14/21 9:02:33 PM,C,28.688
3/14/21 9:05:33 PM,C,28.562
3/14/21 9:08:33 PM,C,28.562
3/14/21 9:11:33 PM,C,28.5
3/14/21 9:14:33 PM,C,28.375
3/14/21 9:17:33 PM,C,28.375
3/14/21 9:20:33 PM,C,28.375
3/14/21 9:23:33 PM,C,28.312
3/14/21 9:26:33 PM,C,28.312
3/14/21 9:29:33 PM,C,28.375
3/14/21 9:32:33 PM,C,28.312
3/14/21 9:35:33 PM,C,30.75
3/14/21 9:38:33 PM,C,30.188
3/14/21 9:41:33 PM,C,29.688
3/14/21 9:44:33 PM,C,29.312
3/14/21 9:47:33 PM,C,29.062
3/14/21 9:50:33 PM,C,36.812
3/14/21 9:53:33 PM,C,33.875
3/14/21 9:56:33 PM,C,32.125
3/14/21 9:59:33 PM,C,30.875
3/14/21 10:02:33 PM,C,30.062
3/14/21 10:05:33 PM,C,29.438
3/14/21 10:08:33 PM,C,29.062
3/14/21 10:11:33 PM,C,28.75
3/14/21 10:14:33 PM,C,28.5
3/14/21 10:17:33 PM,C,28.375
3/14/21 10:20:33 PM,C,28.25
3/14/21 10:23:33 PM,C,28.125
3/14/21 10:26:33 PM,C,28.125
3/14/21 10:29:33 PM,C,28.062
3/14/21 10:32:33 PM,C,28
3/14/21 10:35:33 PM,C,27.938
