1-Wire/iButton Part Number: DS1925
1-Wire/iButton Registration Number: 510000000D808953
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 180 second(s)
Mission Start Time:  Fri Mar 12 12:49:04 SGT 2021
Mission Sample Count:  15032
Battery Fail Condition:  false
First Sample Timestamp:  Fri Mar 12 12:49:04 SGT 2021
Total Mission Samples:  15032
Total Device Samples:  152568
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging: 
Data High Alarm: 
Data Low Alarm: 

Date/Time,Unit,Value
3/12/21 12:49:04 PM,C,28.25
3/12/21 12:52:04 PM,C,29.312
3/12/21 12:55:04 PM,C,28.875
3/12/21 12:58:04 PM,C,28.5
3/12/21 1:01:04 PM,C,28.188
3/12/21 1:04:04 PM,C,27.938
3/12/21 1:07:04 PM,C,27.812
3/12/21 1:10:04 PM,C,27.625
3/12/21 1:13:04 PM,C,27.562
3/12/21 1:16:04 PM,C,27.438
3/12/21 1:19:04 PM,C,27.438
3/12/21 1:22:04 PM,C,27.438
3/12/21 1:25:04 PM,C,27.312
3/12/21 1:28:04 PM,C,27.312
3/12/21 1:31:04 PM,C,27.312
3/12/21 1:34:04 PM,C,27.25
3/12/21 1:37:04 PM,C,27.188
3/12/21 1:40:04 PM,C,27.25
3/12/21 1:43:04 PM,C,27.25
3/12/21 1:46:04 PM,C,27.188
3/12/21 1:49:04 PM,C,27.188
3/12/21 1:52:04 PM,C,27.188
3/12/21 1:55:04 PM,C,27.25
3/12/21 1:58:04 PM,C,27.25
3/12/21 2:01:04 PM,C,27.25
3/12/21 2:04:04 PM,C,27.25
3/12/21 2:07:04 PM,C,27.188
3/12/21 2:10:04 PM,C,27.188
3/12/21 2:13:04 PM,C,27.25
3/12/21 2:16:04 PM,C,27.188
3/12/21 2:19:04 PM,C,27.25
3/12/21 2:22:04 PM,C,27.25
3/12/21 2:25:04 PM,C,27.188
3/12/21 2:28:04 PM,C,27.25
3/12/21 2:31:04 PM,C,27.25
3/12/21 2:34:04 PM,C,27.188
3/12/21 2:37:04 PM,C,27.25
3/12/21 2:40:04 PM,C,27.188
3/12/21 2:43:04 PM,C,27.25
3/12/21 2:46:04 PM,C,27.25
3/12/21 2:49:04 PM,C,27.25
3/12/21 2:52:04 PM,C,27.25
3/12/21 2:55:04 PM,C,27.188
3/12/21 2:58:04 PM,C,27.188
3/12/21 3:01:04 PM,C,27.188
3/12/21 3:04:04 PM,C,27.188
3/12/21 3:07:04 PM,C,27.188
3/12/21 3:10:04 PM,C,27.125
3/12/21 3:13:04 PM,C,27.125
3/12/21 3:16:04 PM,C,27.125
3/12/21 3:19:04 PM,C,27.125
3/12/21 3:22:04 PM,C,27.125
3/12/21 3:25:04 PM,C,27.125
3/12/21 3:28:04 PM,C,27.125
3/12/21 3:31:04 PM,C,27.125
3/12/21 3:34:04 PM,C,27.125
3/12/21 3:37:04 PM,C,27.062
3/12/21 3:40:04 PM,C,27.062
3/12/21 3:43:04 PM,C,27.125
3/12/21 3:46:04 PM,C,27.062
3/12/21 3:49:04 PM,C,27.062
3/12/21 3:52:04 PM,C,27
3/12/21 3:55:04 PM,C,27.062
3/12/21 3:58:04 PM,C,27
3/12/21 4:01:04 PM,C,27.062
3/12/21 4:04:04 PM,C,27.062
3/12/21 4:07:04 PM,C,27.062
3/12/21 4:10:04 PM,C,27
3/12/21 4:13:04 PM,C,27
3/12/21 4:16:04 PM,C,27
3/12/21 4:19:04 PM,C,27.062
3/12/21 4:22:04 PM,C,27
3/12/21 4:25:04 PM,C,27.062
3/12/21 4:28:04 PM,C,27
3/12/21 4:31:04 PM,C,27
3/12/21 4:34:04 PM,C,26.938
3/12/21 4:37:04 PM,C,27
3/12/21 4:40:04 PM,C,27
3/12/21 4:43:04 PM,C,27.062
3/12/21 4:46:04 PM,C,27
3/12/21 4:49:04 PM,C,27
3/12/21 4:52:04 PM,C,27
3/12/21 4:55:04 PM,C,27
3/12/21 4:58:04 PM,C,27
3/12/21 5:01:04 PM,C,27
3/12/21 5:04:04 PM,C,27
3/12/21 5:07:04 PM,C,27
3/12/21 5:10:04 PM,C,27
3/12/21 5:13:04 PM,C,27.062
3/12/21 5:16:04 PM,C,27
