Experiment tag (for example enth99),Year of birth (for example 1995),Sex,Height (cm),Weight (kg),Shoulder circumference (cm),How long have you been in Singapore (in years)?,Can you say that you are used to the weather in Singapore?,Can you say that you are satisfied with the weather in this city (outdoor weather conditions)?,Do you suffer from sweating in Singapore?,Do you enjoy being outdoor in Singapore?,What is your estimation of your time (hours) spent outdoor (per day) during the weekdays? (for example 2 hrs),What is your estimation of your time (hours) spent outdoor (per day) during the weekend? (for example 4 hrs),Do you seem to be aware of subtleties in your environment?,"Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?","Do you have a rich, complex inner life?",Do you get rattled when you have a lot to do in a short amount of time?,Are you deeply moved by the arts or music?,Are you annoyed when people try to get you to do too many things at once?,Do you make a point to avoid violent movies and TV shows?,Do you find it unpleasant to have a lot going on at once?,Do changes in your life shake you up?,"Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?","Are you bothered by intense stimuli, like loud noises or chaotic scenes?","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",In most ways my life is close to my ideal,The conditions of my life are excellent,I am satisfied with my life,So far I have gotten the important things I want in life,"If I could live my life over, I would change almost nothing","Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset","Open to new experience, complex","Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, unreactive"
enth01,2000,Female,164,48,156,21,Yes,Slightly Dissatisfied,5,No,5,6,6,2,5,6,4,6,3,6,7,6,7,3,7,7,7,7,7,6,7,4,7,5,5,6,6,3,2
enth02,1999,Male,180,94,116,22,Yes,Slightly Dissatisfied,5,Yes,6,4,6,6,5,3,7,5,1,3,6,7,6,3,5,7,7,3,5,7,5,3,1,7,1,7,3,5,2
enth03,1998,Female,160,53,94,4,Yes,Slightly Satisfied,3,Yes,2,5,4,6,4,7,5,6,3,6,5,5,7,5,6,5,6,6,6,4,4,5,4,3,5,3,1,5,4
enth04,1997,Male,178,69,52,24,Yes,Neither Satisfied nor Dissatisfied,5,Yes,4,6,5,6,5,5,5,6,3,6,5,5,6,4,5,5,4,4,3,5,6,6,5,4,5,6,3,4,4
enth05,1999,Male,178,107,115,22,Yes,Extremely Dissatisfied,5,No,2,3,6,7,4,6,7,7,4,5,5,7,7,6,5,6,6,4,3,4,6,6,5,6,5,4,3,6,4
enth07,1996,Male,191,95,118,24,Yes,Slightly Satisfied,3,Yes,2,2,5,6,4,4,6,5,2,4,4,6,7,4,3,4,4,4,4,3,2,5,4,5,5,5,5,5,4
enth09,1994,Male,182,79,100,26,Yes,Moderately Satisfied,3,Yes,2,3,6,2,7,5,5,4,2,3,5,6,3,5,5,5,6,6,6,6,2,7,2,7,5,5,4,5,7
enth10,1999,Male,175,64,100,22,Yes,Neither Satisfied nor Dissatisfied,5,Yes,8,10,4,1,3,3,5,3,1,2,2,5,2,2,4,4,5,5,5,7,5,7,1,7,1,6,2,2,1
enth11,1998,Female,158,57,94,23,Yes,Slightly Dissatisfied,3,Yes,2,3,5,5,5,4,6,5,3,6,3,5,3,5,5,5,5,6,5,5,2,5,3,5,4,6,3,6,3
enth13,2000,Male,184,97,120,21,Yes,Slightly Satisfied,4,Yes,2,3,5,5,4,6,5,5,1,4,5,5,5,6,3,5,3,5,3,3,5,5,4,5,6,5,4,4,3
enth15,1998,Male,172,64.2,107,22,Yes,Slightly Dissatisfied,5,Yes,3,4,5,6,6,6,3,5,4,5,5,5,5,4,5,5,5,5,5,5,3,6,3,5,5,5,5,5,2
enth16,2000,Female,168,56,91,21,Yes,Slightly Dissatisfied,4,No,1,2,5,6,4,6,3,5,2,5,4,5,7,3,5,5,5,5,4,3,4,6,4,3,6,4,2,7,5
enth17,1998,Female,158,50,89,9,Yes,Moderately Dissatisfied,5,No,1,2,6,6,7,7,7,5,7,5,6,7,6,6,3,4,3,2,3,4,3,5,6,6,7,5,5,4,1
enth20,1999,Male,181,57.5,99,21,Yes,Slightly Dissatisfied,3,No,4,7,4,3,3,4,5,5,1,2,4,4,3,2,3,3,4,2,2,4,2,3,2,6,5,4,5,4,5
enth22,1998,Male,170,69,106,23,Yes,Slightly Dissatisfied,4,Yes,3,2,6,2,4,5,4,6,3,6,5,5,2,4,5,6,5,5,3,6,5,6,4,6,2,5,2,5,6
enth25,1999,Female,158,64,94,12,Yes,Slightly Dissatisfied,4,No,3,2,4,3,2,5,6,6,7,6,5,6,4,4,4,4,5,6,2,5,4,4,5,6,5,5,4,4,2
enth28,1998,Female,162,46,88,23,Yes,Moderately Satisfied,4,No,1,2,2,2,4,7,1,7,1,4,6,4,6,7,7,7,7,7,7,2,7,4,6,5,6,2,6,3,4
