"time","purpleair.0.3_um_count","purpleair.0.5_um_count","purpleair.1.0_um_count","purpleair.10.0_um_count","purpleair.2.5_um_count","purpleair.5.0_um_count","purpleair.humidity","purpleair.pm1.0","purpleair.pm10.0","purpleair.pm2.5","purpleair.pressure","purpleair.temperature"
"2021-03-05T11:16:17.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22222222222222"
"2021-03-05T11:16:17.399+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:17:15.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22222222222222"
"2021-03-05T11:17:15.872+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:18:33.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22222222222222"
"2021-03-05T11:18:33.874+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:20:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22222222222222"
"2021-03-05T11:20:02.824+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:20:53.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22222222222222"
"2021-03-05T11:20:53.802+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:22:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22222222222222"
"2021-03-05T11:22:02.892+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:22:20.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:22:20.181+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:24:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:24:02.470+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:26:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:26:02.292+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:28:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:28:02.282+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:30:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:30:02.964+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:32:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","56","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:32:02.775+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:34:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:34:02.864+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:36:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:36:02.321+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:38:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:38:02.236+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:40:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:40:02.400+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:42:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:42:02.918+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:44:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:44:02.608+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:46:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:46:02.614+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:48:01.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:48:02.206+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:50:01.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:50:02.060+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:52:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:52:02.822+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:54:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:54:02.894+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:56:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:56:02.712+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T11:58:03.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T11:58:03.318+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T12:00:05.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T12:00:05.159+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T12:02:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T12:02:02.808+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T12:04:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T12:04:02.924+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T12:06:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T12:06:02.519+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T12:08:02.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
"2021-03-05T12:08:02.420+08:00","1202.56","363.18","49.67","0.31","5.02","0.69",,"5.56","9.31","8.78",,
"2021-03-05T12:10:01.000+08:00","1243.45","361.93","44.88","0.18","2.62","1.03","60","6.03","8.98","8.18","1006.72","27.22"
