"time","senSING.humidity","senSING.light","senSING.noise","senSING.temperature"
"2021-03-26T16:42:36.000+08:00","63.7322","53","65","29.9295"
"2021-03-26T16:43:36.000+08:00","63.3037","56","65","30.063"
"2021-03-26T16:44:36.000+08:00","63.6908","49","66","30.0182"
"2021-03-26T16:45:36.000+08:00","64.5094","41","63","30.063"
"2021-03-26T16:46:36.000+08:00","63.693","41","65","30.1798"
"2021-03-26T16:47:36.000+08:00","64.071","41","65","30.0182"
"2021-03-26T16:48:36.000+08:00","64.5215","41","64","30.1214"
"2021-03-26T16:49:36.000+08:00","63.9123","42","63","30.0912"
"2021-03-26T16:50:36.000+08:00","65.0452","54","66","29.9431"
"2021-03-26T16:51:36.000+08:00","64.4398","54","66","30.0317"
"2021-03-26T16:52:36.000+08:00","64.7886","54","64","29.9598"
"2021-03-26T16:53:36.000+08:00","64.5087","56","65","30.0317"
"2021-03-26T16:54:36.000+08:00","64.7122","56","64","30.0182"
"2021-03-26T16:55:36.000+08:00","64.8061","56","65","29.9598"
"2021-03-26T16:56:36.000+08:00","65.0884","56","65","29.8815"
"2021-03-26T16:57:36.000+08:00","65.7107","56","65","29.8961"
"2021-03-26T16:58:36.000+08:00","65.6385","56","65","29.8961"
"2021-03-26T16:59:36.000+08:00","65.7501","57","68","29.9128"
"2021-03-26T17:00:36.000+08:00","65.1229","56","65","29.9598"
"2021-03-26T17:01:36.000+08:00","65.1883","56","62","29.8961"
"2021-03-26T17:02:36.000+08:00","66.9989","57","64","29.8961"
"2021-03-26T17:03:36.000+08:00","67.5467","56","64","29.9733"
"2021-03-26T17:04:36.000+08:00","68.9432","56","65","29.9879"
"2021-03-26T17:05:36.000+08:00","68.5548","56","62","30.0463"
"2021-03-26T17:06:36.000+08:00","69.1752","56","63","30.0463"
"2021-03-26T17:07:36.000+08:00","68.7535","55","64","30.0912"
"2021-03-26T17:08:36.000+08:00","70.0591","53","69","30.0015"
"2021-03-26T17:09:36.000+08:00","70.1948","53","66","29.9733"
"2021-03-26T17:10:36.000+08:00","70.3588","54","64","29.9295"
"2021-03-26T17:11:36.000+08:00","69.9395","56","66","30.0317"
"2021-03-26T17:12:36.000+08:00","68.7505","56","62","30.0182"
"2021-03-26T17:13:36.000+08:00","69.5574","58","67","29.9431"
"2021-03-26T17:14:36.000+08:00","70.0802","57","68","29.9295"
"2021-03-26T17:15:36.000+08:00","70.0475","56","66","29.9128"
"2021-03-26T17:16:36.000+08:00","69.63","57","64","29.9295"
"2021-03-26T17:17:36.000+08:00","69.883","57","65","29.9431"
"2021-03-26T17:18:36.000+08:00","69.4082","57","65","29.9295"
"2021-03-26T17:19:36.000+08:00","69.2547","56","61","29.9598"
"2021-03-26T17:20:36.000+08:00","69.0389","56","66","29.9295"
"2021-03-26T17:21:36.000+08:00","69.2241","57","68","29.9598"
"2021-03-26T17:22:36.000+08:00","69.9402","56","66","29.8815"
"2021-03-26T17:23:36.000+08:00","68.9516","54","64","29.8961"
"2021-03-26T17:24:36.000+08:00","68.0306","59","65","29.8231"
"2021-03-26T17:25:36.000+08:00","67.6758","56","66","29.8377"
"2021-03-26T17:26:36.000+08:00","68.5683","57","65","29.7512"
"2021-03-26T17:27:36.000+08:00","68.4569","58","62","29.7063"
"2021-03-26T17:28:36.000+08:00","67.9824","57","66","29.7063"
"2021-03-26T17:29:36.000+08:00","69.1084","58","63","29.5864"
"2021-03-26T17:30:36.000+08:00","68.9833","58","65","29.5279"
"2021-03-26T17:31:36.000+08:00","68.6676","58","64","29.5864"
"2021-03-26T17:32:36.000+08:00","69.5093","59","66","29.6761"
"2021-03-26T17:33:36.000+08:00","69.3083","59","64","29.6312"
"2021-03-26T17:34:36.000+08:00","69.5319","59","66","29.7647"
"2021-03-26T17:35:36.000+08:00","68.596","59","64","29.8377"
"2021-03-26T17:36:36.000+08:00","69.4888","59","65","29.7783"
"2021-03-26T17:38:38.000+08:00","69.2266","59","64","29.6896"
"2021-03-26T17:39:38.000+08:00","69.6208","59","65","29.6761"
"2021-03-26T17:40:38.000+08:00","69.6443","59","66","29.5592"
"2021-03-26T17:41:38.000+08:00","70.9262","59","64","29.5592"
"2021-03-26T17:42:38.000+08:00","71.5227","60","66","29.6312"
"2021-03-26T17:43:38.000+08:00","70.6198","60","63","29.6615"
"2021-03-26T17:44:38.000+08:00","71.019","60","64","29.6615"
