Creating Time,Temperature(℃),Humidity(%),Light(lux),Voltage(V),WIFI RSSI(dBm),GSM RSSI(dBm),EXT1 Temperature(℃),EXT2 Temperature(℃),RS485 Temperature(℃),RS485 Humidity(%)
2021-03-08 16:58:29,,53,,,,,,,,
2021-03-08 16:58:29,,,318.720001,,,,,,,
2021-03-08 16:58:29,24.169525,,,,,,,,,
2021-03-08 16:56:48,,,,5,,,,,,
2021-03-08 16:53:29,,53,,,,,,,,
2021-03-08 16:53:29,,,227.279999,,,,,,,
2021-03-08 16:53:29,24.001297,,,,,,,,,
2021-03-08 16:53:17,,,,5.697472,,,,,,
2021-03-08 16:48:29,,,12.37,,,,,,,
2021-03-08 16:48:29,23.987946,,,,,,,,,
2021-03-08 16:48:29,,53,,,,,,,,
2021-03-08 16:43:29,24.113449,,,,,,,,,
2021-03-08 16:43:29,,,12.55,,,,,,,
2021-03-08 16:43:29,,53,,,,,,,,
2021-03-08 16:38:29,,,24.75,,,,,,,
2021-03-08 16:38:29,,53,,,,,,,,
2021-03-08 16:38:29,24.268333,,,,,,,,,
2021-03-08 16:33:29,24.42588,,,,,,,,,
2021-03-08 16:33:29,,,18.93,,,,,,,
2021-03-08 16:33:29,,54,,,,,,,,
2021-03-08 16:28:29,,,28.17,,,,,,,
2021-03-08 16:28:29,24.580757,,,,,,,,,
2021-03-08 16:28:29,,53,,,,,,,,
2021-03-08 16:23:29,24.735634,,,,,,,,,
2021-03-08 16:23:29,,,27.599998,,,,,,,
2021-03-08 16:23:29,,53,,,,,,,,
2021-03-08 16:18:29,24.890518,,,,,,,,,
2021-03-08 16:18:29,,54,,,,,,,,
2021-03-08 16:18:29,,,21.99,,,,,,,
2021-03-08 16:13:29,,,24.299999,,,,,,,
2021-03-08 16:13:29,,53,,,,,,,,
2021-03-08 16:13:29,24.991989,,,,,,,,,
2021-03-08 16:08:29,25.061417,,,,,,,,,
2021-03-08 16:08:29,,,29.59,,,,,,,
2021-03-08 16:08:29,,54,,,,,,,,
2021-03-08 16:03:29,,54,,,,,,,,
2021-03-08 16:03:29,25.09079,,,,,,,,,
2021-03-08 16:03:29,,,42.16,,,,,,,
2021-03-08 15:58:29,25.104141,,,,,,,,,
2021-03-08 15:58:29,,54,,,,,,,,
2021-03-08 15:58:29,,,49.379997,,,,,,,
2021-03-08 15:53:29,25.061417,,,,,,,,,
2021-03-08 15:53:29,,,18.18,,,,,,,
2021-03-08 15:53:29,,54,,,,,,,,
2021-03-08 15:48:29,25.048065,,,,,,,,,
2021-03-08 15:48:29,,,58.639999,,,,,,,
2021-03-08 15:48:29,,54,,,,,,,,
2021-03-08 15:43:29,,54,,,,,,,,
2021-03-08 15:43:29,,,35.619999,,,,,,,
2021-03-08 15:43:29,24.991989,,,,,,,,,
2021-03-08 15:38:29,,,28.74,,,,,,,
2021-03-08 15:38:29,24.962616,,,,,,,,,
2021-03-08 15:38:29,,54,,,,,,,,
2021-03-08 15:33:29,24.919891,,,,,,,,,
2021-03-08 15:33:29,,55,,,,,,,,
2021-03-08 15:33:29,,,25.49,,,,,,,
2021-03-08 15:28:29,,,46.52,,,,,,,
2021-03-08 15:28:29,,55,,,,,,,,
2021-03-08 15:28:29,24.877167,,,,,,,,,
2021-03-08 15:23:29,24.834442,,,,,,,,,
2021-03-08 15:23:29,,,23.299999,,,,,,,
2021-03-08 15:23:29,,55,,,,,,,,
2021-03-08 15:18:29,,,65.040001,,,,,,,
2021-03-08 15:18:29,24.778366,,,,,,,,,
2021-03-08 15:18:29,,55,,,,,,,,
2021-03-08 15:13:29,,55,,,,,,,,
2021-03-08 15:13:29,24.706261,,,,,,,,,
2021-03-08 15:13:29,,,40.790001,,,,,,,
2021-03-08 15:08:29,,,62.379997,,,,,,,
2021-03-08 15:08:29,,55,,,,,,,,
2021-03-08 15:08:29,24.679558,,,,,,,,,
2021-03-08 15:03:29,,,64.619995,,,,,,,
2021-03-08 15:03:29,24.636833,,,,,,,,,
2021-03-08 15:03:29,,55,,,,,,,,
2021-03-08 14:58:29,24.594109,,,,,,,,,
2021-03-08 14:58:29,,55,,,,,,,,
2021-03-08 14:58:29,,,16.15,,,,,,,
2021-03-08 14:53:29,,,68.479996,,,,,,,
2021-03-08 14:53:29,,55,,,,,,,,
2021-03-08 14:53:29,24.524681,,,,,,,,,
2021-03-08 14:48:29,24.468605,,,,,,,,,
2021-03-08 14:48:29,,,69.419998,,,,,,,
2021-03-08 14:48:29,,55,,,,,,,,
2021-03-08 14:43:29,,55,,,,,,,,
2021-03-08 14:43:29,,,65.5,,,,,,,
2021-03-08 14:43:28,24.399178,,,,,,,,,
2021-03-08 14:38:28,,55,,,,,,,,
2021-03-08 14:38:28,,,16.34,,,,,,,
2021-03-08 14:38:28,24.343102,,,,,,,,,
2021-03-08 14:33:28,,55,,,,,,,,
2021-03-08 14:33:28,,,66.519997,,,,,,,
2021-03-08 14:33:28,24.254982,,,,,,,,,
2021-03-08 14:28:28,,56,,,,,,,,
2021-03-08 14:28:28,24.185547,,,,,,,,,
2021-03-08 14:28:28,,,20.059999,,,,,,,
2021-03-08 14:23:28,,,45.279999,,,,,,,
2021-03-08 14:23:28,,56,,,,,,,,
2021-03-08 14:23:28,24.070724,,,,,,,,,
2021-03-08 14:18:28,,56,,,,,,,,
2021-03-08 14:18:28,,,65.699997,,,,,,,
2021-03-08 14:18:28,23.987946,,,,,,,,,
2021-03-08 14:13:28,23.918518,,,,,,,,,
2021-03-08 14:13:28,,,23.73,,,,,,,
2021-03-08 14:13:28,,56,,,,,,,,
2021-03-08 14:08:28,23.819717,,,,,,,,,
2021-03-08 14:08:28,,,18.93,,,,,,,
2021-03-08 14:08:28,,56,,,,,,,,
2021-03-08 14:03:28,,56,,,,,,,,
2021-03-08 14:03:28,23.688866,,,,,,,,,
2021-03-08 14:03:28,,,19.809999,,,,,,,
2021-03-08 13:58:28,,,65.080002,,,,,,,
2021-03-08 13:58:28,,55,,,,,,,,
2021-03-08 13:58:28,23.646141,,,,,,,,,
2021-03-08 13:53:28,,,59.16,,,,,,,
2021-03-08 13:53:28,23.619438,,,,,,,,,
2021-03-08 13:53:28,,55,,,,,,,,
2021-03-08 13:53:17,,,,5.710315,,,,,,
2021-03-08 13:48:28,23.606087,,,,,,,,,
2021-03-08 13:48:28,,,28.18,,,,,,,
2021-03-08 13:48:28,,56,,,,,,,,
2021-03-08 13:43:28,,55,,,,,,,,
2021-03-08 13:43:28,,,64.419998,,,,,,,
2021-03-08 13:43:28,23.63279,,,,,,,,,
2021-03-08 13:38:28,,55,,,,,,,,
2021-03-08 13:38:28,,,65.299995,,,,,,,
2021-03-08 13:38:28,23.646141,,,,,,,,,
2021-03-08 13:33:28,,56,,,,,,,,
2021-03-08 13:33:28,,,20.33,,,,,,,
2021-03-08 13:33:28,23.702217,,,,,,,,,
2021-03-08 13:28:28,23.763641,,,,,,,,,
2021-03-08 13:28:28,,56,,,,,,,,
2021-03-08 13:28:28,,,15.799999,,,,,,,
2021-03-08 13:23:28,,56,,,,,,,,
2021-03-08 13:23:28,23.803696,,,,,,,,,
2021-03-08 13:23:28,,,31.349998,,,,,,,
2021-03-08 13:18:28,,,22.439999,,,,,,,
2021-03-08 13:18:28,,56,,,,,,,,
2021-03-08 13:18:28,23.833069,,,,,,,,,
2021-03-08 13:13:28,,55,,,,,,,,
2021-03-08 13:13:28,,,73.68,,,,,,,
2021-03-08 13:13:28,23.918518,,,,,,,,,
2021-03-08 13:08:28,23.974594,,,,,,,,,
2021-03-08 13:08:28,,,74.379997,,,,,,,
2021-03-08 13:08:28,,55,,,,,,,,
2021-03-08 13:03:28,,55,,,,,,,,
2021-03-08 13:03:28,24.113449,,,,,,,,,
2021-03-08 13:03:28,,,72.959999,,,,,,,
2021-03-08 12:58:28,,55,,,,,,,,
2021-03-08 12:58:28,,,69.220001,,,,,,,
2021-03-08 12:58:28,24.225601,,,,,,,,,
2021-03-08 12:53:28,,,70.659996,,,,,,,
2021-03-08 12:53:28,,56,,,,,,,,
2021-03-08 12:53:28,24.313728,,,,,,,,,
2021-03-08 12:48:28,,56,,,,,,,,
2021-03-08 12:48:28,24.439232,,,,,,,,,
2021-03-08 12:48:28,,,25.84,,,,,,,
2021-03-08 12:43:28,24.554054,,,,,,,,,
2021-03-08 12:43:28,,,78.019997,,,,,,,
2021-03-08 12:43:28,,56,,,,,,,,
2021-03-08 12:38:28,,,80.519997,,,,,,,
2021-03-08 12:38:28,24.692909,,,,,,,,,
2021-03-08 12:38:28,,56,,,,,,,,
2021-03-08 12:33:28,24.834442,,,,,,,,,
2021-03-08 12:33:28,,56,,,,,,,,
2021-03-08 12:33:28,,,66.040001,,,,,,,
2021-03-08 12:28:28,24.90387,,,,,,,,,
2021-03-08 12:28:28,,,80.879997,,,,,,,
2021-03-08 12:28:28,,57,,,,,,,,
2021-03-08 12:23:28,24.949265,,,,,,,,,
2021-03-08 12:23:28,,,27.939999,,,,,,,
2021-03-08 12:23:28,,58,,,,,,,,
