"time","Steerpath.Accuracy","Steerpath.Floor","Steerpath.Latitude","Steerpath.Longitude","Steerpath.Space","Steerpath.Space_id"
"2021-03-16T13:12:49.266+08:00","2.5","2","1.2974301743762788","103.77110883645912",,
"2021-03-16T13:12:54.286+08:00","0.75","2","1.297432435290276","103.77110434373284",,
"2021-03-16T13:12:59.273+08:00","2","2","1.297432435290276","103.77110434373284",,
"2021-03-16T13:15:32.534+08:00","1.75","2","1.2974279134622817","103.77111108282226",,
"2021-03-16T13:23:03.578+08:00","9.25","2","1.2974188698062934","103.77111108282226",,
"2021-03-16T13:26:55.716+08:00","1.75","2","1.2974211307202905","103.77110659009598",,
"2021-03-16T13:27:00.540+08:00","2.5","2","1.2974301743762788","103.77111108282226",,
"2021-03-16T13:27:05.575+08:00","2.25","2","1.2974301743762788","103.77111108282226",,
"2021-03-16T13:27:10.576+08:00","3.25","2","1.2974301743762788","103.77111108282226",,
"2021-03-16T13:27:15.555+08:00","2.5","2","1.2974301743762788","103.77111108282226",,
"2021-03-16T13:27:38.103+08:00","2","2","1.2974233916342877","103.77110883645912",,
"2021-03-16T13:27:43.101+08:00","2.25","2","1.2974279134622817","103.77111108282226",,
"2021-03-16T13:27:48.095+08:00","3.25","2","1.2974279134622817","103.77111108282226",,
"2021-03-22T10:07:44.017+08:00","6.25","4","1.297502523624186","103.77112905372736",,
"2021-03-22T10:07:48.797+08:00","2.5","4","1.297502523624186","103.77112905372736",,
"2021-03-22T10:07:53.836+08:00","26","3","1.2974482616882557","103.77118745916896",,"217"
"2021-03-22T10:07:58.876+08:00","2.25","3","1.2974250873197855","103.77117777172793",,"217"
"2021-03-22T10:08:03.857+08:00","3.75","3","1.2973510423863805","103.77114028554305",,"217"
"2021-03-22T10:08:08.840+08:00","33.5","3","1.2973510423863805","103.77114028554305",,"217"
"2021-03-22T10:08:13.857+08:00","2.75","3","1.2973510423863805","103.77114028554305",,"217"
"2021-03-22T10:11:38.879+08:00","29.5","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:11:43.753+08:00","9.25","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:16.955+08:00","3.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:21.836+08:00","2.25","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:26.874+08:00","2.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:31.855+08:00","1.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:36.874+08:00","3.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:41.876+08:00","2.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:46.876+08:00","3.25","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:51.874+08:00","3.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:12:56.895+08:00","2.75","3","1.2971498210406394","103.77106390919636",,"214"
"2021-03-22T10:17:28.420+08:00","2.25","3","1.2971742495098424","103.77109922689493",,"214"
"2021-03-22T10:23:40.165+08:00","6","3","1.2971677571098341","103.77109639234223",,"214"
"2021-03-22T10:29:16.489+08:00","2.5","3","1.2971520819546365","103.77105941647008",,"214"
"2021-03-22T10:35:16.494+08:00","10.5","3","1.2971459952835431","103.77106483192206",,"214"
"2021-03-22T10:40:49.259+08:00","2.5","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:40:54.180+08:00","2.5","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:40:59.160+08:00","2.5","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:41:04.140+08:00","2.5","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:41:09.159+08:00","3.25","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:41:14.161+08:00","2.75","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:41:19.181+08:00","2","3","1.2971317337286628","103.77105717010694",,"214"
"2021-03-22T10:42:03.101+08:00","2","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:08.061+08:00","2","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:13.101+08:00","2.25","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:18.100+08:00","3.25","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:23.101+08:00","3.75","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:28.100+08:00","4.25","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:33.104+08:00","3.25","3","1.2971498210406394","103.77107064828577",,"214"
"2021-03-22T10:42:50.221+08:00","7.25","3","1.2971549092049348","103.77106166282564",,"214"
"2021-03-22T10:48:34.086+08:00","3.25","3","1.2971729251590385","103.77108268974447",,"214"
"2021-03-22T10:54:29.611+08:00","20","3","1.2971452992126453","103.77104818465439",,"214"
"2021-03-22T11:01:16.158+08:00","5.5","3","1.2971521239051893","103.77106428212772",,"214"
"2021-03-22T11:08:14.384+08:00","2.25","3","1.297215387546555","103.77114477826933",,"216"
"2021-03-22T11:15:39.228+08:00","2.5","3","1.2971426421315662","103.77105043101324",,"214"
"2021-03-22T11:21:28.467+08:00","33.5","3","1.2971546352460464","103.77105090437988",,"214"
"2021-03-22T11:28:13.412+08:00","17.75","3","1.2971512341118876","103.77106896351341",,"214"
"2021-03-22T11:34:32.715+08:00","8.25","3","1.297170651279469","103.77106269866965",,"214"
"2021-03-22T11:40:49.780+08:00","3.75","3","1.29718825657859","103.77110434373284",,"217"
"2021-03-22T11:46:14.606+08:00","10.5","3","1.2971577342396292","103.7710627860148",,"214"
"2021-03-22T11:52:28.587+08:00","2.75","3","1.2971859956645928","103.77110995964068",,"218"
"2021-03-22T11:57:54.610+08:00","5.5","3","1.2972097352615624","103.77110378214206",,"217"
"2021-03-22T12:00:40.412+08:00","2.25","4","1.2971950393205813","103.77107289464891",,
